Datetime,Open,High,Low,Close,Volume,EMA9,EMA21,ADX,ATR
2026-02-09 09:15:00,267.6,269.7,267.6,268.85,188808,,,0.0,0.0
2026-02-09 09:20:00,268.85,270.6,268.85,270.35,148756,,,0.0,0.0
2026-02-09 09:25:00,270.35,270.95,270.3,270.9,104403,,,0.0,0.0
2026-02-09 09:30:00,270.9,271.65,270.5,270.75,120366,,,0.0,0.0
2026-02-09 09:35:00,270.75,271.5,270.75,270.9,94820,,,0.0,0.0
2026-02-09 09:40:00,270.8,271.5,270.8,271.4,87134,,,0.0,0.0
2026-02-09 09:45:00,271.35,272.45,271.3,272.15,153844,,,0.0,0.0
2026-02-09 09:50:00,272.2,272.75,272.0,272.7,80195,,,0.0,0.0
2026-02-09 09:55:00,272.7,272.7,271.65,272.05,82327,271.25,,0.0,0.0
2026-02-09 10:00:00,272.05,272.4,271.85,272.25,56134,271.45,,0.0,0.0
2026-02-09 10:05:00,272.15,272.65,272.1,272.4,44321,271.64,,0.0,0.0
2026-02-09 10:10:00,272.5,272.55,271.95,272.3,52618,271.77,,0.0,0.0
2026-02-09 10:15:00,272.4,273.3,272.25,272.7,149095,271.96,,0.0,0.0
2026-02-09 10:20:00,272.65,273.3,272.65,273.2,95055,272.21,,0.0,0.0
2026-02-09 10:25:00,273.2,273.5,272.9,273.2,100895,272.41,,0.0,0.0
2026-02-09 10:30:00,273.2,273.35,272.3,272.35,69433,272.39,,0.0,0.0
2026-02-09 10:35:00,272.4,272.95,272.3,272.95,25744,272.51,,0.0,0.0
2026-02-09 10:40:00,272.85,273.2,272.55,273.1,66889,272.62,,0.0,0.0
2026-02-09 10:45:00,273.15,273.3,272.15,272.15,40368,272.53,,0.0,0.0
2026-02-09 10:50:00,272.15,272.6,272.1,272.45,95983,272.51,,0.0,0.0
2026-02-09 10:55:00,272.45,272.95,272.45,272.85,17921,272.58,271.92,0.0,0.88
2026-02-09 11:00:00,272.8,272.95,272.4,272.4,19999,272.54,271.96,0.0,0.87
2026-02-09 11:05:00,272.4,274.0,272.4,273.9,487445,272.82,272.14,0.0,0.9
2026-02-09 11:10:00,273.75,274.05,272.95,274.05,205261,273.06,272.31,0.0,0.91
2026-02-09 11:15:00,274.0,274.15,273.4,273.4,168520,273.13,272.41,0.0,0.9
2026-02-09 11:20:00,273.35,273.6,272.55,272.55,52947,273.01,272.42,0.0,0.91
2026-02-09 11:25:00,272.5,272.85,272.1,272.5,107234,272.91,272.43,0.0,0.9
2026-02-09 11:30:00,272.45,272.65,272.1,272.3,22976,272.79,272.42,50.24,0.89
2026-02-09 11:35:00,272.3,273.0,272.25,272.8,23609,272.79,272.45,48.58,0.88
2026-02-09 11:40:00,272.8,272.95,272.35,272.4,28109,272.71,272.45,47.04,0.87
2026-02-09 11:45:00,272.5,272.5,272.05,272.3,27576,272.63,272.43,44.98,0.85
2026-02-09 11:50:00,272.2,272.3,271.8,271.85,45724,272.47,272.38,42.59,0.83
2026-02-09 11:55:00,271.8,272.25,271.7,271.95,16809,272.37,272.34,40.17,0.82
2026-02-09 12:00:00,271.9,272.6,271.8,272.45,22520,272.39,272.35,38.47,0.82
2026-02-09 12:05:00,272.6,272.7,272.3,272.6,26247,272.43,272.37,37.04,0.8
2026-02-09 12:10:00,272.6,273.05,272.45,272.85,46575,272.51,272.42,36.23,0.79
2026-02-09 12:15:00,272.95,273.05,272.45,272.6,30204,272.53,272.43,35.47,0.78
2026-02-09 12:20:00,272.6,272.6,272.2,272.55,18274,272.53,272.44,34.16,0.76
2026-02-09 12:25:00,272.55,272.75,272.2,272.25,16080,272.48,272.43,33.19,0.75
2026-02-09 12:30:00,272.35,272.35,271.95,272.05,40521,272.39,272.39,31.69,0.73
2026-02-09 12:35:00,272.05,272.3,271.9,271.9,15235,272.29,272.35,30.18,0.72
2026-02-09 12:40:00,271.9,272.4,271.9,272.3,12694,272.29,272.34,28.98,0.71
2026-02-09 12:45:00,272.3,272.8,272.1,272.6,37691,272.36,272.37,28.59,0.71
