Datetime,Open,High,Low,Close,Volume,EMA9,EMA21,ADX,ATR
2021-06-03 09:15:00,85.95,87.2,84.8,85.3,1363276,,,0.0,0.0
2021-06-04 09:15:00,86.35,86.35,84.2,84.65,1642568,,,0.0,0.0
2021-06-07 09:15:00,86.0,86.5,84.05,85.0,1924652,,,0.0,0.0
2021-06-08 09:15:00,85.7,86.1,82.85,83.3,1844380,,,0.0,0.0
2021-06-09 09:15:00,83.1,84.5,79.0,80.0,2281129,,,0.0,0.0
2021-06-10 09:15:00,79.3,83.25,77.7,81.2,1528826,,,0.0,0.0
2021-06-11 09:15:00,82.8,83.5,80.5,82.0,1632161,,,0.0,0.0
2021-06-14 09:15:00,85.95,85.95,83.0,85.95,4378425,,,0.0,0.0
2021-06-15 09:15:00,89.0,89.8,84.05,84.95,1971915,83.88,,0.0,0.0
2021-06-16 09:15:00,85.4,85.4,80.9,81.5,1978634,83.41,,0.0,0.0
2021-06-17 09:15:00,77.2,82.0,77.2,80.0,1455051,82.73,,0.0,0.0
2021-06-18 09:15:00,80.0,82.5,76.35,82.4,1671613,82.66,,0.0,0.0
2021-06-21 09:15:00,80.1,82.1,78.9,79.3,845164,81.99,,0.0,0.0
2021-06-22 09:15:00,81.0,81.2,79.5,79.85,624817,81.56,,0.0,0.0
2021-06-23 09:15:00,80.9,80.9,78.6,79.3,751618,81.11,,0.0,0.0
2021-06-24 09:15:00,79.5,80.5,76.5,78.7,1941260,80.63,,0.0,0.0
2021-06-25 09:15:00,76.0,79.0,76.0,78.5,1226665,80.2,,0.0,0.0
2021-06-28 09:15:00,76.25,78.6,76.25,78.4,1529216,79.84,,0.0,0.0
2021-06-29 09:15:00,77.05,79.5,77.0,79.1,1728486,79.69,,0.0,0.0
2021-06-30 09:15:00,79.0,80.5,78.4,79.1,771784,79.57,,0.0,0.0
2021-07-01 09:15:00,79.8,80.2,78.05,79.65,1824256,79.59,80.99,0.0,3.49
2021-07-02 09:15:00,78.65,81.7,78.65,81.6,922667,79.99,81.05,0.0,3.47
2021-07-05 09:15:00,80.55,82.5,80.05,81.1,1892949,80.21,81.05,0.0,3.42
2021-07-06 09:15:00,81.2,82.4,79.0,79.35,820807,80.04,80.9,0.0,3.42
2021-07-07 09:15:00,79.95,80.95,78.15,79.25,591925,79.88,80.75,0.0,3.39
2021-07-08 09:15:00,79.0,80.1,77.25,78.0,634855,79.51,80.5,0.0,3.36
2021-07-09 09:15:00,78.0,78.85,77.05,77.95,301007,79.19,80.27,0.0,3.29
2021-07-12 09:15:00,78.0,78.95,76.55,77.0,1016304,78.76,79.97,34.09,3.25
2021-07-13 09:15:00,78.1,78.4,76.0,77.0,1518839,78.4,79.7,34.24,3.21
2021-07-14 09:15:00,77.8,77.9,74.4,74.5,622070,77.62,79.23,34.86,3.22
2021-07-15 09:15:00,75.5,79.25,73.0,77.5,1535159,77.6,79.07,35.81,3.36
2021-07-16 09:15:00,76.5,78.95,76.05,77.0,395405,77.48,78.88,36.68,3.34
2021-07-19 09:15:00,76.25,76.75,74.1,76.0,1630577,77.18,78.62,37.97,3.32
2021-07-20 09:15:00,75.5,75.85,71.7,74.2,1567994,76.59,78.22,39.63,3.37
2021-07-22 09:15:00,74.0,77.8,73.7,77.65,950378,76.8,78.17,39.88,3.4
2021-07-23 09:15:00,79.1,80.6,76.8,76.95,1197451,76.83,78.06,38.61,3.42
2021-07-26 09:15:00,76.0,78.1,75.0,76.1,524294,76.68,77.88,37.94,3.41
2021-07-27 09:15:00,76.0,78.5,75.95,77.5,2819512,76.85,77.84,37.12,3.37
2021-07-28 09:15:00,77.5,79.9,76.5,79.4,1372931,77.36,77.98,35.67,3.37
2021-07-29 09:15:00,79.3,80.0,78.35,79.2,1059923,77.73,78.1,34.28,3.29
2021-07-30 09:15:00,79.3,79.85,77.35,77.85,1090265,77.75,78.07,33.34,3.25
2021-08-02 09:15:00,80.0,81.0,78.65,78.7,1812287,77.94,78.13,31.88,3.24
2021-08-03 09:15:00,83.05,83.05,83.05,83.05,705287,78.96,78.58,29.61,3.3
2021-08-04 09:15:00,87.2,87.2,87.2,87.2,470688,80.61,79.36,28.93,3.34
2021-08-05 09:15:00,91.0,91.0,85.0,86.0,4820883,81.69,79.96,29.25,3.46
2021-08-06 09:15:00,86.0,87.0,83.2,85.5,2165113,82.45,80.47,28.8,3.48
2021-08-09 09:15:00,86.6,86.6,81.6,82.1,1303308,82.38,80.62,27.77,3.55
2021-08-10 09:15:00,81.95,81.95,77.9,77.9,2297533,81.48,80.37,25.96,3.58
2021-08-11 09:15:00,75.15,77.1,74.05,75.0,2788226,80.19,79.88,25.26,3.6
2021-08-12 09:15:00,77.0,79.25,75.5,79.25,2416132,80.0,79.82,23.96,3.63
2021-08-13 09:15:00,81.25,82.25,80.0,80.0,2745572,80.0,79.84,22.55,3.6
2021-08-16 09:15:00,80.05,81.0,76.05,80.5,709110,80.1,79.9,21.61,3.66
2021-08-17 09:15:00,80.65,82.7,79.1,82.05,1840344,80.49,80.1,20.29,3.66
2021-08-18 09:15:00,81.2,82.5,80.1,82.0,1510434,80.79,80.27,19.06,3.6
2021-08-20 09:15:00,80.0,82.1,78.5,81.0,2856048,80.83,80.33,18.33,3.6
2021-08-23 09:15:00,80.5,83.85,79.95,83.15,2932432,81.3,80.59,17.15,3.61
2021-08-24 09:15:00,84.5,84.6,82.0,83.0,658627,81.64,80.81,16.0,3.56
2021-08-25 09:15:00,83.4,84.9,83.0,84.4,905336,82.19,81.14,15.03,3.49
2021-08-26 09:15:00,84.9,84.9,83.0,83.5,375658,82.45,81.35,14.13,3.41
2021-08-27 09:15:00,84.0,84.55,83.0,84.2,652036,82.8,81.61,13.29,3.32
2021-08-30 09:15:00,85.0,86.9,84.95,85.25,968156,83.29,81.94,13.25,3.29
2021-08-31 09:15:00,85.9,86.5,84.0,85.6,835047,83.75,82.27,12.86,3.25
2021-09-01 09:15:00,86.5,86.7,85.5,85.55,724111,84.11,82.57,12.57,3.16
2021-09-02 09:15:00,86.65,90.05,84.85,90.05,2086799,85.3,83.25,13.29,3.25
2021-09-03 09:15:00,94.55,94.55,90.9,91.5,2858096,86.54,84.0,14.96,3.31
2021-09-06 09:15:00,91.9,91.9,88.1,89.8,1469603,87.19,84.53,15.46,3.34
2021-09-07 09:15:00,89.5,93.25,86.5,92.55,1703426,88.26,85.26,15.37,3.5
2021-09-08 09:15:00,92.0,93.7,90.55,92.1,678804,89.03,85.88,15.41,3.48
2021-09-09 09:15:00,88.25,91.9,88.25,91.0,548063,89.42,86.35,14.68,3.5
2021-09-13 09:15:00,92.4,92.4,87.0,89.6,1748428,89.46,86.64,13.65,3.59
2021-09-14 09:15:00,89.25,90.9,88.5,89.7,1179109,89.51,86.92,12.69,3.53
2021-09-15 09:15:00,90.0,90.8,88.9,89.25,975564,89.46,87.13,11.81,3.46
2021-09-16 09:15:00,89.0,89.5,87.2,89.0,968077,89.36,87.3,11.56,3.4
2021-09-17 09:15:00,90.75,93.4,87.95,92.0,2312998,89.89,87.73,11.42,3.5
2021-09-20 09:15:00,92.0,92.95,90.4,91.3,1673995,90.17,88.05,11.29,3.45
2021-09-21 09:15:00,89.1,96.5,89.1,96.5,2874187,91.44,88.82,12.14,3.64
2021-09-22 09:15:00,98.0,101.3,97.0,101.3,2259455,93.41,89.96,13.9,3.7
2021-09-23 09:15:00,105.0,106.35,101.0,106.35,1158235,96.0,91.45,16.29,3.77
2021-09-24 09:15:00,111.65,111.65,107.0,111.65,3448319,99.13,93.28,19.12,3.85
2021-09-27 09:15:00,112.8,112.8,105.95,106.5,4019397,100.6,94.48,21.85,3.99
2021-09-28 09:15:00,107.0,113.15,106.55,113.15,2133964,103.11,96.18,24.43,4.12
2021-09-29 09:15:00,115.0,117.1,113.15,117.1,2511665,105.91,98.08,27.19,4.11
2021-09-30 09:15:00,119.8,122.95,116.0,122.95,3169755,109.32,100.34,30.19,4.24
2021-10-01 09:15:00,123.6,127.3,121.5,124.1,1519958,112.27,102.5,33.23,4.32
2021-10-04 09:15:00,126.0,127.9,125.0,125.75,2096673,114.97,104.62,36.09,4.29
2021-10-05 09:15:00,126.5,127.05,120.25,120.25,1549050,116.03,106.04,37.18,4.41
2021-10-06 09:15:00,119.05,119.05,114.55,115.4,1875685,115.9,106.89,36.66,4.47
2021-10-07 09:15:00,115.0,119.5,114.8,116.6,1566886,116.04,107.77,36.24,4.49
2021-10-08 09:15:00,117.9,119.0,114.0,116.0,638279,116.03,108.52,35.65,4.51
2021-10-11 09:15:00,116.9,120.65,115.0,119.85,1712940,116.8,109.55,35.33,4.56
2021-10-12 09:15:00,119.5,119.5,115.5,116.5,758665,116.74,110.18,35.04,4.55
2021-10-13 09:15:00,117.95,118.0,114.05,115.9,1873812,116.57,110.7,34.35,4.53
2021-10-14 09:15:00,116.95,119.5,114.5,117.5,1533663,116.76,111.32,33.96,4.55
2021-10-18 09:15:00,123.9,124.15,122.0,124.15,482600,118.23,112.49,34.3,4.65
2021-10-19 09:15:00,130.35,130.35,126.5,130.35,2363677,120.66,114.11,35.35,4.72
2021-10-20 09:15:00,131.5,136.85,126.6,136.85,2904348,123.9,116.18,36.9,4.98
2021-10-21 09:15:00,140.4,141.0,130.05,140.0,3351158,127.12,118.34,38.64,5.27
2021-10-22 09:15:00,144.75,144.75,141.55,144.0,10558755,130.49,120.68,40.5,5.24
2021-10-25 09:15:00,145.8,147.25,138.15,143.0,3256291,132.99,122.7,41.3,5.43
2021-10-26 09:15:00,144.0,150.8,141.0,150.8,1921359,136.56,125.26,42.32,5.64
2021-10-27 09:15:00,154.7,158.3,152.25,158.3,2633178,140.9,128.26,43.77,5.72
2021-10-28 09:15:00,158.65,158.65,150.35,151.0,1427866,142.92,130.33,44.64,5.85
2021-10-29 09:15:00,146.0,152.4,142.9,148.0,2119644,143.94,131.94,43.81,6.02
2021-11-01 09:15:00,148.0,150.0,147.0,149.7,755625,145.09,133.55,43.04,5.88
2021-11-02 09:15:00,151.9,156.35,146.1,156.35,998006,147.34,135.62,42.93,6.09
2021-11-03 09:15:00,157.8,163.45,156.0,162.6,1566063,150.39,138.08,43.38,6.15
2021-11-04 18:15:00,165.0,165.0,163.45,164.8,569339,153.28,140.51,43.91,5.97
2021-11-08 09:15:00,166.7,169.5,160.3,163.0,1253654,155.22,142.55,44.71,6.13
2021-11-09 09:15:00,163.4,164.9,155.0,156.6,1443352,155.5,143.83,44.35,6.31
2021-11-10 09:15:00,157.0,158.0,150.1,155.85,1953362,155.57,144.92,43.13,6.38
2021-11-11 09:15:00,155.0,159.0,151.0,153.0,802410,155.05,145.66,42.1,6.46
2021-11-12 09:15:00,154.5,161.3,154.5,161.3,1350235,156.3,147.08,41.37,6.55
2021-11-15 09:15:00,160.9,164.0,154.0,158.5,1184031,156.74,148.12,40.96,6.71
2021-11-16 09:15:00,156.7,159.85,154.0,156.2,583016,156.63,148.85,40.58,6.67
2021-11-17 09:15:00,157.4,158.75,155.0,156.0,739871,156.51,149.5,40.22,6.53
2021-11-18 09:15:00,157.9,157.9,151.0,153.0,574274,155.81,149.82,39.01,6.55
2021-11-22 09:15:00,153.85,156.0,148.0,155.5,923852,155.74,150.34,37.27,6.62
2021-11-23 09:15:00,153.9,157.6,150.0,155.5,634191,155.7,150.8,35.89,6.66
2021-11-24 09:15:00,155.0,158.0,155.0,155.0,595248,155.56,151.19,34.67,6.49
2021-11-25 09:15:00,154.1,156.95,153.8,153.8,463889,155.21,151.42,33.27,6.33
