Datetime,Open,High,Low,Close,Volume,EMA9,EMA21,ADX,ATR
2021-06-04 15:29:00,85.95,87.2,84.2,84.65,3005844,,,0.0,0.0
2021-06-11 15:29:00,86.0,86.5,77.7,82.0,9211148,,,0.0,0.0
2021-06-18 15:29:00,85.95,89.8,76.35,82.4,11455638,,,0.0,0.0
2021-06-25 15:29:00,80.1,82.1,76.0,78.5,5389524,,,0.0,0.0
2021-07-02 15:29:00,76.25,81.7,76.25,81.6,6776409,,,0.0,0.0
2021-07-09 15:29:00,80.55,82.5,77.05,77.95,4241543,,,0.0,0.0
2021-07-16 15:29:00,78.0,79.25,73.0,77.0,5087777,,,0.0,0.0
2021-07-23 15:29:00,76.25,80.6,71.7,76.95,5346400,,,0.0,0.0
2021-07-30 15:29:00,76.0,80.0,75.0,77.85,6866925,79.51,,0.0,0.0
2021-08-06 15:29:00,80.0,91.0,78.65,85.5,9974258,80.71,,0.0,0.0
2021-08-13 15:29:00,86.6,86.6,74.05,80.0,11550771,80.57,,0.0,0.0
2021-08-20 15:29:00,80.05,82.7,76.05,81.0,6915936,80.65,,0.0,0.0
2021-08-27 15:29:00,80.5,84.9,79.95,84.2,5524089,81.36,,0.0,0.0
2021-09-03 15:29:00,85.0,94.55,84.0,91.5,7472209,83.39,,0.0,0.0
2021-09-09 15:29:00,91.9,93.7,86.5,91.0,4399896,84.91,,0.0,0.0
2021-09-17 15:29:00,92.4,93.4,87.0,92.0,7184176,86.33,,0.0,0.0
2021-09-24 15:29:00,92.0,111.65,89.1,111.65,11414191,91.39,,0.0,0.0
2021-10-01 15:29:00,112.8,127.3,105.95,124.1,13354739,97.94,,0.0,0.0
2021-10-08 15:29:00,126.0,127.9,114.0,116.0,7726573,101.55,,0.0,0.0
2021-10-14 15:29:00,116.9,120.65,114.05,117.5,5879080,104.74,,0.0,0.0
2021-10-22 15:29:00,123.9,144.75,122.0,144.0,19660538,112.59,99.28,0.0,10.28
2021-10-29 15:29:00,145.8,158.65,138.15,148.0,11358338,119.67,103.7,0.0,10.76
2021-11-04 19:14:00,148.0,165.0,146.1,164.8,3889033,128.7,109.26,0.0,11.15
2021-11-12 15:29:00,166.7,169.5,150.1,161.3,6803013,135.22,113.99,0.0,11.54
2021-11-18 15:29:00,160.9,164.0,151.0,153.0,3081192,138.77,117.54,0.0,11.61
2021-11-26 15:29:00,153.85,158.0,147.5,149.8,3823284,140.98,120.47,0.0,11.56
2021-12-03 15:29:00,148.5,161.0,142.8,156.35,5298078,144.05,123.73,0.0,11.88
2021-12-10 15:29:00,157.0,165.15,150.3,165.15,5374617,148.27,127.5,64.17,12.02
2021-12-17 15:29:00,168.0,191.1,167.5,171.15,8912200,152.85,131.47,64.88,12.68
2021-12-24 15:29:00,165.15,180.5,164.35,178.15,5774455,157.91,135.71,65.12,12.85
2021-12-31 15:29:00,180.0,199.0,174.5,195.0,5033756,165.33,141.1,65.75,13.4
