Datetime,Open,High,Low,Close,Volume,EMA9,EMA21,ADX,ATR
2025-07-14 09:15:00,1640.0,1642.4,1616.7,1621.2,145295,,,0.0,0.0
2025-07-14 09:20:00,1621.3,1626.9,1619.0,1623.6,41845,,,0.0,0.0
2025-07-14 09:25:00,1623.8,1628.0,1623.0,1623.4,15908,,,0.0,0.0
2025-07-14 09:30:00,1624.0,1626.1,1617.7,1621.0,26958,,,0.0,0.0
2025-07-14 09:35:00,1620.3,1625.9,1619.3,1624.4,38773,,,0.0,0.0
2025-07-14 09:40:00,1624.5,1624.9,1620.4,1620.7,37971,,,0.0,0.0
2025-07-14 09:45:00,1620.7,1621.0,1613.1,1613.2,59613,,,0.0,0.0
2025-07-14 09:50:00,1613.2,1616.6,1613.2,1615.0,115160,,,0.0,0.0
2025-07-14 09:55:00,1615.0,1615.7,1614.1,1615.3,35140,1618.42,,0.0,0.0
2025-07-14 10:00:00,1614.9,1616.9,1614.0,1615.0,106020,1617.73,,0.0,0.0
2025-07-14 10:05:00,1614.7,1615.0,1612.1,1613.0,34076,1616.79,,0.0,0.0
2025-07-14 10:10:00,1612.9,1617.4,1612.1,1617.0,37709,1616.83,,0.0,0.0
2025-07-14 10:15:00,1617.0,1619.4,1617.0,1619.1,26619,1617.28,,0.0,0.0
2025-07-14 10:20:00,1619.1,1623.3,1619.0,1623.0,29975,1618.43,,0.0,0.0
2025-07-14 10:25:00,1623.0,1624.6,1621.1,1621.6,17124,1619.06,,0.0,0.0
2025-07-14 10:30:00,1621.6,1621.6,1618.1,1618.8,19884,1619.01,,0.0,0.0
2025-07-14 10:35:00,1619.2,1620.0,1616.7,1617.0,10436,1618.61,,0.0,0.0
2025-07-14 10:40:00,1616.9,1617.2,1613.0,1616.9,22859,1618.27,,0.0,0.0
2025-07-14 10:45:00,1616.6,1617.2,1614.6,1615.7,61711,1617.75,,0.0,0.0
2025-07-14 10:50:00,1615.6,1617.1,1615.6,1616.3,5465,1617.46,,0.0,0.0
2025-07-14 10:55:00,1616.3,1618.7,1614.0,1615.2,16859,1617.01,1618.11,0.0,5.34
2025-07-14 11:00:00,1615.2,1617.6,1615.0,1616.0,15495,1616.81,1617.92,0.0,5.21
2025-07-14 11:05:00,1615.9,1616.1,1614.5,1614.9,10608,1616.43,1617.64,0.0,5.04
2025-07-14 11:10:00,1614.9,1616.0,1611.7,1613.1,23343,1615.76,1617.23,0.0,5.0
2025-07-14 11:15:00,1613.2,1613.7,1610.2,1613.7,26919,1615.35,1616.91,0.0,4.93
2025-07-14 11:20:00,1613.2,1617.0,1612.5,1616.0,28858,1615.48,1616.83,0.0,4.91
2025-07-14 11:25:00,1616.4,1616.5,1611.9,1612.0,63513,1614.78,1616.39,0.0,4.89
2025-07-14 11:30:00,1612.0,1616.0,1611.5,1615.7,34908,1614.97,1616.33,26.78,4.88
2025-07-14 11:35:00,1615.7,1615.9,1614.8,1615.1,17657,1614.99,1616.21,26.62,4.7
2025-07-14 11:40:00,1615.1,1615.8,1610.0,1611.4,72505,1614.27,1615.78,27.55,4.75
2025-07-14 11:45:00,1611.0,1613.4,1610.8,1612.5,40502,1613.92,1615.48,28.41,4.65
2025-07-14 11:50:00,1612.5,1613.6,1610.9,1610.9,24368,1613.32,1615.06,29.12,4.55
2025-07-14 11:55:00,1611.0,1612.8,1610.8,1612.5,27862,1613.15,1614.83,29.8,4.43
2025-07-14 12:00:00,1612.5,1613.0,1612.0,1612.0,10488,1612.92,1614.57,30.32,4.27
2025-07-14 12:05:00,1612.4,1612.4,1610.0,1611.5,21381,1612.64,1614.29,31.28,4.18
2025-07-14 12:10:00,1611.5,1612.0,1610.0,1610.2,8935,1612.15,1613.92,32.18,4.08
2025-07-14 12:15:00,1610.2,1611.8,1609.8,1611.8,25222,1612.08,1613.73,33.05,3.98
2025-07-14 12:20:00,1611.8,1613.3,1611.3,1612.4,20455,1612.14,1613.61,32.95,3.88
2025-07-14 12:25:00,1612.4,1613.2,1612.0,1612.8,11321,1612.28,1613.53,32.85,3.75
2025-07-14 12:30:00,1613.0,1615.4,1612.7,1614.4,18546,1612.7,1613.61,31.52,3.7
2025-07-14 12:35:00,1614.2,1614.6,1612.1,1613.1,10865,1612.78,1613.57,30.51,3.65
2025-07-14 12:40:00,1613.7,1614.4,1611.9,1612.4,18535,1612.7,1613.46,29.65,3.59
2025-07-14 12:45:00,1612.6,1612.6,1610.2,1611.4,32375,1612.44,1613.27,29.48,3.54
2025-07-14 12:50:00,1611.5,1611.9,1607.0,1609.5,59159,1611.85,1612.93,30.26,3.6
2025-07-14 12:55:00,1609.5,1610.9,1607.3,1610.8,47170,1611.64,1612.74,30.98,3.6
2025-07-14 13:00:00,1610.8,1613.9,1609.7,1612.7,16034,1611.85,1612.73,30.01,3.63
2025-07-14 13:05:00,1612.7,1613.5,1609.3,1611.5,18266,1611.78,1612.62,29.25,3.66
2025-07-14 13:10:00,1611.5,1612.5,1610.7,1611.8,10054,1611.79,1612.55,28.54,3.57
2025-07-14 13:15:00,1611.7,1613.0,1611.5,1612.6,13505,1611.95,1612.55,27.61,3.47
2025-07-14 13:20:00,1613.0,1613.7,1612.5,1613.0,15628,1612.16,1612.59,26.36,3.36
2025-07-14 13:25:00,1613.0,1615.0,1612.6,1614.4,21013,1612.61,1612.76,24.54,3.32
2025-07-14 13:30:00,1614.4,1617.3,1614.4,1617.1,30769,1613.51,1613.15,23.72,3.3
2025-07-14 13:35:00,1617.2,1618.2,1616.1,1617.4,26634,1614.29,1613.54,23.31,3.24
2025-07-14 13:40:00,1617.5,1618.2,1615.6,1618.2,40917,1615.07,1613.96,22.66,3.21
2025-07-14 13:45:00,1617.8,1619.0,1616.9,1618.4,32569,1615.73,1614.36,22.37,3.16
2025-07-14 13:50:00,1618.5,1618.7,1616.1,1616.2,18772,1615.83,1614.53,21.66,3.13
2025-07-14 13:55:00,1616.5,1617.3,1615.0,1616.2,24608,1615.9,1614.68,20.41,3.09
2025-07-14 14:00:00,1616.1,1616.9,1615.3,1615.9,30262,1615.9,1614.79,19.24,3.02
2025-07-14 14:05:00,1615.9,1617.6,1615.1,1616.7,28552,1616.06,1614.97,18.51,2.99
2025-07-14 14:10:00,1617.1,1617.7,1615.6,1617.3,27126,1616.31,1615.18,17.89,2.95
2025-07-14 14:15:00,1617.3,1617.9,1616.1,1616.8,20202,1616.41,1615.33,17.41,2.9
2025-07-14 14:20:00,1616.8,1619.4,1616.7,1619.0,28378,1616.93,1615.66,17.72,2.89
2025-07-14 14:25:00,1619.0,1620.9,1618.9,1620.9,66952,1617.72,1616.14,18.64,2.85
2025-07-14 14:30:00,1621.0,1622.0,1620.4,1621.0,69402,1618.38,1616.58,19.89,2.79
2025-07-14 14:35:00,1620.7,1621.0,1618.8,1620.0,100219,1618.7,1616.89,19.95,2.76
2025-07-14 14:40:00,1620.0,1620.4,1618.9,1620.0,76807,1618.96,1617.17,20.01,2.7
2025-07-14 14:45:00,1619.9,1620.3,1617.2,1618.3,72547,1618.83,1617.28,19.01,2.72
2025-07-14 14:50:00,1618.3,1622.5,1618.3,1619.8,91640,1619.02,1617.5,19.05,2.79
2025-07-14 14:55:00,1619.8,1622.0,1619.0,1621.5,102865,1619.52,1617.87,19.1,2.8
2025-07-14 15:00:00,1622.4,1622.4,1620.8,1620.8,104944,1619.77,1618.13,19.31,2.74
2025-07-14 15:05:00,1620.8,1620.9,1618.5,1618.5,122014,1619.52,1618.17,18.15,2.72
2025-07-14 15:10:00,1618.5,1620.0,1617.9,1618.9,138094,1619.4,1618.23,16.94,2.69
2025-07-14 15:15:00,1618.8,1620.0,1617.9,1619.3,112482,1619.38,1618.33,15.83,2.67
2025-07-14 15:20:00,1619.3,1620.4,1619.3,1619.9,172313,1619.48,1618.47,14.83,2.59
2025-07-14 15:25:00,1619.8,1620.0,1612.5,1613.5,123453,1618.29,1618.02,16.3,2.83
2025-07-15 09:15:00,1590.0,1621.4,1577.6,1578.6,2393924,1610.35,1614.44,20.75,4.78
2025-07-15 09:20:00,1577.7,1580.9,1570.1,1575.6,1118979,1603.4,1610.91,25.08,5.06
2025-07-15 09:25:00,1575.8,1579.8,1571.0,1578.5,409296,1598.42,1607.96,29.11,5.24
2025-07-15 09:30:00,1578.5,1578.9,1574.4,1575.4,282655,1593.82,1605.0,32.85,5.21
2025-07-15 09:35:00,1575.4,1576.2,1570.1,1570.9,391347,1589.23,1601.9,36.44,5.25
2025-07-15 09:40:00,1570.9,1574.3,1568.3,1572.5,297635,1585.89,1599.23,39.82,5.28
2025-07-15 09:45:00,1572.6,1572.6,1566.1,1566.3,261142,1581.97,1596.23,43.01,5.34
2025-07-15 09:50:00,1565.2,1566.9,1561.5,1562.6,335971,1578.09,1593.18,46.08,5.35
2025-07-15 09:55:00,1562.3,1562.6,1553.9,1555.8,440806,1573.64,1589.78,49.08,5.5
2025-07-15 10:00:00,1555.9,1556.1,1551.4,1553.0,536174,1569.51,1586.44,51.91,5.47
2025-07-15 10:05:00,1553.3,1554.7,1550.0,1554.6,272008,1566.53,1583.54,54.55,5.43
2025-07-15 10:10:00,1554.6,1556.9,1551.4,1556.2,251830,1564.46,1581.06,56.38,5.43
2025-07-15 10:15:00,1556.2,1556.2,1552.5,1555.7,122702,1562.71,1578.75,58.08,5.35
2025-07-15 10:20:00,1555.9,1558.9,1554.3,1557.7,410236,1561.71,1576.84,58.85,5.32
2025-07-15 10:25:00,1557.6,1560.6,1557.1,1557.3,231055,1560.83,1575.06,59.08,5.23
2025-07-15 10:30:00,1557.6,1560.4,1556.3,1560.3,161729,1560.72,1573.72,59.35,5.17
2025-07-15 10:35:00,1561.2,1565.5,1558.3,1564.3,372149,1561.44,1572.86,58.18,5.27
2025-07-15 10:40:00,1564.0,1570.0,1563.8,1567.6,360756,1562.67,1572.38,56.04,5.32
2025-07-15 10:45:00,1567.6,1569.7,1565.3,1567.8,186906,1563.7,1571.97,54.05,5.27
2025-07-15 10:50:00,1568.0,1569.9,1567.1,1569.3,73633,1564.82,1571.73,52.16,5.15
2025-07-15 10:55:00,1569.5,1571.6,1568.5,1570.5,146179,1565.95,1571.61,49.98,5.06
2025-07-15 11:00:00,1570.7,1574.0,1569.1,1569.8,312110,1566.72,1571.45,47.38,5.05
2025-07-15 11:05:00,1569.7,1572.3,1568.6,1572.3,180792,1567.84,1571.53,45.06,4.98
2025-07-15 11:10:00,1572.2,1572.2,1568.4,1568.4,108649,1567.95,1571.24,42.94,4.93
2025-07-15 11:15:00,1568.5,1569.0,1561.2,1562.2,306474,1566.8,1570.42,42.15,5.07
2025-07-15 11:20:00,1562.6,1570.2,1562.6,1570.2,89931,1567.48,1570.4,41.1,5.21
2025-07-15 11:25:00,1570.0,1570.2,1567.9,1569.5,82439,1567.88,1570.32,40.12,5.07
2025-07-15 11:30:00,1569.1,1570.0,1565.8,1566.5,45966,1567.61,1569.97,39.55,5.03
2025-07-15 11:35:00,1566.5,1567.1,1564.0,1565.3,107146,1567.15,1569.55,39.28,4.94
2025-07-15 11:40:00,1565.3,1566.7,1565.1,1566.4,85251,1567.0,1569.26,39.04,4.78
2025-07-15 11:45:00,1566.4,1568.9,1566.1,1568.7,36584,1567.34,1569.21,38.1,4.68
2025-07-15 11:50:00,1568.5,1569.0,1567.3,1568.4,39334,1567.55,1569.14,37.2,4.54
2025-07-15 11:55:00,1568.5,1569.0,1567.0,1567.1,25141,1567.46,1568.95,36.42,4.42
2025-07-15 12:00:00,1567.1,1568.6,1565.8,1566.6,81563,1567.29,1568.74,35.94,4.34
2025-07-15 12:05:00,1567.2,1568.9,1566.0,1568.5,29072,1567.53,1568.72,35.38,4.28
2025-07-15 12:10:00,1568.7,1570.1,1568.3,1568.4,48532,1567.7,1568.69,34.4,4.16
2025-07-15 12:15:00,1568.5,1569.0,1567.0,1568.1,22788,1567.78,1568.63,33.8,4.05
2025-07-15 12:20:00,1567.7,1568.9,1567.0,1568.1,32817,1567.85,1568.58,33.24,3.95
2025-07-15 12:25:00,1568.1,1568.4,1567.7,1568.3,22784,1567.94,1568.56,32.73,3.8
2025-07-15 12:30:00,1568.3,1573.0,1568.1,1572.7,74637,1568.89,1568.94,30.46,3.85
2025-07-15 12:35:00,1572.6,1576.0,1571.8,1575.9,120241,1570.29,1569.57,29.1,3.87
2025-07-15 12:40:00,1576.0,1576.1,1572.7,1575.2,244616,1571.27,1570.08,27.86,3.84
2025-07-15 12:45:00,1575.2,1575.2,1572.0,1572.0,74568,1571.42,1570.26,26.46,3.81
2025-07-15 12:50:00,1572.0,1575.9,1572.0,1574.2,147050,1571.98,1570.61,25.38,3.82
