Datetime,Open,High,Low,Close,Volume,EMA9,EMA21,ADX,ATR
2024-06-26 09:15:00,853.98,855.45,845.55,846.75,47590118,,,0.0,0.0
2024-06-27 09:15:00,848.05,856.5,843.3,848.0,55058266,,,0.0,0.0
2024-06-28 09:15:00,848.8,853.3,839.5,842.5,26471404,,,0.0,0.0
2024-07-01 09:15:00,840.0,853.65,840.0,852.1,21181302,,,0.0,0.0
2024-07-02 09:15:00,857.5,867.45,851.38,864.0,45918076,,,0.0,0.0
2024-07-03 09:15:00,895.5,897.0,882.33,883.85,123207406,,,0.0,0.0
2024-07-04 09:15:00,879.88,879.88,862.43,864.0,45839152,,,0.0,0.0
2024-07-05 09:15:00,842.5,842.5,821.1,824.98,82229132,,,0.0,0.0
2024-07-08 09:15:00,822.65,827.48,813.58,818.18,39077954,845.15,,0.0,0.0
2024-07-09 09:15:00,812.5,823.35,810.18,819.13,48546776,839.95,,0.0,0.0
2024-07-10 09:15:00,814.98,820.0,810.38,814.0,45503974,834.76,,0.0,0.0
2024-07-11 09:15:00,811.98,812.93,800.5,811.5,44174760,830.11,,0.0,0.0
2024-07-12 09:15:00,811.0,819.2,805.58,813.78,56037222,826.84,,0.0,0.0
2024-07-15 09:15:00,811.75,814.9,807.6,811.5,33372476,823.77,,0.0,0.0
2024-07-16 09:15:00,810.38,813.5,808.4,810.5,28947594,821.12,,0.0,0.0
2024-07-18 09:15:00,804.0,811.98,799.58,807.45,33714648,818.38,,0.0,0.0
2024-07-19 09:15:00,808.0,811.5,801.75,802.58,25992198,815.22,,0.0,0.0
2024-07-22 09:15:00,808.5,825.5,806.33,821.0,53738130,816.38,,0.0,0.0
2024-07-23 09:15:00,823.78,823.9,802.5,808.3,52019016,814.76,,0.0,0.0
2024-07-24 09:15:00,804.08,810.5,794.03,804.18,61722522,812.65,,0.0,0.0
2024-07-25 09:15:00,796.5,812.5,796.5,808.0,25533804,811.72,822.02,0.0,16.15
2024-07-26 09:15:00,802.5,810.88,798.23,808.15,43804010,811.0,820.76,0.0,15.98
2024-07-29 09:15:00,807.5,815.93,799.15,802.5,50995910,809.3,819.1,0.0,16.02
2024-07-30 09:15:00,801.0,817.38,799.5,807.1,54583188,808.86,818.01,0.0,16.11
2024-07-31 09:15:00,807.0,813.95,804.6,808.98,37815324,808.89,817.19,0.0,15.79
2024-08-01 09:15:00,811.45,825.03,808.98,823.83,26193760,811.87,817.79,0.0,15.8
2024-08-02 09:15:00,815.5,835.25,815.5,829.03,44112396,815.31,818.81,0.0,15.99
2024-08-05 09:15:00,820.05,823.0,800.5,808.03,41327688,813.85,817.83,19.58,16.58
2024-08-06 09:15:00,815.0,816.48,796.65,801.35,45113230,811.35,816.33,18.96,16.74
2024-08-07 09:15:00,808.5,815.0,801.1,814.55,42344376,811.99,816.17,18.39,16.6
2024-08-08 09:15:00,812.0,826.65,809.63,820.1,33971376,813.61,816.53,17.19,16.62
2024-08-09 09:15:00,826.0,831.28,822.9,825.0,26639670,815.89,817.3,16.41,16.36
2024-08-12 09:15:00,826.0,837.98,823.68,830.0,39190672,818.71,818.45,16.13,16.27
2024-08-13 09:15:00,814.0,816.2,800.58,802.95,54044424,815.56,817.04,15.69,16.89
2024-08-14 09:15:00,803.25,806.85,801.6,803.9,32319648,813.23,815.85,15.29,16.34
2024-08-16 09:15:00,814.25,817.08,805.5,815.25,27846692,813.63,815.79,14.21,16.19
2024-08-19 09:15:00,818.83,818.83,811.85,816.38,19500438,814.18,815.85,13.33,15.75
2024-08-20 09:15:00,813.73,823.0,813.73,817.0,31131490,814.75,815.95,12.81,15.44
