Datetime,Open,High,Low,Close,Volume,EMA9,EMA21,ADX,ATR
2024-06-26 09:15:00,853.98,853.98,848.13,848.15,2535750,,,0.0,0.0
2024-06-26 09:20:00,848.13,849.3,847.0,847.68,823122,,,0.0,0.0
2024-06-26 09:25:00,847.73,848.58,847.23,847.75,524044,,,0.0,0.0
2024-06-26 09:30:00,847.65,850.5,847.1,848.48,1007482,,,0.0,0.0
2024-06-26 09:35:00,848.5,850.05,848.5,848.85,454722,,,0.0,0.0
2024-06-26 09:40:00,849.0,849.53,847.0,847.03,534866,,,0.0,0.0
2024-06-26 09:45:00,846.68,847.23,845.55,845.9,550730,,,0.0,0.0
2024-06-26 09:50:00,845.9,849.23,845.75,849.0,534726,,,0.0,0.0
2024-06-26 09:55:00,849.0,849.33,847.78,848.03,432268,847.9,,0.0,0.0
2024-06-26 10:00:00,848.0,848.45,847.28,847.33,492678,847.78,,0.0,0.0
2024-06-26 10:05:00,847.35,847.93,846.63,847.65,319620,847.76,,0.0,0.0
2024-06-26 10:10:00,847.68,848.25,847.25,847.5,268004,847.71,,0.0,0.0
2024-06-26 10:15:00,847.5,850.35,847.5,849.93,463606,848.15,,0.0,0.0
2024-06-26 10:20:00,849.85,851.0,849.35,849.38,372830,848.4,,0.0,0.0
2024-06-26 10:25:00,849.4,849.43,848.4,848.9,249092,848.5,,0.0,0.0
2024-06-26 10:30:00,849.0,849.85,848.55,848.68,236314,848.53,,0.0,0.0
2024-06-26 10:35:00,848.7,849.38,848.13,849.25,267904,848.68,,0.0,0.0
2024-06-26 10:40:00,849.3,850.13,849.25,849.73,501958,848.89,,0.0,0.0
2024-06-26 10:45:00,849.65,850.45,849.18,849.4,421668,848.99,,0.0,0.0
2024-06-26 10:50:00,849.23,850.9,849.23,850.7,420676,849.33,,0.0,0.0
2024-06-26 10:55:00,850.7,852.5,850.18,851.75,600594,849.82,849.04,0.0,1.97
2024-06-26 11:00:00,851.7,852.95,850.0,851.63,1030970,850.18,849.27,0.0,2.02
2024-06-26 11:05:00,851.55,852.45,850.88,850.88,566342,850.32,849.42,0.0,2.0
2024-06-26 11:10:00,850.85,851.63,850.75,851.5,505974,850.56,849.61,0.0,1.94
2024-06-26 11:15:00,851.33,851.63,850.0,850.05,562166,850.45,849.65,0.0,1.93
2024-06-26 11:20:00,850.05,851.95,850.0,851.73,456712,850.71,849.84,0.0,1.93
2024-06-26 11:25:00,851.78,852.93,851.2,852.63,553324,851.09,850.09,0.0,1.92
2024-06-26 11:30:00,852.7,853.13,852.0,852.38,814092,851.35,850.3,21.02,1.88
2024-06-26 11:35:00,852.5,853.0,851.93,852.9,1644742,851.66,850.54,21.73,1.84
2024-06-26 11:40:00,852.9,853.5,851.73,852.5,330178,851.83,850.71,22.66,1.84
2024-06-26 11:45:00,852.58,853.0,852.4,852.9,253872,852.04,850.91,23.53,1.78
2024-06-26 11:50:00,852.93,853.2,852.18,852.48,267724,852.13,851.06,24.06,1.74
2024-06-26 11:55:00,852.5,852.95,852.28,852.78,287054,852.26,851.21,24.55,1.69
2024-06-26 12:00:00,852.7,853.85,852.13,852.48,471774,852.3,851.33,25.59,1.7
2024-06-26 12:05:00,852.48,853.45,852.05,853.23,210536,852.49,851.5,26.45,1.68
2024-06-26 12:10:00,853.33,854.7,853.25,853.93,438246,852.78,851.72,27.95,1.67
2024-06-26 12:15:00,854.08,855.05,853.85,854.83,1350442,853.19,852.0,29.52,1.65
2024-06-26 12:20:00,854.83,855.45,854.23,854.65,468070,853.48,852.24,31.16,1.63
2024-06-26 12:25:00,854.78,855.35,853.25,853.25,502024,853.43,852.34,31.35,1.65
2024-06-26 12:30:00,853.18,854.3,853.03,853.9,196910,853.53,852.48,31.25,1.63
2024-06-26 12:35:00,853.9,854.9,853.75,854.78,176688,853.78,852.69,31.54,1.61
2024-06-26 12:40:00,854.9,855.0,853.93,854.63,282744,853.95,852.86,31.88,1.58
2024-06-26 12:45:00,854.63,854.78,853.8,854.1,385104,853.98,852.98,32.01,1.56
2024-06-26 12:50:00,854.13,854.68,853.55,854.58,234822,854.1,853.12,31.77,1.53
2024-06-26 12:55:00,854.58,854.75,853.53,854.18,170898,854.12,853.22,31.6,1.52
2024-06-26 13:00:00,854.23,854.38,851.63,852.28,297452,853.75,853.13,29.54,1.58
2024-06-26 13:05:00,852.38,853.98,852.35,853.5,219312,853.7,853.17,27.62,1.58
2024-06-26 13:10:00,853.5,854.25,853.18,853.43,256284,853.64,853.19,25.74,1.56
2024-06-26 13:15:00,853.43,854.33,853.43,853.75,214410,853.67,853.24,24.09,1.53
2024-06-26 13:20:00,853.73,854.23,853.55,853.98,383122,853.73,853.31,22.55,1.49
2024-06-26 13:25:00,853.95,854.25,853.18,853.7,650720,853.72,853.34,21.21,1.47
2024-06-26 13:30:00,853.7,854.28,853.63,853.63,266192,853.7,853.37,19.93,1.43
2024-06-26 13:35:00,853.63,853.93,853.25,853.35,229422,853.63,853.37,19.21,1.39
2024-06-26 13:40:00,853.5,853.73,851.35,851.73,381538,853.25,853.22,20.29,1.44
2024-06-26 13:45:00,851.6,852.98,851.6,852.45,219486,853.09,853.15,21.28,1.44
2024-06-26 13:50:00,852.58,853.48,852.4,852.78,232146,853.03,853.12,21.48,1.42
2024-06-26 13:55:00,852.78,853.78,852.7,853.65,179992,853.15,853.16,21.24,1.4
2024-06-26 14:00:00,853.63,854.5,853.55,853.9,300930,853.3,853.23,20.11,1.38
2024-06-26 14:05:00,853.93,855.1,853.88,855.1,860522,853.66,853.4,18.95,1.37
2024-06-26 14:10:00,855.1,855.23,854.48,854.5,358254,853.83,853.5,18.02,1.35
2024-06-26 14:15:00,854.53,854.8,853.8,854.28,346292,853.92,853.57,17.09,1.33
2024-06-26 14:20:00,854.28,854.4,853.0,853.95,340674,853.93,853.61,17.0,1.33
2024-06-26 14:25:00,853.9,854.13,853.2,853.3,293576,853.8,853.58,16.92,1.31
2024-06-26 14:30:00,853.25,853.95,852.98,853.5,498884,853.74,853.57,17.06,1.3
2024-06-26 14:35:00,853.33,853.78,852.4,852.4,588014,853.47,853.46,17.71,1.3
2024-06-26 14:40:00,852.65,852.98,851.5,851.83,726664,853.14,853.32,19.02,1.31
2024-06-26 14:45:00,851.95,852.5,851.5,852.35,872360,852.99,853.23,20.23,1.29
2024-06-26 14:50:00,852.25,853.08,851.93,852.88,1388342,852.96,853.2,20.48,1.29
2024-06-26 14:55:00,852.85,853.5,852.25,852.78,606442,852.93,853.16,20.14,1.29
2024-06-26 15:00:00,852.8,852.9,851.53,852.1,2118868,852.76,853.06,20.46,1.29
2024-06-26 15:05:00,852.08,852.95,850.0,852.3,2756276,852.67,852.99,21.84,1.37
2024-06-26 15:10:00,852.3,852.3,850.58,850.58,2453446,852.25,852.77,23.11,1.39
2024-06-26 15:15:00,850.58,850.85,849.68,850.35,2293254,851.87,852.55,24.8,1.38
2024-06-26 15:20:00,850.33,850.7,847.05,848.15,2282642,851.13,852.15,27.41,1.48
2024-06-26 15:25:00,848.15,849.5,846.68,846.75,800540,850.25,851.66,29.94,1.55
2024-06-27 09:15:00,848.05,849.85,844.55,845.68,2342764,849.34,851.12,32.81,1.73
2024-06-27 09:20:00,845.73,849.88,845.73,849.2,703208,849.31,850.94,35.45,1.84
2024-06-27 09:25:00,849.18,849.9,846.65,847.05,408724,848.86,850.59,37.86,1.91
2024-06-27 09:30:00,847.03,847.75,846.4,846.75,388366,848.44,850.24,40.17,1.88
2024-06-27 09:35:00,846.75,848.3,846.75,847.93,494010,848.34,850.03,41.56,1.87
2024-06-27 09:40:00,847.8,849.0,847.58,847.85,234530,848.24,849.83,41.95,1.85
2024-06-27 09:45:00,847.78,850.1,847.78,850.03,851416,848.6,849.85,41.09,1.87
2024-06-27 09:50:00,850.0,852.18,849.93,851.98,737604,849.27,850.04,38.49,1.89
2024-06-27 09:55:00,852.18,854.4,851.4,854.3,846664,850.28,850.43,36.76,1.94
2024-06-27 10:00:00,854.13,856.5,853.85,856.08,757676,851.44,850.94,36.1,1.97
2024-06-27 10:05:00,856.0,856.38,853.88,854.25,479280,852.0,851.24,35.5,2.0
2024-06-27 10:10:00,854.48,854.98,853.68,854.03,764054,852.41,851.5,34.78,1.97
2024-06-27 10:15:00,854.0,854.33,851.9,852.95,609118,852.52,851.63,32.86,1.99
2024-06-27 10:20:00,853.05,853.15,850.13,850.45,493886,852.1,851.52,30.95,2.04
2024-06-27 10:25:00,850.43,850.85,848.05,848.55,893948,851.39,851.25,30.12,2.07
2024-06-27 10:30:00,848.48,848.7,845.13,846.18,922360,850.35,850.79,30.37,2.14
2024-06-27 10:35:00,845.93,846.43,845.0,845.7,898076,849.42,850.33,30.64,2.11
2024-06-27 10:40:00,845.5,846.23,844.7,845.0,424224,848.54,849.84,30.99,2.08
2024-06-27 10:45:00,845.0,845.68,843.3,844.5,1053240,847.73,849.36,31.73,2.1
2024-06-27 10:50:00,844.48,847.08,844.25,845.78,338392,847.34,849.03,31.51,2.13
2024-06-27 10:55:00,846.0,847.2,845.65,846.1,369568,847.09,848.77,31.23,2.1
2024-06-27 11:00:00,845.93,846.45,843.5,844.08,501612,846.49,848.34,31.68,2.14
2024-06-27 11:05:00,844.08,845.08,844.0,844.83,225448,846.16,848.02,32.1,2.09
2024-06-27 11:10:00,844.83,847.9,844.63,847.63,393606,846.45,847.99,30.78,2.15
2024-06-27 11:15:00,847.63,848.0,846.55,846.98,332728,846.56,847.89,29.51,2.12
2024-06-27 11:20:00,847.1,847.53,846.48,847.5,228364,846.75,847.86,28.35,2.07
2024-06-27 11:25:00,847.45,848.0,847.23,847.55,223586,846.91,847.83,27.0,2.0
2024-06-27 11:30:00,847.55,848.5,847.38,847.75,244270,847.08,847.82,25.44,1.96
2024-06-27 11:35:00,847.7,847.75,846.78,847.0,446666,847.06,847.75,24.32,1.91
2024-06-27 11:40:00,847.0,847.6,846.83,847.5,639512,847.15,847.73,23.27,1.86
2024-06-27 11:45:00,847.5,847.7,847.23,847.5,398128,847.22,847.71,22.23,1.79
2024-06-27 11:50:00,847.35,847.7,847.05,847.48,398614,847.27,847.68,21.38,1.74
2024-06-27 11:55:00,847.48,848.08,847.3,848.0,349680,847.42,847.71,20.29,1.69
2024-06-27 12:00:00,847.98,848.08,847.9,848.0,280928,847.53,847.74,19.28,1.62
2024-06-27 12:05:00,847.98,848.05,847.13,847.5,686514,847.53,847.72,18.88,1.59
2024-06-27 12:10:00,847.5,848.0,847.43,847.5,1078946,847.52,847.7,18.51,1.54
2024-06-27 12:15:00,847.5,850.5,847.48,850.25,847258,848.07,847.93,18.11,1.61
2024-06-27 12:20:00,850.3,851.6,850.08,851.45,396642,848.74,848.25,18.35,1.61
2024-06-27 12:25:00,851.48,851.48,849.28,849.63,318290,848.92,848.38,17.95,1.63
2024-06-27 12:30:00,849.6,850.93,849.03,850.93,223628,849.32,848.61,17.38,1.65
2024-06-27 12:35:00,850.93,851.5,850.33,850.98,210238,849.65,848.82,17.21,1.62
2024-06-27 12:40:00,851.0,851.23,850.08,850.75,253052,849.87,849.0,16.85,1.6
2024-06-27 12:45:00,850.75,850.75,848.08,849.68,729320,849.83,849.06,16.22,1.65
2024-06-27 12:50:00,849.55,851.03,848.58,848.63,808782,849.59,849.02,15.43,1.69
2024-06-27 12:55:00,848.68,849.13,847.13,847.78,543740,849.23,848.91,15.57,1.71
2024-06-27 13:00:00,847.73,849.5,847.73,849.43,273026,849.27,848.96,15.41,1.71
2024-06-27 13:05:00,849.48,850.0,848.95,849.98,205216,849.41,849.05,14.88,1.68
