Datetime,Open,High,Low,Close,Volume,EMA9,EMA21,ADX,ATR
2025-04-15 09:15:00,705.0,709.0,693.05,698.4,614157,,,0.0,0.0
2025-04-15 09:20:00,698.45,701.5,696.65,701.3,175879,,,0.0,0.0
2025-04-15 09:25:00,701.3,704.25,699.55,701.85,244790,,,0.0,0.0
2025-04-15 09:30:00,701.85,705.25,701.6,704.85,182128,,,0.0,0.0
2025-04-15 09:35:00,704.75,715.0,704.15,714.0,825952,,,0.0,0.0
2025-04-15 09:40:00,714.0,715.85,712.0,712.4,292427,,,0.0,0.0
2025-04-15 09:45:00,712.45,719.6,711.65,718.75,318610,,,0.0,0.0
2025-04-15 09:50:00,718.75,718.75,714.3,714.55,124537,,,0.0,0.0
2025-04-15 09:55:00,714.6,717.55,714.2,716.25,161569,710.6,,0.0,0.0
2025-04-15 10:00:00,716.65,723.45,716.65,723.25,464572,713.13,,0.0,0.0
2025-04-15 10:05:00,723.15,725.2,722.6,723.45,461112,715.19,,0.0,0.0
2025-04-15 10:10:00,723.2,724.4,722.65,723.85,249329,716.92,,0.0,0.0
2025-04-15 10:15:00,723.85,732.1,723.7,730.2,490398,719.58,,0.0,0.0
2025-04-15 10:20:00,730.0,731.1,727.45,728.15,607640,721.29,,0.0,0.0
2025-04-15 10:25:00,727.7,730.75,727.2,729.9,243145,723.01,,0.0,0.0
2025-04-15 10:30:00,729.8,733.95,729.8,733.4,283701,725.09,,0.0,0.0
2025-04-15 10:35:00,733.5,734.7,730.7,731.5,215731,726.37,,0.0,0.0
2025-04-15 10:40:00,731.05,732.95,730.9,731.95,129418,727.49,,0.0,0.0
2025-04-15 10:45:00,731.6,733.0,731.4,732.85,97789,728.56,,0.0,0.0
2025-04-15 10:50:00,732.85,735.5,732.0,733.85,214858,729.62,,0.0,0.0
2025-04-15 10:55:00,733.95,735.35,731.9,732.75,128185,730.24,722.63,0.0,5.02
2025-04-15 11:00:00,732.75,734.45,732.75,733.2,72930,730.84,723.59,0.0,4.87
2025-04-15 11:05:00,733.2,734.8,732.55,732.95,99398,731.26,724.44,0.0,4.74
2025-04-15 11:10:00,732.55,733.9,731.9,733.2,102130,731.65,725.23,0.0,4.61
2025-04-15 11:15:00,733.3,734.75,733.05,734.25,90605,732.17,726.05,0.0,4.47
2025-04-15 11:20:00,734.3,736.0,733.35,735.75,169954,732.88,726.94,0.0,4.39
2025-04-15 11:25:00,735.85,736.5,734.05,734.8,145180,733.27,727.65,0.0,4.29
2025-04-15 11:30:00,734.8,736.95,734.15,736.0,177705,733.81,728.41,96.03,4.22
2025-04-15 11:35:00,736.1,740.0,735.4,739.6,297579,734.97,729.43,95.89,4.24
2025-04-15 11:40:00,739.3,741.0,738.7,739.2,257133,735.82,730.32,95.78,4.15
2025-04-15 11:45:00,739.15,739.8,735.55,735.75,166470,735.8,730.81,93.71,4.15
2025-04-15 11:50:00,735.65,736.5,735.15,736.5,140972,735.94,731.33,91.56,4.02
2025-04-15 11:55:00,736.3,738.5,735.05,737.4,141461,736.23,731.88,89.81,3.99
2025-04-15 12:00:00,737.35,737.85,736.5,737.3,89065,736.45,732.37,88.18,3.87
2025-04-15 12:05:00,736.9,737.55,736.0,736.7,65588,736.5,732.77,86.36,3.76
2025-04-15 12:10:00,736.5,736.95,734.0,734.9,220420,736.18,732.96,83.48,3.72
2025-04-15 12:15:00,734.9,735.4,733.65,734.6,209193,735.86,733.11,80.62,3.62
2025-04-15 12:20:00,734.7,735.0,733.9,734.35,85303,735.56,733.22,77.96,3.5
2025-04-15 12:25:00,734.35,735.0,734.0,734.8,47052,735.41,733.36,75.5,3.38
2025-04-15 12:30:00,734.8,735.75,734.0,735.7,70058,735.47,733.58,73.4,3.31
2025-04-15 12:35:00,735.8,737.2,735.05,736.7,92261,735.71,733.86,71.8,3.25
2025-04-15 12:40:00,737.0,737.0,735.55,735.9,40157,735.75,734.05,70.31,3.17
2025-04-15 12:45:00,735.8,736.5,734.95,735.0,81168,735.6,734.13,68.48,3.09
2025-04-15 12:50:00,735.2,735.25,734.0,734.4,47530,735.36,734.16,66.1,3.0
2025-04-15 12:55:00,734.4,735.0,734.0,734.15,44987,735.12,734.16,63.89,2.91
2025-04-15 13:00:00,734.2,735.0,733.05,734.85,104959,735.06,734.22,61.14,2.86
2025-04-15 13:05:00,734.9,736.45,734.7,735.7,100874,735.19,734.35,59.15,2.81
2025-04-15 13:10:00,735.75,736.0,735.2,735.2,35739,735.19,734.43,57.31,2.71
2025-04-15 13:15:00,735.5,736.8,735.05,735.9,52126,735.33,734.56,55.89,2.67
2025-04-15 13:20:00,736.1,736.8,735.75,736.3,44556,735.53,734.72,54.58,2.59
2025-04-15 13:25:00,736.2,736.9,735.95,736.1,40558,735.64,734.85,53.4,2.51
2025-04-15 13:30:00,736.4,736.65,735.7,736.55,34155,735.82,735.0,52.07,2.44
2025-04-15 13:35:00,736.55,736.6,735.4,735.6,34032,735.78,735.06,50.55,2.38
2025-04-15 13:40:00,735.55,735.95,734.45,734.8,57693,735.58,735.03,48.27,2.34
2025-04-15 13:45:00,734.7,735.0,733.45,734.6,94988,735.39,734.99,45.36,2.3
2025-04-15 13:50:00,734.65,735.0,734.05,734.25,41826,735.16,734.93,42.65,2.23
2025-04-15 13:55:00,734.35,734.35,733.25,733.55,66065,734.84,734.8,39.69,2.18
2025-04-15 14:00:00,733.6,735.0,733.55,734.7,55076,734.81,734.79,37.25,2.15
2025-04-15 14:05:00,734.8,735.0,733.9,734.85,59884,734.82,734.8,34.98,2.1
2025-04-15 14:10:00,734.7,735.8,734.35,735.4,71577,734.93,734.85,33.45,2.07
2025-04-15 14:15:00,735.5,736.0,734.95,735.95,53952,735.14,734.95,32.17,2.02
2025-04-15 14:20:00,736.0,737.0,735.3,736.95,65698,735.5,735.13,31.64,2.0
2025-04-15 14:25:00,736.95,736.95,735.75,736.7,62904,735.74,735.28,31.15,1.96
2025-04-15 14:30:00,736.7,736.8,735.0,735.5,57490,735.69,735.3,29.92,1.96
2025-04-15 14:35:00,735.5,736.5,734.7,735.25,118310,735.6,735.29,28.49,1.95
2025-04-15 14:40:00,735.0,735.55,734.9,735.05,71147,735.49,735.27,27.16,1.89
2025-04-15 14:45:00,734.9,735.5,734.35,735.15,138201,735.42,735.26,25.37,1.85
2025-04-15 14:50:00,735.0,736.0,734.25,735.95,117948,735.53,735.32,24.16,1.85
2025-04-15 14:55:00,735.95,736.0,735.0,735.7,68375,735.56,735.36,23.04,1.81
2025-04-15 15:00:00,735.95,735.95,734.5,734.75,146123,735.4,735.3,21.45,1.79
2025-04-15 15:05:00,734.7,735.05,734.0,734.7,168955,735.26,735.25,20.36,1.75
2025-04-15 15:10:00,734.75,734.95,734.15,734.7,206191,735.15,735.2,19.35,1.71
2025-04-15 15:15:00,734.7,737.5,734.55,736.95,373527,735.51,735.36,19.75,1.77
2025-04-15 15:20:00,736.95,738.25,736.95,737.45,259006,735.9,735.55,20.57,1.75
2025-04-15 15:25:00,737.55,737.7,735.0,735.5,166080,735.82,735.54,19.54,1.79
2025-04-16 09:15:00,747.0,754.0,733.0,736.2,2119288,735.89,735.6,22.83,2.71
2025-04-16 09:20:00,736.55,743.65,734.6,741.05,758121,736.93,736.1,25.88,3.01
