Datetime,Open,High,Low,Close,Volume,EMA9,EMA21,ADX,ATR
2024-08-19 09:15:00,2859.9,2859.9,2760.0,2767.0,2499409,,,0.0,0.0
2024-08-20 09:15:00,2779.75,2783.2,2748.5,2773.0,1762279,,,0.0,0.0
2024-08-21 09:15:00,2774.0,2780.95,2755.0,2769.5,1497347,,,0.0,0.0
2024-08-22 09:15:00,2771.1,2775.75,2724.05,2736.0,2346368,,,0.0,0.0
2024-08-23 09:15:00,2732.95,2769.0,2725.3,2761.0,1943461,,,0.0,0.0
2024-08-26 09:15:00,2764.95,2799.0,2753.1,2794.35,2765770,,,0.0,0.0
2024-08-27 09:15:00,2797.95,2800.0,2773.95,2792.0,1604145,,,0.0,0.0
2024-08-28 09:15:00,2781.9,2827.0,2780.8,2800.75,1851116,,,0.0,0.0
2024-08-29 09:15:00,2789.35,2801.65,2741.65,2763.0,2236982,2775.46,,0.0,0.0
2024-08-30 09:15:00,2780.0,2821.55,2765.0,2812.0,4894901,2782.77,,0.0,0.0
2024-09-02 09:15:00,2848.8,2848.8,2756.5,2775.8,2270593,2781.37,,0.0,0.0
2024-09-03 09:15:00,2780.0,2798.1,2772.6,2783.0,1592508,2781.7,,0.0,0.0
2024-09-04 09:15:00,2761.0,2779.9,2731.1,2755.2,1696854,2776.4,,0.0,0.0
2024-09-05 09:15:00,2756.2,2760.0,2711.9,2721.0,2359473,2765.32,,0.0,0.0
2024-09-06 09:15:00,2723.0,2738.9,2680.1,2699.4,2835436,2752.14,,0.0,0.0
2024-09-09 09:15:00,2688.15,2714.3,2660.05,2705.2,1268945,2742.75,,0.0,0.0
2024-09-10 09:15:00,2691.25,2715.0,2677.0,2694.0,2034035,2733.0,,0.0,0.0
2024-09-11 09:15:00,2681.5,2708.0,2644.1,2652.0,2034209,2716.8,,0.0,0.0
2024-09-12 09:15:00,2665.0,2751.6,2635.6,2727.0,3730152,2718.84,,0.0,0.0
2024-09-13 09:15:00,2755.0,2758.55,2711.75,2737.2,2102281,2722.51,,0.0,0.0
2024-09-16 09:15:00,2740.2,2784.3,2732.05,2756.5,1234609,2729.31,2742.37,0.0,54.31
2024-09-17 09:15:00,2765.0,2793.5,2745.3,2782.0,1387067,2739.85,2745.97,0.0,54.02
2024-09-18 09:15:00,2781.5,2848.0,2777.65,2800.25,2526649,2751.93,2750.9,0.0,54.79
2024-09-19 09:15:00,2812.0,2852.0,2792.2,2801.75,2807403,2761.89,2755.53,0.0,55.03
2024-09-20 09:15:00,2798.7,2960.0,2798.5,2946.35,12491620,2798.78,2772.87,0.0,60.1
2024-09-23 09:15:00,2962.75,3056.9,2956.15,3047.45,3924791,2848.52,2797.84,0.0,62.5
2024-09-24 09:15:00,3020.0,3098.55,3020.0,3075.0,3697106,2893.81,2823.03,0.0,63.27
2024-09-25 09:15:00,3045.0,3149.0,3034.55,3092.0,4218544,2933.45,2847.48,29.29,65.71
2024-09-26 09:15:00,3072.0,3197.2,3045.65,3169.0,4753506,2980.56,2876.71,31.9,69.79
2024-09-27 09:15:00,3171.0,3222.1,3152.55,3190.0,6799293,3022.45,2905.19,34.45,69.78
2024-09-30 09:15:00,3163.15,3179.0,3087.0,3115.0,3553848,3040.96,2924.27,35.3,71.36
2024-10-01 09:15:00,3105.5,3185.45,3095.8,3168.0,4028170,3066.37,2946.42,36.13,72.23
2024-10-03 09:15:00,3085.0,3171.0,3072.45,3137.6,3236980,3080.61,2963.8,36.38,73.49
2024-10-04 09:15:00,3127.05,3157.6,3009.5,3019.0,4280723,3068.29,2968.82,35.36,77.04
2024-10-07 09:15:00,3028.0,3066.95,2982.9,3062.0,2731858,3067.03,2977.29,33.95,77.37
2024-10-08 09:15:00,3074.0,3176.9,3066.0,3169.25,6060100,3087.48,2994.74,33.8,79.16
2024-10-09 09:15:00,3164.8,3204.3,3145.0,3154.75,2432581,3100.93,3009.29,33.91,78.22
2024-10-10 09:15:00,3156.0,3220.3,3155.0,3191.6,2507034,3119.06,3025.86,34.14,77.61
2024-10-11 09:15:00,3200.0,3210.5,3121.0,3136.85,1652383,3122.62,3035.95,33.73,78.18
2024-10-14 09:15:00,3151.0,3174.0,3115.0,3155.0,2424876,3129.1,3046.78,33.24,77.27
2024-10-15 09:15:00,3177.0,3192.95,3086.55,3150.35,2244919,3133.35,3056.19,32.25,78.65
2024-10-16 09:15:00,3138.0,3147.9,3052.15,3068.0,1971962,3120.28,3057.26,30.73,79.58
2024-10-17 09:15:00,3055.0,3065.3,2952.2,2960.0,3621689,3088.22,3048.42,29.19,81.31
2024-10-18 09:15:00,2945.35,2988.85,2914.7,2965.0,3407687,3063.58,3040.84,28.19,80.97
2024-10-21 09:15:00,2959.75,3001.4,2892.9,2995.0,5059879,3049.86,3036.67,27.52,82.28
2024-10-22 09:15:00,3005.0,3008.95,2878.2,2889.3,4195544,3017.75,3023.27,27.06,84.59
2024-10-23 09:15:00,2876.15,2924.9,2781.25,2794.3,7913242,2973.06,3002.46,27.59,87.4
2024-10-24 09:15:00,2763.0,2842.2,2763.0,2834.9,3991948,2945.43,2987.23,28.24,87.01
2024-10-25 09:15:00,2825.0,2825.05,2679.3,2726.65,4531909,2901.67,2963.54,29.49,90.27
2024-10-28 09:15:00,2730.0,2834.9,2713.9,2788.0,2813509,2878.94,2947.58,30.46,91.74
2024-10-29 09:15:00,2762.0,2797.95,2702.55,2743.55,3156015,2851.86,2929.03,31.45,91.91
2024-10-30 09:15:00,2689.25,2755.85,2669.05,2700.0,5677706,2821.49,2908.21,32.62,91.67
2024-10-31 09:15:00,2707.7,2752.0,2671.6,2751.3,3833231,2807.45,2893.95,33.71,91.13
2024-11-01 18:00:00,2780.0,2840.9,2780.0,2826.45,1061545,2811.25,2887.81,32.99,91.06
2024-11-04 09:15:00,2804.5,2971.75,2804.5,2878.0,7558472,2824.6,2886.92,30.76,94.69
2024-11-05 09:15:00,2875.5,2908.0,2822.1,2890.0,3562165,2837.68,2887.2,28.7,94.27
2024-11-06 09:15:00,2910.0,2953.8,2885.4,2912.4,2901770,2852.62,2889.49,27.32,93.04
2024-11-07 09:15:00,2971.75,2972.55,2857.95,2900.0,4250939,2862.1,2890.44,25.67,94.06
2024-11-08 09:15:00,2910.0,2990.95,2851.25,2960.6,4455403,2881.8,2896.82,24.36,96.24
2024-11-11 09:15:00,2962.35,3009.6,2889.05,2920.0,2628452,2889.44,2898.93,23.38,97.39
2024-11-12 09:15:00,2931.2,2945.9,2880.0,2884.05,2414506,2888.36,2897.58,22.33,95.9
2024-11-13 09:15:00,2876.0,2895.0,2782.9,2799.0,3949230,2870.49,2888.62,21.45,96.67
2024-11-14 09:15:00,2815.0,2842.4,2736.25,2818.25,2477989,2860.04,2882.22,21.15,97.12
2024-11-18 09:15:00,2844.0,2874.7,2800.05,2846.95,2405132,2857.42,2879.01,20.4,96.05
2024-11-19 09:15:00,2845.0,2998.0,2845.0,2936.55,5229986,2873.25,2884.24,19.69,98.76
2024-11-21 09:15:00,2962.5,2974.0,2918.0,2925.05,3821763,2883.61,2887.95,19.03,96.72
2024-11-22 09:15:00,2944.0,3063.5,2896.7,3005.5,4826939,2907.99,2898.64,19.3,100.06
2024-11-25 09:15:00,3075.0,3149.65,3022.4,3050.0,6299561,2936.39,2912.4,20.25,102.16
2024-11-26 09:15:00,3053.5,3068.1,2952.5,3005.0,2144676,2950.11,2920.82,20.19,102.8
2024-11-27 09:15:00,3025.95,3070.0,2986.05,3000.0,3593474,2960.09,2928.02,20.15,101.9
2024-11-28 09:15:00,2995.0,2999.95,2892.0,2904.0,4456790,2948.87,2925.83,18.98,102.19
2024-11-29 09:15:00,2903.0,2991.65,2903.0,2973.6,3542760,2953.82,2930.17,17.89,101.55
2024-12-02 09:15:00,2984.0,3026.25,2961.9,3019.4,2318480,2966.93,2938.29,17.25,99.78
2024-12-03 09:15:00,3041.7,3041.7,2987.65,3025.0,2308466,2978.55,2946.17,16.82,97.6
2024-12-04 09:15:00,3003.0,3051.85,3003.0,3025.0,3363862,2987.84,2953.34,16.53,95.28
2024-12-05 09:15:00,3049.95,3099.0,3016.05,3069.0,3796542,3004.07,2963.85,16.76,94.69
2024-12-06 09:15:00,3075.5,3099.0,3065.95,3070.0,2688702,3017.26,2973.5,16.98,91.76
2024-12-09 09:15:00,3063.4,3073.0,3040.0,3048.95,1879394,3023.59,2980.36,16.76,88.96
2024-12-10 09:15:00,3047.95,3081.25,3005.3,3066.0,2061804,3032.08,2988.15,16.02,88.34
2024-12-11 09:15:00,3052.0,3115.0,3047.8,3075.3,2409275,3040.72,2996.07,15.77,87.33
2024-12-12 09:15:00,3084.8,3086.0,3045.0,3059.65,1958823,3044.51,3001.85,15.49,85.13
2024-12-13 09:15:00,3051.0,3093.1,3000.0,3082.65,2468007,3052.14,3009.19,14.51,85.51
2024-12-16 09:15:00,3089.4,3092.15,3040.0,3083.3,2300441,3058.37,3015.93,13.6,83.92
2024-12-17 09:15:00,3055.1,3093.75,3028.0,3035.2,2564165,3053.73,3017.68,12.7,83.05
2024-12-18 09:15:00,3026.1,3062.0,3024.55,3049.3,2013363,3052.85,3020.56,11.92,80.88
2024-12-19 09:15:00,3006.0,3045.0,2970.5,3015.0,2372361,3045.28,3020.05,12.07,80.78
2024-12-20 09:15:00,3014.65,3025.0,2886.35,2916.95,8045936,3019.61,3010.68,13.25,83.54
2024-12-23 09:15:00,2918.0,2942.4,2891.1,2915.0,2142488,2998.69,3001.98,14.35,82.0
2024-12-24 09:15:00,2909.4,2950.2,2900.8,2916.5,1858353,2982.25,2994.21,15.21,80.45
2024-12-26 09:15:00,2925.0,2984.45,2923.35,2984.2,2162110,2982.64,2993.3,15.3,79.85
2024-12-27 09:15:00,2987.2,3064.0,2978.05,3042.0,2290098,2994.51,2997.73,14.4,80.14
2024-12-30 09:15:00,3028.05,3044.6,2991.05,3015.0,2336234,2998.61,2999.3,13.57,78.88
2024-12-31 09:15:00,2994.4,3018.9,2971.2,3014.85,1536217,3001.86,3000.71,12.74,77.39
2025-01-01 09:15:00,3007.1,3086.95,2995.2,3078.0,1686480,3017.09,3007.74,12.74,78.08
2025-01-02 09:15:00,3100.0,3228.1,3085.05,3203.0,4297156,3054.27,3025.49,14.25,81.51
2025-01-03 09:15:00,3215.0,3237.05,3175.7,3180.0,2256902,3079.42,3039.54,15.73,80.55
2025-01-06 09:15:00,3209.6,3235.0,3090.1,3095.95,2656743,3082.72,3044.66,15.72,83.61
2025-01-07 09:15:00,3110.0,3131.3,3081.75,3099.0,1978269,3085.98,3049.6,15.59,81.99
2025-01-08 09:15:00,3135.0,3135.0,3057.0,3093.0,2715051,3087.38,3053.55,15.1,81.8
2025-01-09 09:15:00,3103.8,3157.9,3085.35,3131.8,2433920,3096.27,3060.66,14.92,81.36
2025-01-10 09:15:00,3110.0,3149.6,3055.0,3097.0,2341199,3096.41,3063.97,14.29,81.99
2025-01-13 09:15:00,3053.65,3066.85,2993.45,3000.0,2207152,3077.13,3058.15,13.69,83.02
2025-01-14 09:15:00,3000.0,3078.45,2999.65,3051.5,2851501,3072.0,3057.55,12.96,82.82
2025-01-15 09:15:00,3057.1,3063.95,2951.0,2961.0,2440472,3049.8,3048.77,12.92,84.25
2025-01-16 09:15:00,2978.15,2997.4,2945.0,2979.75,2598409,3035.79,3042.49,12.95,82.73
