Datetime,Open,High,Low,Close,Volume,EMA9,EMA21,ADX,ATR
2024-08-23 15:29:00,2859.9,2859.9,2724.05,2761.0,10048864,,,0.0,0.0
2024-08-30 15:29:00,2764.95,2827.0,2741.65,2812.0,13352914,,,0.0,0.0
2024-09-06 15:29:00,2848.8,2848.8,2680.1,2699.4,10754864,,,0.0,0.0
2024-09-13 15:29:00,2688.15,2758.55,2635.6,2737.2,11169622,,,0.0,0.0
2024-09-20 15:29:00,2740.2,2960.0,2732.05,2946.35,20447348,,,0.0,0.0
2024-09-27 15:29:00,2962.75,3222.1,2956.15,3190.0,23393240,,,0.0,0.0
2024-10-04 15:29:00,3163.15,3185.45,3009.5,3019.0,15099721,,,0.0,0.0
2024-10-11 15:29:00,3028.0,3220.3,2982.9,3136.85,15383956,,,0.0,0.0
2024-10-18 15:29:00,3151.0,3192.95,2914.7,2965.0,13671133,2951.42,,0.0,0.0
2024-10-25 15:29:00,2959.75,3008.95,2679.3,2726.65,25692522,2906.47,,0.0,0.0
2024-11-01 18:59:00,2730.0,2840.9,2669.05,2826.45,16542006,2890.46,,0.0,0.0
2024-11-08 15:29:00,2804.5,2990.95,2804.5,2960.6,22728749,2904.49,,0.0,0.0
2024-11-14 15:29:00,2962.35,3009.6,2736.25,2818.25,11470177,2887.24,,0.0,0.0
2024-11-22 15:29:00,2844.0,3063.5,2800.05,3005.5,16283820,2910.89,,0.0,0.0
2024-11-29 15:29:00,3075.0,3149.65,2892.0,2973.6,20037261,2923.44,,0.0,0.0
2024-12-06 15:29:00,2984.0,3099.0,2961.9,3070.0,14476052,2952.75,,0.0,0.0
2024-12-13 15:29:00,3063.4,3115.0,3000.0,3082.65,10777303,2978.73,,0.0,0.0
2024-12-20 15:29:00,3089.4,3093.75,2886.35,2916.95,17296266,2966.37,,0.0,0.0
2024-12-27 15:29:00,2918.0,3064.0,2891.1,3042.0,8453049,2981.5,,0.0,0.0
2025-01-03 15:29:00,3028.05,3237.05,2971.2,3180.0,12112989,3021.2,,0.0,0.0
2025-01-10 15:29:00,3209.6,3235.0,3055.0,3097.0,12125182,3036.36,2963.3,0.0,203.49
2025-01-17 15:29:00,3053.65,3078.45,2903.1,2922.35,12100319,3013.56,2959.58,0.0,203.04
2025-01-24 15:29:00,2910.0,2935.95,2790.0,2799.0,14744944,2970.65,2944.98,0.0,200.32
2025-01-31 15:29:00,2772.3,3049.85,2754.15,3000.0,11730067,2976.52,2949.98,0.0,204.86
2025-02-07 15:29:00,2990.0,3270.55,2990.0,3193.0,19595725,3019.81,2972.07,0.0,208.46
2025-02-14 15:29:00,3209.2,3270.95,2907.05,2939.0,15370216,3003.65,2969.07,0.0,215.87
2025-02-21 15:29:00,2940.8,2955.0,2653.35,2663.5,22484421,2935.62,2941.29,0.0,219.95
2025-02-28 15:29:00,2669.0,2840.0,2572.2,2595.0,21301628,2867.5,2909.81,15.53,222.23
2025-03-07 15:29:00,2613.8,2766.85,2550.0,2728.1,15422107,2839.62,2893.29,15.2,221.97
2025-03-13 15:29:00,2695.0,2734.65,2613.15,2644.5,12030313,2800.59,2870.67,14.9,217.19
2025-03-21 15:29:00,2635.0,2893.0,2635.0,2787.2,14667074,2797.91,2863.08,13.98,219.13
2025-03-28 15:29:00,2815.3,2822.15,2635.0,2661.15,22482170,2770.56,2844.73,13.13,217.61
2025-04-04 15:29:00,2652.8,2728.0,2557.05,2601.4,11502513,2736.73,2822.6,12.5,215.39
2025-04-11 15:29:00,2425.0,2604.0,2425.0,2600.6,15136665,2709.5,2802.42,12.62,213.65
2025-04-17 15:29:00,2606.0,2690.0,2602.4,2675.3,8997048,2702.66,2790.87,12.18,207.74
2025-04-25 15:29:00,2699.9,2939.6,2665.9,2865.0,15006673,2735.13,2797.61,12.16,210.88
2025-05-02 15:29:00,2918.9,3000.0,2882.3,2918.6,9989466,2771.82,2808.6,12.42,207.27
2025-05-09 15:29:00,2948.9,3159.7,2937.7,2989.7,18301924,2815.4,2825.07,13.32,208.88
2025-05-16 15:29:00,3044.7,3170.7,3018.0,3134.0,12941754,2879.12,2853.15,14.2,207.55
2025-05-23 15:29:00,3115.0,3157.0,2980.5,3012.1,11771294,2905.72,2867.6,14.75,206.07
2025-05-30 15:29:00,3038.0,3101.0,2957.0,2967.0,12036306,2917.97,2876.64,15.11,203.11
2025-06-06 15:29:00,2976.8,3112.9,2962.3,3103.5,13288265,2955.08,2897.26,15.49,200.61
2025-06-13 15:29:00,3130.0,3141.0,2932.0,3005.9,9181743,2965.24,2907.14,15.61,201.01
2025-06-20 15:29:00,3001.0,3203.0,2986.6,3189.9,16086264,3010.17,2932.84,16.06,201.75
2025-06-27 15:29:00,3163.6,3241.5,3122.7,3220.0,14649688,3052.14,2958.95,16.68,197.8
2025-07-04 15:29:00,3205.4,3221.0,3134.1,3162.0,8120035,3074.11,2977.41,17.26,192.52
2025-07-11 15:29:00,3162.5,3192.6,3062.4,3071.0,8353206,3073.49,2985.92,17.15,189.55
