Datetime,Open,High,Low,Close,Volume,EMA9,EMA21,ADX,ATR
2024-06-26 09:15:00,23723.1,23889.9,23670.45,23840.25,0,,,0.0,0.0
2024-06-27 09:15:00,23881.55,24087.45,23805.4,24036.1,0,,,0.0,0.0
2024-06-28 09:15:00,24085.9,24174.0,23985.8,24009.8,0,,,0.0,0.0
2024-07-01 09:15:00,23992.95,24164.0,23992.7,24123.15,0,,,0.0,0.0
2024-07-02 09:15:00,24228.75,24236.35,24056.4,24117.8,0,,,0.0,0.0
2024-07-03 09:15:00,24291.75,24309.15,24207.1,24290.8,0,,,0.0,0.0
2024-07-04 09:15:00,24369.95,24401.0,24281.0,24304.65,0,,,0.0,0.0
2024-07-05 09:15:00,24213.35,24363.0,24168.85,24316.75,0,,,0.0,0.0
2024-07-08 09:15:00,24329.45,24344.6,24240.55,24331.05,0,24178.61,,0.0,0.0
2024-07-09 09:15:00,24351.0,24443.6,24331.9,24417.25,0,24226.34,,0.0,0.0
2024-07-10 09:15:00,24459.85,24461.05,24141.8,24312.4,0,24243.55,,0.0,0.0
2024-07-11 09:15:00,24396.55,24402.65,24193.75,24338.5,0,24262.54,,0.0,0.0
2024-07-12 09:15:00,24387.95,24592.2,24331.15,24512.4,0,24312.51,,0.0,0.0
2024-07-15 09:15:00,24587.6,24635.05,24522.75,24588.35,0,24367.68,,0.0,0.0
2024-07-16 09:15:00,24615.9,24661.25,24587.65,24601.1,0,24414.36,,0.0,0.0
2024-07-18 09:15:00,24543.8,24837.75,24504.45,24779.35,0,24487.36,,0.0,0.0
2024-07-19 09:15:00,24853.8,24854.8,24508.15,24525.85,0,24495.06,,0.0,0.0
2024-07-22 09:15:00,24445.75,24595.2,24362.3,24515.9,0,24499.23,,0.0,0.0
2024-07-23 09:15:00,24568.9,24582.55,24074.2,24476.4,0,24494.66,,0.0,0.0
2024-07-24 09:15:00,24444.95,24504.25,24307.25,24441.9,0,24484.11,,0.0,0.0
2024-07-25 09:15:00,24230.95,24426.15,24210.8,24415.0,0,24470.29,24352.29,0.0,218.94
2024-07-26 09:15:00,24423.35,24861.15,24410.9,24851.75,0,24546.58,24397.69,0.0,229.96
2024-07-29 09:15:00,24943.3,24999.75,24774.6,24840.95,0,24605.45,24437.99,0.0,229.73
2024-07-30 09:15:00,24839.4,24971.75,24798.65,24840.9,0,24652.54,24474.62,0.0,227.03
2024-07-31 09:15:00,24886.7,24984.6,24856.5,24979.3,0,24717.89,24520.5,0.0,223.06
2024-08-01 09:15:00,25030.95,25078.3,24956.4,25006.0,0,24775.52,24564.63,0.0,218.25
2024-08-02 09:15:00,24789.0,24851.9,24686.85,24699.45,0,24760.3,24576.89,0.0,223.05
2024-08-05 09:15:00,24302.85,24350.05,23893.7,24051.8,0,24618.6,24529.16,30.96,250.8
2024-08-06 09:15:00,24189.85,24382.6,23960.4,24033.05,0,24501.49,24484.05,30.32,258.96
2024-08-07 09:15:00,24289.4,24337.7,24184.9,24315.25,0,24464.24,24468.71,29.73,261.14
2024-08-08 09:15:00,24248.55,24340.5,24079.7,24098.7,0,24391.13,24435.07,29.47,261.12
2024-08-09 09:15:00,24386.85,24419.75,24311.2,24364.4,0,24385.79,24428.65,28.87,263.97
2024-08-12 09:15:00,24320.05,24472.8,24212.1,24348.8,0,24378.39,24421.39,28.6,263.82
2024-08-13 09:15:00,24342.35,24359.95,24116.5,24141.2,0,24330.95,24395.92,28.63,262.85
2024-08-14 09:15:00,24184.4,24196.5,24099.7,24144.5,0,24293.66,24373.06,28.7,254.94
2024-08-16 09:15:00,24334.85,24563.9,24204.5,24539.2,0,24342.77,24388.16,27.05,262.77
2024-08-19 09:15:00,24636.35,24638.8,24522.95,24579.0,0,24390.02,24405.51,25.22,255.78
2024-08-20 09:15:00,24648.9,24734.3,24607.2,24672.85,0,24446.58,24429.82,23.69,250.99
2024-08-21 09:15:00,24680.55,24787.95,24654.5,24781.9,0,24513.65,24461.82,22.47,245.39
2024-08-22 09:15:00,24863.4,24867.35,24784.45,24810.9,0,24573.1,24493.56,21.64,237.78
2024-08-23 09:15:00,24845.4,24858.4,24771.65,24831.85,0,24624.85,24524.31,20.82,230.59
2024-08-26 09:15:00,24906.1,25043.8,24874.7,25011.45,0,24702.17,24568.6,20.75,229.7
2024-08-27 09:15:00,25024.8,25073.1,24973.65,24997.05,0,24761.14,24607.55,20.79,223.5
2024-08-28 09:15:00,25030.8,25129.6,24964.65,25044.85,0,24817.89,24647.3,21.03,220.71
2024-08-29 09:15:00,25035.3,25192.9,24998.5,25156.75,0,24885.66,24693.62,21.49,219.46
2024-08-30 09:15:00,25249.7,25268.35,25199.4,25247.0,0,24957.93,24743.92,22.18,214.32
2024-09-02 09:15:00,25333.6,25333.65,25235.5,25273.9,0,25021.12,24792.1,23.04,208.79
2024-09-03 09:15:00,25313.4,25321.7,25235.8,25268.85,0,25070.67,24835.44,23.84,202.94
2024-09-04 09:15:00,25089.95,25216.0,25083.8,25206.35,0,25097.8,24869.16,23.54,202.08
2024-09-05 09:15:00,25250.5,25275.45,25127.75,25144.8,0,25107.2,24894.22,23.5,199.49
2024-09-06 09:15:00,25093.7,25168.75,24801.3,24868.5,0,25059.46,24891.88,22.0,207.49
2024-09-09 09:15:00,24823.4,24957.5,24753.15,24942.25,0,25036.02,24896.46,20.82,207.34
2024-09-10 09:15:00,24999.4,25130.5,24896.8,25052.1,0,25039.24,24910.61,19.77,208.6
2024-09-11 09:15:00,25034.0,25113.7,24885.15,24951.8,0,25021.75,24914.35,18.73,209.55
2024-09-12 09:15:00,25059.65,25433.35,24941.45,25314.95,0,25080.39,24950.77,19.04,222.99
2024-09-13 09:15:00,25430.45,25430.5,25292.45,25343.55,0,25133.02,24986.48,19.34,218.95
2024-09-16 09:15:00,25406.65,25445.7,25336.2,25377.2,0,25181.86,25022.0,19.67,213.74
2024-09-17 09:15:00,25416.9,25441.65,25352.25,25407.15,0,25226.92,25057.01,19.97,207.82
2024-09-18 09:15:00,25402.4,25482.2,25285.55,25343.45,0,25250.22,25083.05,19.81,207.28
2024-09-19 09:15:00,25487.05,25611.95,25376.05,25445.0,0,25289.18,25115.96,20.22,210.2
2024-09-20 09:15:00,25525.95,25849.25,25426.6,25820.35,0,25395.41,25179.99,21.44,220.32
