Datetime,Open,High,Low,Close,Volume,EMA9,EMA21,ADX,ATR
2021-06-03 09:15:00,5.81,6.16,5.64,6.16,160943450,,,0.0,0.0
2021-06-04 09:15:00,6.29,6.64,6.16,6.47,176786482,,,0.0,0.0
2021-06-07 09:15:00,6.6,6.6,6.12,6.34,100696572,,,0.0,0.0
2021-06-08 09:15:00,6.42,6.42,6.03,6.03,54618793,,,0.0,0.0
2021-06-09 09:15:00,6.07,6.29,5.86,6.21,88448984,,,0.0,0.0
2021-06-10 09:15:00,6.21,6.47,6.16,6.38,69864903,,,0.0,0.0
2021-06-11 09:15:00,6.47,6.56,6.16,6.25,40768299,,,0.0,0.0
2021-06-14 09:15:00,6.25,6.29,5.9,6.16,36193002,,,0.0,0.0
2021-06-15 09:15:00,6.21,6.47,6.16,6.34,68442653,6.25,,0.0,0.0
2021-06-16 09:15:00,6.38,6.47,6.12,6.21,35336244,6.24,,0.0,0.0
2021-06-17 09:15:00,6.12,6.47,6.07,6.29,43429599,6.25,,0.0,0.0
2021-06-18 09:15:00,6.29,6.56,5.99,6.56,239078468,6.31,,0.0,0.0
2021-06-21 09:15:00,6.38,6.86,6.29,6.86,93912273,6.42,,0.0,0.0
2021-06-22 09:15:00,7.17,7.17,6.99,7.17,67550162,6.57,,0.0,0.0
2021-06-23 09:15:00,7.34,7.43,6.82,6.82,186563483,6.62,,0.0,0.0
2021-06-24 09:15:00,6.69,6.73,6.51,6.51,39878016,6.6,,0.0,0.0
2021-06-25 09:15:00,6.25,6.82,6.21,6.82,137676067,6.64,,0.0,0.0
2021-06-28 09:15:00,6.9,7.08,6.64,6.86,76285044,6.69,,0.0,0.0
2021-06-29 09:15:00,6.99,6.99,6.64,6.73,38735242,6.7,,0.0,0.0
2021-06-30 09:15:00,6.95,6.99,6.73,6.99,47811138,6.75,,0.0,0.0
2021-07-01 09:15:00,7.34,7.34,7.34,7.34,8017186,6.87,6.64,0.0,0.42
2021-07-02 09:15:00,7.69,7.69,7.69,7.69,4544929,7.04,6.73,0.0,0.42
2021-07-05 09:15:00,8.04,8.04,8.04,8.04,3248936,7.24,6.85,0.0,0.41
2021-07-06 09:15:00,8.08,8.26,7.65,7.65,206431009,7.32,6.92,0.0,0.42
2021-07-07 09:15:00,7.3,7.43,7.3,7.3,23439937,7.32,6.96,0.0,0.42
2021-07-08 09:15:00,7.17,7.65,7.17,7.56,100671905,7.36,7.01,0.0,0.42
2021-07-09 09:15:00,7.52,7.65,7.25,7.43,43643552,7.38,7.05,0.0,0.42
2021-07-12 09:15:00,7.52,7.56,7.17,7.21,35128498,7.34,7.07,29.49,0.42
2021-07-13 09:15:00,7.3,7.34,6.9,6.99,37814497,7.27,7.06,27.97,0.42
2021-07-14 09:15:00,6.95,7.17,6.82,6.95,41449350,7.21,7.05,26.34,0.42
2021-07-15 09:15:00,6.95,7.21,6.86,7.12,75759346,7.19,7.06,24.93,0.41
2021-07-16 09:15:00,7.08,7.12,6.9,6.99,23622815,7.15,7.05,23.62,0.41
2021-07-19 09:15:00,6.82,6.95,6.69,6.77,35719597,7.07,7.02,22.1,0.4
2021-07-20 09:15:00,6.77,6.82,6.42,6.51,30189858,6.96,6.98,21.42,0.4
2021-07-22 09:15:00,6.47,6.69,6.47,6.6,21050769,6.89,6.94,20.8,0.39
2021-07-23 09:15:00,6.64,6.69,6.34,6.47,23534133,6.81,6.9,20.56,0.39
