Datetime,Open,High,Low,Close,Volume,EMA9,EMA21,ADX,ATR
2021-06-04 15:29:00,5.81,6.64,5.64,6.47,337729932,,,0.0,0.0
2021-06-11 15:29:00,6.6,6.6,5.86,6.25,354397551,,,0.0,0.0
2021-06-18 15:29:00,6.25,6.56,5.9,6.56,422479966,,,0.0,0.0
2021-06-25 15:29:00,6.38,7.43,6.21,6.82,525580001,,,0.0,0.0
2021-07-02 15:29:00,6.9,7.69,6.64,7.69,175393539,,,0.0,0.0
2021-07-09 15:29:00,8.04,8.26,7.17,7.43,377435339,,,0.0,0.0
2021-07-16 15:29:00,7.52,7.56,6.82,6.99,213774506,,,0.0,0.0
2021-07-23 15:29:00,6.82,6.95,6.34,6.47,110494357,,,0.0,0.0
2021-07-30 15:29:00,6.47,6.64,5.29,5.46,372758773,6.55,,0.0,0.0
2021-08-06 15:29:00,5.51,6.29,5.46,5.99,310759352,6.44,,0.0,0.0
2021-08-13 15:29:00,6.12,6.12,5.38,5.68,127414784,6.29,,0.0,0.0
2021-08-20 15:29:00,5.9,5.94,5.03,5.07,142649813,6.04,,0.0,0.0
2021-08-27 15:29:00,5.11,5.46,4.98,5.24,122779429,5.88,,0.0,0.0
2021-09-03 15:29:00,5.24,5.55,5.2,5.38,156512316,5.78,,0.0,0.0
2021-09-09 15:29:00,5.33,5.59,5.2,5.46,78471237,5.72,,0.0,0.0
2021-09-17 15:29:00,5.46,5.9,5.33,5.68,144410173,5.71,,0.0,0.0
2021-09-24 15:29:00,5.59,5.9,5.46,5.51,106540290,5.67,,0.0,0.0
2021-10-01 15:29:00,5.55,5.86,5.33,5.72,117652355,5.68,,0.0,0.0
2021-10-08 15:29:00,5.72,6.51,5.68,6.42,283882893,5.83,,0.0,0.0
2021-10-14 15:29:00,6.51,6.95,6.12,6.16,247735615,5.89,,0.0,0.0
2021-10-22 15:29:00,6.25,6.64,5.99,6.16,146789099,5.95,6.04,0.0,0.76
2021-10-29 15:29:00,6.21,6.25,5.72,5.94,75601725,5.95,6.03,0.0,0.75
2021-11-04 19:14:00,6.03,6.25,5.99,6.21,45990080,6.0,6.05,0.0,0.73
2021-11-12 15:29:00,6.25,6.47,6.07,6.25,89944512,6.05,6.06,0.0,0.72
2021-11-18 15:29:00,6.29,6.34,5.94,6.03,109827657,6.05,6.06,0.0,0.7
2021-11-26 15:29:00,6.12,6.21,5.9,6.03,102928090,6.04,6.06,0.0,0.68
2021-12-03 15:29:00,5.99,6.47,5.72,6.16,213725255,6.07,6.07,0.0,0.69
2021-12-10 15:29:00,6.12,6.86,6.07,6.82,295214826,6.22,6.14,10.94,0.69
2021-12-17 15:29:00,6.9,6.99,5.86,5.99,256143003,6.17,6.12,11.33,0.71
2021-12-24 15:29:00,5.94,7.12,5.77,7.08,258814906,6.35,6.21,11.92,0.74
2021-12-31 15:29:00,7.34,8.91,7.25,8.91,319005824,6.86,6.46,14.56,0.79
2022-01-07 15:29:00,9.35,9.79,8.13,9.31,502360736,7.35,6.71,17.59,0.84
2022-01-14 15:29:00,9.75,10.71,9.44,10.66,867430921,8.01,7.07,20.88,0.86
2022-01-21 15:29:00,10.88,11.45,9.96,10.23,484384459,8.46,7.36,24.24,0.89
2022-01-28 15:29:00,10.27,10.58,9.22,10.01,346456104,8.77,7.6,26.01,0.91
2022-02-04 15:29:00,10.44,10.93,10.05,10.14,343807228,9.04,7.83,27.86,0.91
2022-02-11 15:29:00,10.18,10.31,8.87,9.05,346462854,9.04,7.94,27.79,0.94
2022-02-18 15:29:00,8.65,9.53,8.22,8.87,288760337,9.01,8.03,26.92,0.96
2022-02-25 15:29:00,8.52,8.7,7.73,7.91,250565525,8.79,8.02,25.56,0.97
2022-03-04 15:29:00,8.04,9.05,7.56,8.91,210992702,8.81,8.1,24.62,0.99
2022-03-11 15:29:00,8.57,9.0,8.22,8.7,148235175,8.79,8.15,23.75,0.98
2022-03-17 15:29:00,8.74,8.91,8.35,8.61,103698134,8.75,8.19,22.94,0.96
2022-03-25 15:29:00,8.61,8.61,8.08,8.22,91507722,8.65,8.2,21.82,0.94
2022-04-01 15:29:00,8.17,8.43,7.82,8.39,133510663,8.6,8.21,20.44,0.92
2022-04-08 15:29:00,8.48,10.79,8.43,10.4,295217716,8.96,8.41,21.28,0.99
