Datetime,Open,High,Low,Close,Volume,EMA9,EMA21,ADX,ATR
2025-07-14 09:15:00,3372.0,3374.3,3364.6,3371.6,21035,,,0.0,0.0
2025-07-14 09:20:00,3371.7,3371.9,3360.0,3362.1,13106,,,0.0,0.0
2025-07-14 09:25:00,3360.2,3365.0,3360.0,3362.3,6846,,,0.0,0.0
2025-07-14 09:30:00,3362.2,3365.0,3356.5,3357.9,7374,,,0.0,0.0
2025-07-14 09:35:00,3359.0,3362.3,3350.1,3351.0,12466,,,0.0,0.0
2025-07-14 09:40:00,3351.3,3352.8,3345.4,3348.5,15583,,,0.0,0.0
2025-07-14 09:45:00,3348.5,3350.0,3344.5,3347.3,11307,,,0.0,0.0
2025-07-14 09:50:00,3347.3,3349.6,3344.0,3348.8,6968,,,0.0,0.0
2025-07-14 09:55:00,3349.6,3353.8,3347.5,3352.5,27434,3355.18,,0.0,0.0
2025-07-14 10:00:00,3353.0,3358.0,3353.0,3356.5,5118,3355.45,,0.0,0.0
2025-07-14 10:05:00,3357.6,3358.0,3348.5,3350.0,29037,3354.36,,0.0,0.0
2025-07-14 10:10:00,3350.0,3352.4,3347.3,3351.8,8084,3353.85,,0.0,0.0
2025-07-14 10:15:00,3351.9,3352.4,3349.7,3350.0,8183,3353.08,,0.0,0.0
2025-07-14 10:20:00,3350.5,3353.0,3349.5,3349.7,4113,3352.4,,0.0,0.0
2025-07-14 10:25:00,3350.0,3352.0,3349.4,3351.5,10199,3352.22,,0.0,0.0
2025-07-14 10:30:00,3351.5,3352.0,3348.1,3351.3,12493,3352.04,,0.0,0.0
2025-07-14 10:35:00,3351.5,3362.0,3351.2,3360.3,17012,3353.69,,0.0,0.0
2025-07-14 10:40:00,3361.4,3364.0,3360.4,3364.0,2922,3355.75,,0.0,0.0
2025-07-14 10:45:00,3364.0,3372.8,3364.0,3371.2,8180,3358.84,,0.0,0.0
2025-07-14 10:50:00,3371.2,3375.6,3368.0,3370.0,10645,3361.07,,0.0,0.0
2025-07-14 10:55:00,3370.1,3377.9,3370.1,3375.6,6949,3363.98,3361.28,0.0,6.84
2025-07-14 11:00:00,3376.0,3378.5,3374.6,3377.0,4695,3366.58,3362.71,0.0,6.7
2025-07-14 11:05:00,3377.9,3377.9,3372.0,3374.0,5524,3368.07,3363.73,0.0,6.66
2025-07-14 11:10:00,3375.1,3376.7,3373.8,3375.8,3231,3369.61,3364.83,0.0,6.49
2025-07-14 11:15:00,3376.3,3376.6,3368.2,3370.0,5667,3369.69,3365.3,0.0,6.58
2025-07-14 11:20:00,3370.0,3370.4,3366.3,3368.1,3832,3369.37,3365.56,0.0,6.46
2025-07-14 11:25:00,3368.1,3375.0,3366.1,3369.7,12165,3369.44,3365.93,0.0,6.57
2025-07-14 11:30:00,3370.0,3374.0,3368.3,3370.6,4592,3369.67,3366.36,17.35,6.53
2025-07-14 11:35:00,3371.9,3374.0,3370.7,3373.1,3327,3370.36,3366.97,16.54,6.38
2025-07-14 11:40:00,3373.9,3376.7,3371.8,3376.3,5519,3371.54,3367.82,16.29,6.31
2025-07-14 11:45:00,3376.9,3392.0,3376.2,3386.5,23455,3374.54,3369.52,17.97,6.76
2025-07-14 11:50:00,3387.4,3388.1,3382.5,3383.3,10579,3376.29,3370.77,19.54,6.71
2025-07-14 11:55:00,3383.7,3392.0,3383.5,3388.0,7840,3378.63,3372.34,21.36,6.8
2025-07-14 12:00:00,3389.1,3390.0,3386.1,3387.3,6325,3380.36,3373.7,23.04,6.67
2025-07-14 12:05:00,3387.8,3388.2,3379.5,3383.1,10999,3380.91,3374.55,23.14,6.76
2025-07-14 12:10:00,3384.0,3384.7,3380.5,3383.8,5091,3381.49,3375.39,23.24,6.64
2025-07-14 12:15:00,3383.9,3384.6,3380.7,3383.0,9747,3381.79,3376.08,23.33,6.51
2025-07-14 12:20:00,3383.0,3383.6,3380.6,3380.9,5043,3381.61,3376.52,23.38,6.34
2025-07-14 12:25:00,3380.9,3381.8,3378.1,3378.3,6305,3380.95,3376.68,22.84,6.22
2025-07-14 12:30:00,3379.0,3380.9,3377.6,3380.9,4019,3380.94,3377.07,22.22,6.08
2025-07-14 12:35:00,3380.9,3387.9,3380.4,3386.4,7067,3382.03,3377.91,22.73,6.15
2025-07-14 12:40:00,3386.4,3386.4,3380.9,3383.0,7362,3382.23,3378.38,23.2,6.12
2025-07-14 12:45:00,3383.4,3383.9,3381.2,3383.5,7232,3382.48,3378.84,23.64,5.95
2025-07-14 12:50:00,3383.5,3387.9,3381.3,3386.3,7961,3383.24,3379.52,24.61,5.98
2025-07-14 12:55:00,3386.3,3388.0,3384.9,3387.1,7757,3384.02,3380.21,25.53,5.85
2025-07-14 13:00:00,3387.1,3388.9,3385.8,3388.3,6372,3384.87,3380.95,26.5,5.72
2025-07-14 13:05:00,3387.3,3388.9,3380.0,3384.3,13702,3384.76,3381.25,25.78,5.87
2025-07-14 13:10:00,3384.3,3387.4,3383.0,3386.9,5829,3385.19,3381.76,25.1,5.8
2025-07-14 13:15:00,3386.9,3388.4,3385.8,3387.7,5653,3385.69,3382.3,24.67,5.64
2025-07-14 13:20:00,3387.8,3390.6,3386.9,3387.8,14943,3386.11,3382.8,24.67,5.55
2025-07-14 13:25:00,3387.8,3388.0,3383.0,3386.9,13265,3386.27,3383.18,23.62,5.53
2025-07-14 13:30:00,3387.0,3388.5,3384.4,3388.1,7186,3386.64,3383.62,22.75,5.46
2025-07-14 13:35:00,3388.1,3388.1,3384.3,3386.9,5875,3386.69,3383.92,21.91,5.38
2025-07-14 13:40:00,3387.6,3392.2,3387.2,3391.1,6346,3387.57,3384.57,21.97,5.38
2025-07-14 13:45:00,3391.1,3392.5,3389.7,3391.0,6072,3388.26,3385.16,22.08,5.25
2025-07-14 13:50:00,3391.2,3391.8,3388.4,3389.4,8874,3388.49,3385.54,21.78,5.16
2025-07-14 13:55:00,3389.3,3390.0,3385.0,3390.0,15326,3388.79,3385.95,20.54,5.16
2025-07-14 14:00:00,3390.0,3391.9,3389.8,3391.4,5595,3389.31,3386.44,19.83,5.01
2025-07-14 14:05:00,3391.7,3392.3,3390.9,3392.0,5630,3389.85,3386.95,19.26,4.84
2025-07-14 14:10:00,3392.3,3400.1,3391.3,3395.9,25264,3391.06,3387.76,20.19,5.03
2025-07-14 14:15:00,3395.7,3397.9,3393.5,3397.0,4537,3392.25,3388.6,21.06,5.0
2025-07-14 14:20:00,3397.6,3400.5,3395.0,3398.2,7178,3393.44,3389.48,22.26,5.02
2025-07-14 14:25:00,3398.4,3400.5,3397.0,3397.7,8716,3394.29,3390.22,23.37,4.95
2025-07-14 14:30:00,3397.7,3398.1,3396.1,3397.5,7035,3394.93,3390.88,24.09,4.81
2025-07-14 14:35:00,3397.5,3398.4,3394.1,3397.7,8959,3395.49,3391.5,24.09,4.78
2025-07-14 14:40:00,3398.5,3400.0,3397.7,3399.9,6844,3396.37,3392.27,24.39,4.67
2025-07-14 14:45:00,3399.9,3402.1,3398.5,3402.0,6225,3397.49,3393.15,25.06,4.62
2025-07-14 14:50:00,3402.0,3408.5,3400.8,3407.3,8646,3399.46,3394.44,26.62,4.76
2025-07-14 14:55:00,3408.1,3410.0,3404.0,3410.0,9393,3401.56,3395.85,28.25,4.82
2025-07-14 15:00:00,3410.0,3410.0,3403.0,3403.7,17949,3401.99,3396.57,29.41,4.93
2025-07-14 15:05:00,3403.1,3405.6,3402.0,3404.8,18894,3402.55,3397.31,30.13,4.86
2025-07-14 15:10:00,3404.9,3406.8,3403.6,3404.9,23227,3403.02,3398.0,30.99,4.78
2025-07-14 15:15:00,3404.8,3407.0,3403.8,3405.2,22399,3403.46,3398.66,31.81,4.71
2025-07-14 15:20:00,3405.2,3406.0,3402.8,3404.2,21643,3403.61,3399.16,32.18,4.64
2025-07-14 15:25:00,3404.3,3406.1,3400.1,3402.0,17699,3403.29,3399.42,31.52,4.7
2025-07-15 09:15:00,3418.0,3418.0,3400.8,3408.0,19293,3404.23,3400.2,32.7,5.3
2025-07-15 09:20:00,3408.0,3415.0,3408.0,3414.2,8379,3406.22,3401.47,33.8,5.38
2025-07-15 09:25:00,3414.0,3417.0,3411.8,3413.0,6310,3407.58,3402.52,35.05,5.37
2025-07-15 09:30:00,3414.8,3416.3,3406.7,3406.7,3987,3407.4,3402.9,34.68,5.57
2025-07-15 09:35:00,3407.4,3407.4,3403.5,3403.9,7257,3406.7,3402.99,33.53,5.49
2025-07-15 09:40:00,3403.9,3404.0,3395.0,3397.0,9638,3404.76,3402.45,31.5,5.66
2025-07-15 09:45:00,3396.4,3398.7,3393.0,3398.5,4540,3403.51,3402.09,29.94,5.66
2025-07-15 09:50:00,3398.5,3400.1,3392.3,3392.6,3730,3401.33,3401.23,28.22,5.76
2025-07-15 09:55:00,3392.7,3396.5,3391.4,3394.1,4141,3399.88,3400.58,26.78,5.73
2025-07-15 10:00:00,3394.1,3398.7,3392.5,3396.7,3904,3399.25,3400.23,24.99,5.75
2025-07-15 10:05:00,3396.7,3402.3,3395.9,3399.2,6368,3399.24,3400.13,23.76,5.78
2025-07-15 10:10:00,3399.2,3400.3,3394.5,3395.0,3301,3398.39,3399.67,22.33,5.78
2025-07-15 10:15:00,3395.1,3396.4,3387.7,3392.2,7516,3397.15,3398.99,21.69,5.92
2025-07-15 10:20:00,3393.0,3396.0,3392.1,3394.2,2408,3396.56,3398.55,21.1,5.83
2025-07-15 10:25:00,3394.2,3400.0,3394.2,3398.0,11808,3396.85,3398.5,19.73,5.83
2025-07-15 10:30:00,3398.0,3399.4,3397.5,3398.8,8033,3397.24,3398.53,18.46,5.64
2025-07-15 10:35:00,3399.0,3399.4,3398.0,3398.5,13396,3397.49,3398.53,17.27,5.44
2025-07-15 10:40:00,3398.5,3400.0,3398.5,3398.5,7224,3397.69,3398.52,16.04,5.25
2025-07-15 10:45:00,3398.9,3405.6,3398.5,3402.2,81603,3398.59,3398.86,16.02,5.34
2025-07-15 10:50:00,3402.2,3402.2,3397.0,3400.4,7442,3398.96,3399.0,15.64,5.33
2025-07-15 10:55:00,3400.4,3401.0,3400.0,3401.0,3998,3399.36,3399.18,15.29,5.12
2025-07-15 11:00:00,3401.0,3408.0,3400.1,3407.2,10700,3400.93,3399.91,16.17,5.26
2025-07-15 11:05:00,3407.8,3412.4,3406.7,3409.8,7713,3402.71,3400.81,17.59,5.28
2025-07-15 11:10:00,3410.0,3411.1,3405.1,3409.3,6626,3404.02,3401.58,18.48,5.31
2025-07-15 11:15:00,3409.3,3409.6,3404.5,3405.0,11089,3404.22,3401.89,19.16,5.3
2025-07-15 11:20:00,3405.1,3406.1,3404.5,3405.0,3096,3404.38,3402.17,19.78,5.13
2025-07-15 11:25:00,3405.1,3406.9,3404.5,3405.0,1785,3404.5,3402.43,20.5,5.0
2025-07-15 11:30:00,3404.8,3407.0,3404.5,3404.5,2585,3404.5,3402.62,21.18,4.88
2025-07-15 11:35:00,3404.5,3407.9,3404.5,3406.9,21487,3404.98,3403.01,21.97,4.81
2025-07-15 11:40:00,3406.9,3410.0,3406.8,3408.8,3806,3405.74,3403.53,23.07,4.73
2025-07-15 11:45:00,3408.8,3409.2,3406.9,3407.6,2425,3406.12,3403.9,24.09,4.61
2025-07-15 11:50:00,3407.1,3408.5,3405.7,3406.0,3369,3406.09,3404.09,24.57,4.53
2025-07-15 11:55:00,3405.5,3408.2,3405.0,3408.1,2924,3406.49,3404.46,24.75,4.46
2025-07-15 12:00:00,3409.4,3412.0,3408.5,3410.1,4279,3407.22,3404.97,25.67,4.44
2025-07-15 12:05:00,3410.2,3410.7,3406.7,3408.1,5854,3407.39,3405.26,25.84,4.42
2025-07-15 12:10:00,3408.1,3409.5,3407.0,3407.5,3150,3407.41,3405.46,26.01,4.33
2025-07-15 12:15:00,3407.7,3409.1,3407.5,3407.8,6546,3407.49,3405.67,26.16,4.2
2025-07-15 12:20:00,3407.6,3411.0,3407.5,3410.3,13393,3408.05,3406.09,26.73,4.16
2025-07-15 12:25:00,3410.0,3413.3,3409.6,3412.1,4357,3408.86,3406.64,27.72,4.14
2025-07-15 12:30:00,3412.2,3415.0,3412.0,3414.4,4806,3409.97,3407.34,28.94,4.09
2025-07-15 12:35:00,3414.4,3417.0,3412.3,3413.8,11942,3410.74,3407.93,30.4,4.12
2025-07-15 12:40:00,3413.8,3414.7,3411.8,3413.8,5094,3411.35,3408.47,31.53,4.06
2025-07-15 12:45:00,3413.8,3415.5,3412.1,3414.6,4938,3412.0,3409.02,32.71,4.03
2025-07-15 12:50:00,3414.2,3414.8,3412.1,3413.3,5082,3412.26,3409.41,33.81,3.96
2025-07-15 12:55:00,3412.7,3414.0,3411.0,3411.0,3458,3412.01,3409.56,34.25,3.92
2025-07-15 13:00:00,3411.1,3413.9,3410.0,3413.0,4346,3412.21,3409.87,34.15,3.92
2025-07-15 13:05:00,3413.0,3414.0,3412.0,3412.6,4154,3412.28,3410.12,34.08,3.83
2025-07-15 13:10:00,3412.3,3414.0,3410.6,3412.6,4363,3412.35,3410.34,33.29,3.81
2025-07-15 13:15:00,3412.4,3413.0,3410.0,3410.4,2270,3411.96,3410.35,32.25,3.77
2025-07-15 13:20:00,3410.2,3412.0,3410.2,3410.8,3545,3411.73,3410.39,31.29,3.67
2025-07-15 13:25:00,3410.7,3411.7,3409.0,3410.5,5389,3411.48,3410.4,29.78,3.63
2025-07-15 13:30:00,3410.5,3411.5,3409.2,3410.0,9429,3411.18,3410.36,28.38,3.56
2025-07-15 13:35:00,3410.1,3413.0,3410.0,3413.0,7734,3411.55,3410.6,27.69,3.54
2025-07-15 13:40:00,3413.0,3415.0,3412.8,3413.6,7113,3411.96,3410.88,27.75,3.47
2025-07-15 13:45:00,3413.4,3416.8,3413.4,3416.3,5265,3412.83,3411.37,28.35,3.47
2025-07-15 13:50:00,3416.2,3418.0,3415.0,3415.3,11144,3413.32,3411.73,29.22,3.45
2025-07-15 13:55:00,3415.3,3415.4,3412.0,3412.8,6595,3413.22,3411.82,28.44,3.45
2025-07-15 14:00:00,3412.8,3419.0,3412.3,3416.4,20863,3413.85,3412.24,28.7,3.6
2025-07-15 14:05:00,3416.7,3422.0,3415.5,3422.0,17337,3415.48,3413.13,29.59,3.74
2025-07-15 14:10:00,3421.9,3422.0,3420.0,3420.1,5977,3416.41,3413.76,30.42,3.66
2025-07-15 14:15:00,3420.0,3421.0,3417.0,3417.6,5369,3416.65,3414.11,29.84,3.67
2025-07-15 14:20:00,3417.7,3417.9,3412.3,3414.0,9663,3416.12,3414.1,27.72,3.76
2025-07-15 14:25:00,3413.3,3415.6,3413.0,3413.2,4765,3415.53,3414.02,25.74,3.71
2025-07-15 14:30:00,3413.1,3416.9,3413.0,3415.1,6374,3415.45,3414.12,24.29,3.72
2025-07-15 14:35:00,3415.0,3415.7,3411.0,3415.2,16890,3415.4,3414.21,22.8,3.76
2025-07-15 14:40:00,3415.1,3415.3,3413.3,3414.1,7227,3415.14,3414.2,21.42,3.68
