Date,Open,High,Low,Close,Volume,Bars,PrevClose,return_pct,gap_pct,intraday_pct,range_pct,close_position,volume_ratio20,pre5_pct,pre20_pct,post1_pct,post5_pct,post20_pct,first15_pct,first60_pct,first30_volume_share,high_time,low_time,max_15m_up_pct,max_15m_up_time,max_15m_down_pct,max_15m_down_time,nifty_return_pct,abnormal_vs_nifty_pct,path_type
2023-11-22,389.6500,469.3500,386.0000,469.3500,15950020,375,389.8000,20.4079,-0.0385,20.4543,21.5933,1.0000,11.7888,2.0285,-0.4851,-1.9815,-3.7605,-3.3024,-0.7443,-0.5133,0.0129,12:28,10:47,14.0306,12:30,-0.6679,09:33,,,intraday_accumulation
2022-07-21,203.3000,223.3500,203.3000,222.5000,10376488,375,203.5000,9.3366,-0.0983,9.4442,9.8623,0.9576,8.8290,0.7675,15.8554,2.8090,-0.8989,2.9438,1.2297,3.1235,0.0670,15:09,09:15,2.7487,14:44,-0.7409,11:25,,,intraday_accumulation
2026-01-28,535.2000,583.6500,535.2000,581.9500,12146380,375,535.5000,8.6741,-0.0560,8.7351,9.0527,0.9649,3.9783,-8.9053,-18.2630,1.4176,13.3946,24.2031,2.9522,4.2601,0.2153,15:04,09:15,1.4777,09:30,-0.7749,09:46,0.4516,8.2226,intraday_accumulation
2026-02-03,658.3500,669.1500,650.8000,659.9000,14403374,375,607.8000,8.5719,8.3169,0.2354,2.8196,0.4959,3.6031,13.5014,-6.6646,1.1138,3.0459,3.8642,0.3418,-0.8126,0.3968,09:15,10:05,1.1096,10:48,-1.3896,10:08,2.5315,6.0404,positive_gap_repricing
2025-01-29,574.9500,630.0000,574.9500,618.0000,11393589,375,573.9000,7.6843,0.1830,7.4876,9.5747,0.7820,3.6142,-12.9069,-21.0591,0.2427,-2.2330,-3.2362,5.4353,7.2441,0.2594,15:10,09:15,3.5503,09:34,-1.8502,15:29,0.8700,6.8142,intraday_accumulation
2024-03-21,510.0000,549.9500,510.0000,544.4000,18507604,375,506.0500,7.5783,0.7806,6.7451,7.8333,0.8611,7.0202,9.8437,18.3743,-1.8920,-5.4188,-0.1194,5.4902,3.1373,0.2957,15:19,09:15,3.9907,09:30,-2.3435,09:42,,,intraday_accumulation
2022-05-11,160.0500,173.4000,157.8000,172.0000,3276830,375,160.7500,6.9984,-0.4355,7.4664,9.8859,0.9103,2.1771,-14.2895,-24.3173,-3.0233,2.1221,3.4884,1.7807,-0.5936,0.0745,14:42,10:45,3.6991,13:34,-2.5596,15:03,,,intraday_accumulation
2024-06-03,700.0000,700.0000,661.8000,687.9000,5282434,375,643.7000,6.8666,8.7463,-1.7286,5.7721,0.6832,1.3567,-0.9845,17.3030,-7.7555,-4.8408,4.6664,-5.0571,-3.6571,0.1892,09:15,09:33,1.7494,12:17,-1.9332,09:38,,,positive_gap_fade
2023-01-09,272.0000,291.4000,271.1000,288.8000,6438627,375,270.5000,6.7652,0.5545,6.1765,7.4880,0.8719,6.5573,0.5576,-2.3466,0.1212,5.1247,9.3144,2.1324,2.9044,0.0392,15:19,09:15,1.8352,14:52,-1.8172,10:55,,,intraday_accumulation
2022-04-07,204.9000,214.8000,201.9000,212.4000,8877044,375,199.0000,6.7337,2.9648,3.6603,6.3893,0.8140,5.9347,5.4584,24.2585,-0.1883,-6.7090,-24.3173,-0.6833,-0.0488,0.1973,13:07,10:30,3.0318,13:09,-3.1367,13:45,,,intraday_accumulation
2026-08-04,846.6000,882.8000,846.4500,880.0500,8480001,375,826.1000,6.5307,2.4815,3.9511,4.2944,0.9243,2.1312,-5.8468,-10.5081,1.0738,0.1079,,2.0139,3.0829,0.1989,14:25,09:15,1.0964,09:45,-0.4987,10:58,-0.6434,7.1741,intraday_accumulation
2024-07-05,724.8000,782.3500,721.8500,770.1000,7998712,375,723.2000,6.4851,0.2212,6.2500,8.3812,0.7975,3.6387,3.7292,15.2694,0.1169,-5.6032,-10.0312,0.1173,1.7936,0.0275,12:00,09:16,2.1363,11:44,-1.5000,13:32,0.0498,6.4353,intraday_accumulation
2022-09-20,242.5000,255.9500,242.0000,254.5000,4367877,375,239.2000,6.3963,1.3796,4.9485,5.7645,0.8961,2.7934,4.4541,1.8089,2.6326,-5.0688,1.5717,1.0309,4.4742,0.2494,11:24,09:15,2.3718,09:51,-1.4325,10:16,,,intraday_accumulation
2026-05-27,882.5500,938.0000,882.0000,937.0000,9250786,375,880.7500,6.3866,0.2044,6.1696,6.3492,0.9821,3.2858,7.4741,7.4085,-1.6916,0.4269,0.5229,2.6004,3.8921,0.1759,15:01,09:15,2.1675,09:31,-0.6826,13:15,-0.0547,6.4413,intraday_accumulation
2021-09-28,107.0000,113.1500,106.5500,113.1500,2133964,374,106.5000,6.2441,0.4695,5.7477,6.1943,1.0000,1.3577,16.6484,26.4846,3.4909,6.2749,39.9028,1.6822,3.5981,0.0602,15:17,09:17,4.0460,15:17,-1.5213,10:39,,,positive_expansion
2022-04-26,188.4000,203.4000,188.4000,199.7500,3640868,375,188.5000,5.9682,-0.0531,6.0244,7.9618,0.7567,2.4356,-4.8700,2.7808,-1.6270,-8.7860,-16.8461,1.1677,4.0340,0.0205,13:53,09:15,2.9020,10:08,-2.1160,14:39,,,intraday_accumulation
2025-05-12,629.9000,650.0000,624.5000,644.9500,2929291,375,609.0000,5.9031,3.4319,2.3893,4.0833,0.8020,1.1514,-1.8454,12.8614,1.0001,7.9696,7.6207,0.9763,1.1986,0.2444,14:50,09:16,1.8874,09:34,-0.5713,15:17,3.6674,2.2357,positive_expansion
2023-03-29,289.0000,308.0500,287.4000,305.0000,2921284,375,288.1000,5.8660,0.3124,5.5363,7.1851,0.8523,1.6179,-2.1732,-6.8843,-1.8033,-5.9016,1.9672,0.2768,0.4152,0.0710,15:06,09:15,3.2139,15:07,-1.5385,15:15,,,positive_expansion
2022-03-09,163.0000,169.5000,161.2500,169.5000,1251611,375,160.1500,5.8383,1.7796,3.9877,5.1163,1.0000,0.9903,-7.8539,-10.6306,-1.6224,-0.7375,25.3097,0.1227,0.4908,0.1163,14:12,11:24,2.3802,11:39,-0.8791,09:35,,,positive_expansion
2021-09-21,89.1000,96.5000,89.1000,96.5000,2874187,375,91.3000,5.6955,-2.4096,8.3053,8.3053,1.0000,2.9574,1.8973,12.7160,4.9741,17.2539,41.8135,2.8620,2.2447,0.0324,14:25,09:15,2.4259,12:41,-1.4085,10:07,,,intraday_accumulation
