Date,Open,High,Low,Close,Volume,return_pct,range_pct
2021-10-22,123.9000,144.7500,122.0000,144.0000,19660538,22.5532,18.6475
2021-09-24,92.0000,111.6500,89.1000,111.6500,11414191,21.3587,25.3086
2024-10-11,718.0000,874.7000,709.0500,852.7000,31267003,18.1189,23.3622
2026-02-06,589.9000,676.0000,548.4500,673.8500,43177980,15.0504,23.2564
2023-01-13,272.0000,310.7000,271.1000,310.6000,25144449,14.8244,14.6072
2024-03-22,476.0000,549.9500,462.0500,534.1000,51614796,14.3928,19.0239
2025-05-16,629.9000,703.7000,624.5000,695.8000,15312011,14.2529,12.6821
2024-05-17,580.0000,669.0000,572.6000,653.9000,31252647,12.9361,16.8355
2023-05-26,340.9500,389.2500,339.1000,385.2500,14750688,12.7781,14.7891
2022-07-22,204.2500,231.5000,199.2500,228.7500,21176368,12.6570,16.1857
2022-04-08,188.6000,219.6500,184.5500,212.0000,22515506,12.6162,19.0192
2021-10-01,112.8000,127.3000,105.9500,124.1000,13354739,11.1509,20.1510
2022-06-24,167.0000,188.9000,162.0000,186.1500,6863692,10.8036,16.6049
2025-03-07,570.1000,632.7500,548.1500,630.9500,19263884,10.4411,15.4337
2023-11-24,389.6500,503.4500,383.0000,428.4000,48189172,9.8743,31.4491
2022-01-21,187.5000,189.8500,175.0000,176.5000,7984636,-5.8667,8.4857
2026-01-16,597.0000,597.7000,560.2500,560.6500,15135874,-5.9628,6.6845
2022-06-10,183.2500,186.8000,171.6000,172.4000,2462165,-6.3043,8.8578
2021-08-13,86.6000,86.6000,74.0500,80.0000,11550771,-6.4327,16.9480
2021-10-08,126.0000,127.9000,114.0000,116.0000,7726573,-6.5270,12.1930
2024-07-19,732.0000,737.8000,651.3500,676.1500,14589617,-6.9881,13.2724
2024-08-30,755.4500,764.9000,691.5000,695.9000,8723620,-6.9901,10.6146
2022-02-11,185.7000,185.7000,169.0500,171.0000,6552543,-7.5925,9.8492
2026-01-09,652.0000,661.0000,586.5000,596.2000,31315807,-8.4459,12.7025
2025-04-04,636.6500,646.0000,570.7500,580.9500,12410847,-8.6557,13.1844
2022-12-23,279.6500,279.6500,250.0000,251.6000,8355795,-8.7910,11.8600
2024-10-25,825.0000,857.7000,714.3000,742.0000,30397518,-9.1299,20.0756
2025-02-14,616.5000,616.5000,548.6500,554.7500,14794006,-9.8114,12.3667
2025-01-10,737.0000,740.6000,648.0000,651.0000,9840354,-11.2837,14.2901
2022-05-06,196.4000,200.2000,164.5000,170.0000,13519112,-14.1414,21.7021
