quarter,revenue_crore,ebitda_crore,net_income_crore,ebitda_margin_pct,revenue_yoy_pct,net_income_yoy_pct
2024-03,2239.83,325.82,233.60,14.55,,
2024-06,2260.67,360.24,241.14,15.94,,
2024-09,2441.79,323.78,220.96,13.26,,
2024-12,2549.28,364.64,240.53,14.30,,
2025-03,2824.19,418.24,271.97,14.81,26.09,16.43
2025-06,2906.30,409.47,269.23,14.09,28.56,11.65
2025-09,2988.89,442.81,286.72,14.82,22.41,29.76
2025-12,3251.76,438.16,284.83,13.47,27.56,18.42
2026-03,3520.77,545.50,365.49,15.49,24.66,34.39
2026-06,3364.39,480.86,313.01,14.29,15.76,16.26
