announcement_date,reaction_date,label,category,direction,source_url
2023-11-22,2023-11-22,OSAT application disclosed,Semiconductor,Positive,https://www.businesstoday.in/markets/company-stock/story/cg-power-shares-rise-record-high-outsourced-semiconductor-assembly-and-test-406670-2023-11-22
2024-02-29,2024-02-29,"Cabinet approves Rs 7,600cr OSAT unit",Semiconductor,Positive,https://www.cgglobal.com/admin/uploads/Reg_30_Disclosure_Release_PIB.pdf
2024-03-13,2024-03-13,Sanand OSAT foundation ceremony,Semiconductor,Positive,https://www.cgglobal.com/admin/uploads/Press_Release_13032024.pdf
2024-06-04,2024-06-04,Indian election-result risk shock,Macro,Negative,https://www.nseindia.com/market-data/live-equity-market
2024-07-04,2024-07-05,G.G. Tronics acquisition announced,Railway/KAVACH,Positive,https://www.cgglobal.com/admin/uploads/Annual_Report-FY_2024-25.pdf
2025-01-28,2025-01-29,Q3 FY25 results and transformer capex,Earnings/Capex,Positive,https://economictimes.indiatimes.com/markets/stocks/news/cg-power-shares-rally-over-8-as-q3-earnings-beat-estimates-capex-plans-boost-sentiment/articleshow/117673838.cms
2025-04-07,2025-04-07,Global tariff-driven risk-off gap,Macro,Negative,https://www.nseindia.com/market-data/live-equity-market
2025-05-06,2025-05-06,Q4 FY25 industrial-margin disappointment,Earnings,Negative,https://www.business-standard.com/markets/news/cg-power-tanks-8-on-heavy-volumes-post-q4-results-check-details-125050600834_1.html
2025-08-28,2025-08-29,Sanand OSAT facility launch,Semiconductor,Positive,https://nsearchives.nseindia.com/corporate/CGPOWER_28082025173125_Disclosure_Press_Release_28_08_2025.pdf
2026-01-17,2026-01-19,Rs 900cr US data-centre transformer order,Order win,Positive,https://www.cgglobal.com/cg-in-the-news
2026-01-27,2026-01-28,Q3 FY26 results: growth and backlog,Earnings,Positive,https://nsearchives.nseindia.com/corporate/CGPOWER_27012026145448_SEDisclosure_PressRelease.pdf
2026-05-06,2026-05-06,Q4 FY26 results and record backlog,Earnings,Mixed,https://nsearchives.nseindia.com/corporate/CGPOWER_06052026144003_SEDisclosure_PressRelease.pdf
2026-05-27,2026-05-27,Broad power-equipment sector rally,Sector,Positive,https://www.angelone.in/news/stocks/power-stocks-rally-as-bse-power-index-hits-record-high-bhel-cg-power-and-siemens-energy-surge
2026-07-03,2026-07-03,Power-equipment procurement policy shock,Sector policy,Negative,https://www.livemint.com/market/stock-market-news/why-did-cg-power-hitachi-energy-apar-industries-and-other-capital-goods-stocks-crash-up-to-10-today-explained-11783070141221.html
