Test,us_context,Days,CGGapUpRate,CGFirst15UpRate,CGDayUpRate,MedianCGGap,MedianCGFirst15,MedianAbsCGFirst15,MedianAbsCGDay,MedianCGRange,vix_regime,nifty_gap_proxy,combined_proxy
Previous US close,both_green,529,0.7731568998109641,0.43100189035916825,0.5311909262759924,0.0048441262176558,-0.0012999205604101,0.0067164179104477,0.012429710171722098,0.03112313937753708,,,
Previous US close,both_red,431,0.5661252900232019,0.44547563805104406,0.46403712296983757,0.0012820512820512,-0.0013414634146341,0.0065714285714285,0.0139753248171199,0.03204047217537953,,,
Previous US close,mixed,322,0.717391304347826,0.39751552795031053,0.5186335403726708,0.00301348788048725,-0.0027874506372098,0.00737602215774195,0.0112422493115748,0.031470564974844684,,,
Previous India VIX close,,520,0.6673076923076923,0.4346153846153846,0.5384615384615384,0.0036556995679628,-0.0019279134145392001,0.00793033742808265,0.0156985871271585,0.03703703703703698,above_15,,
Previous India VIX close,,762,0.7047244094488189,0.4225721784776903,0.48293963254593175,0.00292646794372275,-0.0012641403526022499,0.0060054255621229,0.011046377168103399,0.02846947539263278,at_or_below_15,,
NIFTY opening-gap proxy,,120,0.275,0.475,0.4166666666666667,-0.00172376546249685,-0.0011884085850868,0.00689658325989695,0.01582070715118905,0.03135527283433659,,red_below_-0.2%,
NIFTY opening-gap proxy,,247,0.728744939271255,0.4331983805668016,0.4817813765182186,0.0025860795034726,-0.0015748031496063,0.0051322542439794,0.0118208212360015,0.0280813600485732,,flat_+-0.2%,
NIFTY opening-gap proxy,,161,0.8819875776397516,0.4720496894409938,0.577639751552795,0.005117845117845,-0.0004943968358602,0.0065063649222065,0.0135501355013549,0.02790969533133625,,green_above_+0.2%,
US + NIFTY-gap agreement,,67,0.14925373134328357,0.4626865671641791,0.40298507462686567,-0.0031493906613719,-0.0018955963837853,0.0064371257485029,0.0181318209160438,0.03292402148887197,,,bearish_agreement
US + NIFTY-gap agreement,,105,0.8952380952380953,0.5142857142857142,0.5619047619047619,0.0056026332376217,0.0003356605800215,0.0070381231671554,0.0142993979200876,0.02819606637984018,,,bullish_agreement
US + NIFTY-gap agreement,,356,0.7050561797752809,0.4353932584269663,0.4943820224719101,0.0023010644427815,-0.00157786333621535,0.0055411185138281496,0.0120096732486776,0.02807771706132367,,,mixed_or_conflict
