Variant,Period,Trades,WinRate,ProfitFactor,Expectancy
agreement_only_0930,All,172,0.45348837209302323,0.7708624094147088,-0.0018968767504050849
agreement_only_0930,2024,43,0.4186046511627907,0.7190787724113503,-0.0023129450780459398
agreement_only_0930,2025,68,0.4852941176470588,0.8087227047169331,-0.0016550981345797306
agreement_only_0930,2026,61,0.4426229508196721,0.7626714110882444,-0.0018731063862668445
plus_cg_first15_confirmation,All,90,0.4666666666666667,0.7524592463640754,-0.0022834196680622527
plus_cg_first15_confirmation,2024,18,0.5555555555555556,0.8482855677479637,-0.0015052797079034954
plus_cg_first15_confirmation,2025,42,0.47619047619047616,0.8039749326569033,-0.0017279704413508405
plus_cg_first15_confirmation,2026,30,0.4,0.6238521750209146,-0.0035279325615534835
plus_first15_and_range_acceptance,All,59,0.4576271186440678,0.7058812528106765,-0.002847079002562446
plus_first15_and_range_acceptance,2024,13,0.5384615384615384,0.71752966100563,-0.00351837045498964
plus_first15_and_range_acceptance,2025,26,0.5,1.066353840450562,0.00044431500994084966
plus_first15_and_range_acceptance,2026,20,0.35,0.4309132789811076,-0.006689551774739055
plus_range_acceptance_and_rvol,All,30,0.4,0.7379964787687837,-0.0027536363185323097
plus_range_acceptance_and_rvol,2024,5,0.4,0.7629574000105293,-0.00285265769491214
plus_range_acceptance_and_rvol,2025,11,0.45454545454545453,0.9055633473221117,-0.0009743051567373003
plus_range_acceptance_and_rvol,2026,14,0.35714285714285715,0.5931301929896888,-0.004116317454092736
