trades,net_pct,avg_bps,win_rate_pct,profit_factor,max_dd_pct,month,longs,shorts
1,-0.03,-3.05,0.0,0.0,0.0,2021-10,1,0
1,-0.48,-48.35,0.0,0.0,0.0,2022-01,0,1
1,1.13,113.34,100.0,999.0,0.0,2022-02,1,0
1,1.34,134.37,100.0,999.0,0.0,2022-04,1,0
2,2.01,101.48,50.0,4.438,0.0,2022-07,2,0
1,-0.99,-99.41,0.0,0.0,0.0,2022-08,1,0
1,0.8,79.86,100.0,999.0,0.0,2022-09,1,0
2,-0.88,-43.76,50.0,0.038,0.0,2022-10,2,0
6,0.86,14.75,50.0,1.388,-1.75,2023-01,5,1
3,-0.68,-22.44,33.33,0.428,-0.75,2023-02,3,0
6,-1.25,-20.62,33.33,0.57,-2.04,2023-05,6,0
1,-0.74,-73.78,0.0,0.0,0.0,2023-07,0,1
3,1.05,35.22,66.67,3.036,-0.52,2023-08,3,0
3,-1.09,-36.51,0.0,0.0,-0.74,2023-09,2,1
1,1.0,100.45,100.0,999.0,0.0,2023-10,0,1
3,-3.04,-102.41,0.0,0.0,-1.59,2023-11,2,1
2,0.52,26.27,50.0,2.243,-0.42,2023-12,2,0
4,-2.77,-70.02,0.0,0.0,-2.25,2024-01,4,0
3,-1.59,-53.29,0.0,0.0,-0.96,2024-02,1,2
5,3.66,72.74,60.0,4.069,-0.65,2024-03,4,1
3,-0.34,-11.17,33.33,0.712,-1.16,2024-04,3,0
7,0.88,13.03,42.86,1.304,-1.12,2024-05,4,3
5,-1.28,-24.05,40.0,0.725,-2.84,2024-06,3,2
3,2.57,85.18,100.0,999.0,0.0,2024-07,2,1
2,1.26,63.19,50.0,4.089,-0.41,2024-08,1,1
6,0.34,6.03,50.0,1.172,-1.23,2024-09,6,0
2,-1.56,-78.45,0.0,0.0,-0.79,2024-10,1,1
2,1.94,96.52,100.0,999.0,0.0,2024-11,2,0
5,0.09,2.08,40.0,1.065,-0.96,2024-12,2,3
7,9.4,129.47,100.0,999.0,0.0,2025-01,3,4
3,-0.52,-16.94,33.33,0.692,-0.77,2025-02,2,1
5,3.07,60.97,80.0,5.379,-0.7,2025-03,5,0
2,1.07,53.66,100.0,999.0,0.0,2025-04,1,1
7,-0.32,-4.32,42.86,0.873,-1.26,2025-05,5,2
3,-0.31,-10.21,33.33,0.657,-0.52,2025-06,2,1
4,0.04,1.06,50.0,1.042,-1.02,2025-07,1,3
3,1.87,62.18,66.67,40.066,-0.05,2025-08,3,0
3,1.37,45.5,100.0,999.0,0.0,2025-09,3,0
4,0.03,0.9,50.0,1.034,-1.06,2025-10,2,2
5,2.08,41.34,80.0,7.21,-0.33,2025-11,1,4
9,3.81,42.22,55.56,2.34,-2.49,2026-01,3,6
2,2.13,107.08,50.0,8.409,-0.29,2026-02,1,1
3,2.68,88.44,100.0,999.0,0.0,2026-03,1,2
3,-1.17,-39.26,0.0,0.0,-0.71,2026-04,3,0
1,0.72,71.71,100.0,999.0,0.0,2026-05,1,0
6,-0.91,-15.09,33.33,0.583,-1.22,2026-06,4,2
4,1.22,31.0,50.0,1.962,-1.28,2026-07,2,2
