trades,net_pct,avg_bps,win_rate_pct,profit_factor,max_dd_pct,month,longs,shorts
1,-0.48,-48.35,0.0,0.0,0.0,2022-01,0,1
1,1.13,113.34,100.0,999.0,0.0,2022-02,1,0
2,2.01,101.48,50.0,4.438,0.0,2022-07,2,0
1,-0.99,-99.41,0.0,0.0,0.0,2022-08,1,0
1,0.8,79.86,100.0,999.0,0.0,2022-09,1,0
2,-0.88,-43.76,50.0,0.038,0.0,2022-10,2,0
6,0.86,14.75,50.0,1.388,-1.75,2023-01,5,1
2,0.07,3.77,50.0,1.177,0.0,2023-02,2,0
6,-1.25,-20.62,33.33,0.57,-2.04,2023-05,6,0
1,-0.74,-73.78,0.0,0.0,0.0,2023-07,0,1
3,1.05,35.22,66.67,3.036,-0.52,2023-08,3,0
3,-1.09,-36.51,0.0,0.0,-0.74,2023-09,2,1
1,1.0,100.45,100.0,999.0,0.0,2023-10,0,1
2,-1.59,-79.6,0.0,0.0,-0.73,2023-11,1,1
2,0.52,26.27,50.0,2.243,-0.42,2023-12,2,0
4,-2.77,-70.02,0.0,0.0,-2.25,2024-01,4,0
3,-1.59,-53.29,0.0,0.0,-0.96,2024-02,1,2
5,3.66,72.74,60.0,4.069,-0.65,2024-03,4,1
3,-0.34,-11.17,33.33,0.712,-1.16,2024-04,3,0
6,-0.77,-12.4,33.33,0.752,-1.12,2024-05,3,3
3,-0.12,-1.58,33.33,0.984,-3.02,2024-06,1,2
3,2.57,85.18,100.0,999.0,0.0,2024-07,2,1
1,-0.41,-40.91,0.0,0.0,0.0,2024-08,1,0
6,0.34,6.03,50.0,1.172,-1.23,2024-09,6,0
2,-1.56,-78.45,0.0,0.0,-0.79,2024-10,1,1
2,1.94,96.52,100.0,999.0,0.0,2024-11,2,0
5,0.09,2.08,40.0,1.065,-0.96,2024-12,2,3
7,9.4,129.47,100.0,999.0,0.0,2025-01,3,4
2,-1.64,-82.43,0.0,0.0,-0.77,2025-02,2,0
5,3.07,60.97,80.0,5.379,-0.7,2025-03,5,0
1,1.05,105.3,100.0,999.0,0.0,2025-04,1,0
4,0.1,2.7,50.0,1.097,-0.57,2025-05,2,2
3,-0.31,-10.21,33.33,0.657,-0.52,2025-06,2,1
4,0.04,1.06,50.0,1.042,-1.02,2025-07,1,3
3,1.87,62.18,66.67,40.066,-0.05,2025-08,3,0
3,1.37,45.5,100.0,999.0,0.0,2025-09,3,0
4,0.03,0.9,50.0,1.034,-1.06,2025-10,2,2
5,2.08,41.34,80.0,7.21,-0.33,2025-11,1,4
8,4.94,60.98,62.5,3.776,-1.43,2026-01,2,6
1,2.43,243.06,100.0,999.0,0.0,2026-02,0,1
1,0.79,79.36,100.0,999.0,0.0,2026-03,0,1
2,-0.95,-47.54,0.0,0.0,-0.48,2026-04,2,0
1,0.72,71.71,100.0,999.0,0.0,2026-05,1,0
5,-0.35,-6.76,40.0,0.789,-0.65,2026-06,3,2
2,-0.06,-2.85,50.0,0.923,-0.74,2026-07,1,1
