trades,net_pct,avg_bps,win_rate_pct,profit_factor,max_dd_pct,quarter,longs,shorts
1,-0.03,-3.05,0.0,0.0,0.0,2021Q4,1,0
2,0.64,32.49,50.0,2.344,0.0,2022Q1,1,1
1,1.34,134.37,100.0,999.0,0.0,2022Q2,1,0
4,1.81,45.85,50.0,2.158,-0.99,2022Q3,4,0
2,-0.88,-43.76,50.0,0.038,0.0,2022Q4,2,0
9,0.18,2.35,44.44,1.061,-1.75,2023Q1,8,1
6,-1.25,-20.62,33.33,0.57,-2.04,2023Q2,6,0
7,-0.79,-11.09,28.57,0.67,-1.09,2023Q3,5,2
6,-1.56,-25.71,33.33,0.559,-3.04,2023Q4,4,2
12,-0.82,-6.35,25.0,0.863,-4.32,2024Q1,9,3
15,-0.75,-4.17,40.0,0.927,-2.84,2024Q2,10,5
11,4.21,38.01,63.64,2.663,-1.23,2024Q3,9,2
9,0.44,5.17,44.44,1.147,-1.59,2024Q4,5,4
15,12.17,77.36,80.0,5.949,-1.64,2025Q1,10,5
12,0.44,3.87,50.0,1.142,-1.8,2025Q2,8,4
10,3.31,32.73,70.0,4.071,-1.02,2025Q3,7,3
9,2.11,23.37,66.67,2.512,-1.06,2025Q4,3,6
14,8.86,61.39,64.29,3.75,-2.49,2026Q1,5,9
10,-1.37,-13.66,30.0,0.592,-1.22,2026Q2,8,2
4,1.22,31.0,50.0,1.962,-1.28,2026Q3,2,2
