trades,net_pct,avg_bps,win_rate_pct,profit_factor,max_dd_pct,quarter,longs,shorts
2,0.64,32.49,50.0,2.344,0.0,2022Q1,1,1
4,1.81,45.85,50.0,2.158,-0.99,2022Q3,4,0
2,-0.88,-43.76,50.0,0.038,0.0,2022Q4,2,0
8,0.94,12.0,50.0,1.355,-1.75,2023Q1,7,1
6,-1.25,-20.62,33.33,0.57,-2.04,2023Q2,6,0
7,-0.79,-11.09,28.57,0.67,-1.09,2023Q3,5,2
5,-0.08,-1.24,40.0,0.969,-1.59,2023Q4,3,2
12,-0.82,-6.35,25.0,0.863,-4.32,2024Q1,9,3
12,-1.23,-9.39,33.33,0.843,-3.02,2024Q2,7,5
10,2.5,25.08,60.0,1.998,-1.23,2024Q3,9,1
9,0.44,5.17,44.44,1.147,-1.59,2024Q4,5,4
14,10.91,74.74,78.57,5.462,-1.64,2025Q1,10,4
8,0.84,10.68,50.0,1.426,-1.11,2025Q2,5,3
10,3.31,32.73,70.0,4.071,-1.02,2025Q3,7,3
9,2.11,23.37,66.67,2.512,-1.06,2025Q4,3,6
10,8.34,81.03,70.0,5.612,-1.43,2026Q1,2,8
8,-0.58,-7.15,37.5,0.776,-0.65,2026Q2,6,2
2,-0.06,-2.85,50.0,0.923,-0.74,2026Q3,1,1
