date,Datetime,Open,High,Low,Close,Volume,turnover,range_pct,turnover_med60_prev,range_med60_prev,regime_tradeable
2021-06-03,2021-06-03 15:25:00,85.95,87.2,84.8,85.3,1363276,116287442.8,0.027923211169284534,,,False
2021-06-04,2021-06-04 15:25:00,86.35,86.35,84.2,84.65,1642568,139043381.20000002,0.024898668210770025,,,False
2021-06-07,2021-06-07 15:25:00,86.0,86.5,84.05,85.0,1924652,163595420.0,0.02848837209302329,,,False
2021-06-08,2021-06-08 15:25:00,85.7,86.1,82.85,83.3,1844380,153636854.0,0.03792298716452742,,,False
2021-06-09,2021-06-09 15:25:00,83.1,84.5,79.0,80.0,2281129,182490320.0,0.06618531889290012,,,False
2021-06-10,2021-06-10 15:25:00,79.3,83.25,77.7,81.2,1528826,124140671.2,0.06998738965952077,,,False
2021-06-11,2021-06-11 15:25:00,82.8,83.5,80.5,82.0,1632161,133837202.0,0.036231884057971016,,,False
2021-06-14,2021-06-14 15:25:00,85.95,85.95,83.0,85.95,4378425,376325628.75,0.03432228039557886,,,False
2021-06-15,2021-06-15 15:25:00,89.0,89.8,84.05,84.95,1971915,167514179.25,0.06460674157303371,,,False
2021-06-16,2021-06-16 15:25:00,85.4,85.4,80.9,81.5,1978634,161258671.0,0.052693208430913345,,,False
2021-06-17,2021-06-17 15:25:00,77.2,82.0,77.2,80.0,1455051,116404080.0,0.06217616580310877,,,False
2021-06-18,2021-06-18 15:25:00,80.0,82.5,76.35,82.4,1671613,137740911.20000002,0.07687500000000007,,,False
2021-06-21,2021-06-21 15:25:00,80.1,82.1,78.9,79.3,845164,67021505.199999996,0.039950062421972396,,,False
2021-06-22,2021-06-22 15:25:00,81.0,81.2,79.5,79.85,624817,49891637.449999996,0.02098765432098769,,,False
2021-06-23,2021-06-23 15:25:00,80.9,80.9,78.6,79.3,751618,59603307.4,0.02843016069221275,,,False
2021-06-24,2021-06-24 15:25:00,79.5,80.5,76.5,78.7,1941260,152777162.0,0.050314465408805034,,,False
2021-06-25,2021-06-25 15:25:00,76.0,79.0,76.0,78.5,1226665,96293202.5,0.039473684210526314,,,False
2021-06-28,2021-06-28 15:25:00,76.25,78.6,76.25,78.4,1529216,119890534.4,0.030819672131147467,,,False
2021-06-29,2021-06-29 15:25:00,77.05,79.5,77.0,79.1,1728486,136723242.6,0.03244646333549643,,,False
2021-06-30,2021-06-30 15:25:00,79.0,80.5,78.4,79.1,771784,61048114.4,0.026582278481012585,,,False
2021-07-01,2021-07-01 15:25:00,79.8,80.2,78.05,79.65,1824256,145301990.4,0.026942355889724382,135280222.3,0.03707743561124922,False
2021-07-02,2021-07-02 15:25:00,78.65,81.7,78.65,81.6,922667,75289627.19999999,0.038779402415766016,136723242.6,0.036231884057971016,False
2021-07-05,2021-07-05 15:25:00,80.55,82.5,80.05,81.1,1892949,153518163.89999998,0.03041589075108632,135280222.3,0.03707743561124922,False
2021-07-06,2021-07-06 15:25:00,81.2,82.4,79.0,79.35,820807,65131035.449999996,0.04187192118226608,136723242.6,0.036231884057971016,False
2021-07-07,2021-07-07 15:25:00,79.95,80.95,78.15,79.25,591925,46910056.25,0.03502188868042523,135280222.3,0.03707743561124922,False
2021-07-08,2021-07-08 15:25:00,79.0,80.1,77.25,78.0,634855,49518690.0,0.036075949367088536,133837202.0,0.036231884057971016,False
2021-07-09,2021-07-09 15:25:00,78.0,78.85,77.05,77.95,301007,23463495.650000002,0.02307692307692304,128988936.6,0.03615391671252978,False
2021-07-12,2021-07-12 15:25:00,78.0,78.95,76.55,77.0,1016304,78255408.0,0.030769230769230844,124140671.2,0.036075949367088536,False
2021-07-13,2021-07-13 15:25:00,78.1,78.4,76.0,77.0,1518839,116950603.0,0.03072983354673503,122015602.80000001,0.035548919023756884,False
2021-07-14,2021-07-14 15:25:00,77.8,77.9,74.4,74.5,622070,46344215.0,0.04498714652956298,119890534.4,0.03502188868042523,False
2021-07-15,2021-07-15 15:25:00,75.5,79.25,73.0,77.5,1535159,118974822.5,0.08278145695364239,118420568.7,0.035548919023756884,False
2021-07-16,2021-07-16 15:25:00,76.5,78.95,76.05,77.0,395405,30446185.0,0.03790849673202622,118974822.5,0.036075949367088536,False
2021-07-19,2021-07-19 15:25:00,76.25,76.75,74.1,76.0,1630577,123923852.0,0.034754098360655815,117962712.75,0.03615391671252978,False
