trades,net_pct,avg_bps,win_rate_pct,profit_factor,max_dd_pct,threshold,segment
179,29.59,14.93,49.16,1.452,-11.11,0,all
96,2.05,2.59,41.67,1.064,-11.11,0,train_before_2025
83,27.0,29.21,57.83,2.2,-2.76,0,validation_2025_onward
176,28.67,14.78,48.86,1.445,-10.51,35,all
94,1.92,2.5,41.49,1.061,-10.51,35,train_before_2025
82,26.25,28.85,57.32,2.17,-2.76,35,validation_2025_onward
166,28.8,15.71,49.4,1.479,-10.08,40,all
88,0.77,1.36,40.91,1.033,-10.08,40,train_before_2025
78,27.82,31.89,58.97,2.399,-2.49,40,validation_2025_onward
155,24.02,14.36,48.39,1.423,-9.61,45,all
82,0.19,0.75,40.24,1.017,-9.61,45,train_before_2025
73,23.78,29.65,57.53,2.241,-3.19,45,validation_2025_onward
149,25.85,15.91,49.66,1.478,-8.76,50,all
79,-0.53,-0.16,40.51,0.996,-8.76,50,train_before_2025
70,26.52,34.04,60.0,2.561,-3.19,50,validation_2025_onward
130,23.92,17.01,50.0,1.501,-9.53,55,all
71,0.2,0.83,40.85,1.019,-9.53,55,train_before_2025
59,23.67,36.48,61.02,2.685,-2.93,55,validation_2025_onward
107,17.52,15.64,46.73,1.434,-10.14,60,all
61,-0.2,0.26,37.7,1.006,-10.14,60,train_before_2025
46,17.76,36.04,58.7,2.589,-2.06,60,validation_2025_onward
93,18.16,18.54,47.31,1.505,-10.8,65,all
54,0.95,2.39,38.89,1.051,-10.8,65,train_before_2025
39,17.04,40.9,58.97,2.822,-2.31,65,validation_2025_onward
69,20.81,28.12,50.72,1.775,-7.33,70,all
41,6.32,15.71,46.34,1.35,-7.33,70,train_before_2025
28,13.63,46.31,57.14,2.947,-1.67,70,validation_2025_onward
49,15.76,30.57,51.02,1.864,-4.95,75,all
30,7.21,23.88,50.0,1.613,-4.95,75,train_before_2025
19,7.97,41.14,52.63,2.382,-1.28,75,validation_2025_onward
35,18.35,48.98,60.0,2.614,-3.4,80,all
22,7.68,34.39,54.55,1.964,-3.4,80,train_before_2025
13,9.91,73.67,69.23,4.453,-1.08,80,validation_2025_onward
