trades,net_pct,avg_bps,win_rate_pct,profit_factor,max_dd_pct,threshold,segment
157,26.91,15.62,49.68,1.483,-9.1,0,all
88,0.83,1.39,40.91,1.035,-9.1,0,train_before_2025
69,25.87,33.77,60.87,2.51,-2.76,0,validation_2025_onward
154,26.01,15.46,49.35,1.475,-8.48,35,all
86,0.7,1.27,40.7,1.032,-8.48,35,train_before_2025
68,25.13,33.4,60.29,2.472,-2.76,35,validation_2025_onward
145,25.13,15.91,49.66,1.493,-8.04,40,all
80,-0.43,-0.07,40.0,0.998,-8.04,40,train_before_2025
65,25.68,35.59,61.54,2.676,-1.71,40,validation_2025_onward
134,20.48,14.37,48.51,1.427,-7.56,45,all
74,-1.0,-0.87,39.19,0.98,-7.56,45,train_before_2025
60,21.7,33.17,60.0,2.478,-2.8,45,validation_2025_onward
129,24.31,17.34,50.39,1.533,-6.69,50,all
72,-0.07,0.4,40.28,1.009,-6.69,50,train_before_2025
57,24.4,38.74,63.16,2.957,-2.8,50,validation_2025_onward
114,21.96,17.92,50.0,1.537,-7.48,55,all
64,0.66,1.57,40.62,1.036,-7.48,55,train_before_2025
50,21.16,38.86,62.0,2.889,-3.22,55,validation_2025_onward
93,17.49,17.88,47.31,1.512,-8.1,60,all
54,0.26,1.06,37.04,1.023,-8.1,60,train_before_2025
39,17.18,41.17,61.54,3.02,-1.5,60,validation_2025_onward
80,18.15,21.44,48.75,1.611,-8.78,65,all
47,1.42,3.63,38.3,1.078,-8.78,65,train_before_2025
33,16.5,46.82,63.64,3.464,-1.75,65,validation_2025_onward
59,21.14,33.22,52.54,1.99,-5.23,70,all
34,6.81,20.16,47.06,1.464,-5.23,70,train_before_2025
25,13.41,50.99,60.0,3.535,-1.67,70,validation_2025_onward
41,18.22,41.52,56.1,2.406,-3.29,75,all
25,9.7,37.7,56.0,2.166,-3.29,75,train_before_2025
16,7.77,47.49,56.25,2.888,-1.73,75,validation_2025_onward
29,21.57,68.21,68.97,4.223,-1.95,80,all
19,10.82,54.85,63.16,3.087,-1.95,80,train_before_2025
10,9.7,93.59,80.0,9.195,-0.82,80,validation_2025_onward
