Test,us_context,Days,CGGapUpRate,CGFirst15UpRate,CGDayUpRate,MedianCGGap,MedianCGFirst15,MedianAbsCGFirst15,MedianAbsCGDay,MedianCGRange,vix_regime,nifty_gap_proxy,combined_proxy
Previous US close,both_green,224,0.5625,0.5,0.5491071428571429,0.0007070092098674374,-1.1261310568277949e-05,0.003807449463328727,0.006831561612112513,0.014787268453702151,,,
Previous US close,both_red,165,0.32727272727272727,0.5757575757575758,0.42424242424242425,-0.002788324632178374,0.001036585365853604,0.003550543024227193,0.0073286052009456926,0.014532019704433408,,,
Previous US close,mixed,140,0.4928571428571429,0.5857142857142857,0.5142857142857142,0.0,0.0006329080980133073,0.002995878623451298,0.006521293910943804,0.014227324401571706,,,
Previous India VIX close,,152,0.4868421052631579,0.5526315789473685,0.5592105263157895,0.0,0.0005407639319664481,0.0035178988579581127,0.008292594895734251,0.01740303819959521,above_15,,
Previous India VIX close,,377,0.46419098143236076,0.5437665782493368,0.47745358090185674,-0.00023042747238477546,0.0005145797598629098,0.0034792162607582,0.006503571483773785,0.013851713062098314,at_or_below_15,,
NIFTY opening-gap proxy,,120,0.06666666666666667,0.6083333333333333,0.25833333333333336,-0.006437908345630294,0.001740954673590367,0.003608540520218584,0.008551907486349264,0.015948066790704596,,red_below_-0.2%,
NIFTY opening-gap proxy,,247,0.4331983805668016,0.562753036437247,0.5182186234817814,-0.00021854818441102708,0.0006015037593984918,0.003116917567477895,0.005749999999999922,0.013908996897621595,,flat_+-0.2%,
NIFTY opening-gap proxy,,161,0.8322981366459627,0.4782608695652174,0.6583850931677019,0.004391291015026111,-0.0002518891687658398,0.004042288557214002,0.007158590308370072,0.014976852912866212,,green_above_+0.2%,
US + NIFTY-gap agreement,,67,0.08955223880597014,0.6119402985074627,0.2537313432835821,-0.00684326710816785,0.0020632737276478075,0.003744023961753329,0.009422492401215843,0.014920311970159306,,,bearish_agreement
US + NIFTY-gap agreement,,105,0.8285714285714286,0.42857142857142855,0.638095238095238,0.004592097057656286,-0.0017263129938250854,0.004237288135593209,0.007019562715765204,0.015527795128044808,,,bullish_agreement
US + NIFTY-gap agreement,,357,0.4369747899159664,0.5686274509803921,0.5070028011204482,-0.0005395274875056866,0.0006015037593984918,0.0031565656565657463,0.006386145498013751,0.014413518886679855,,,mixed_or_conflict
