Variant,Period,Trades,WinRate,ProfitFactor,Expectancy
agreement_only_0930,All,172,0.4476744186046512,0.6534616659160732,-0.0013735923544021841
agreement_only_0930,2024,43,0.3953488372093023,0.4317037010846207,-0.0026627234662942897
agreement_only_0930,2025,68,0.4117647058823529,0.40343668408353206,-0.002349668983583823
agreement_only_0930,2026,61,0.5245901639344263,1.1789347762690052,0.0006232248356914548
plus_cg_first15_confirmation,All,71,0.4225352112676056,0.7270580184911429,-0.0011138295557634131
plus_cg_first15_confirmation,2024,18,0.2777777777777778,0.3076704376509553,-0.0037424995617615178
plus_cg_first15_confirmation,2025,27,0.37037037037037035,0.39086848271938374,-0.0026645838065728986
plus_cg_first15_confirmation,2026,26,0.5769230769230769,1.8102827941820747,0.002316417554998972
plus_first15_and_range_acceptance,All,45,0.4,0.5618223303371085,-0.001611155292619464
plus_first15_and_range_acceptance,2024,12,0.25,0.5190610336825574,-0.001825434389032293
plus_first15_and_range_acceptance,2025,18,0.3333333333333333,0.38356145212947507,-0.00246789858189772
plus_first15_and_range_acceptance,2026,15,0.6,0.8709677397274269,-0.0004116400683552935
plus_range_acceptance_and_rvol,All,23,0.5217391304347826,0.7780161910219727,-0.0006920052970765132
plus_range_acceptance_and_rvol,2024,4,0.25,0.6950689016674162,-0.0012310636476842711
plus_range_acceptance_and_rvol,2025,11,0.45454545454545453,0.42295487950838695,-0.002249427472457528
plus_range_acceptance_and_rvol,2026,8,0.75,2.085324416460056,0.0017189793693762614
