Date,PPFCF,MIDCAP150_TRI,SMALLCAP250_TRI
2013-05-28,9.9992,2812.1,2613.16
2013-05-29,10.008,2802.51,2599.37
2013-05-30,10.0327,2798.61,2593.63
2013-05-31,10.0154,2770.63,2545.87
2013-06-03,10.0572,2773.98,2547.67
2013-06-04,10.0339,2776.83,2554.7
2013-06-05,10.0273,2779.79,2559.11
2013-06-06,10.0328,2778.8,2568.23
2013-06-07,10.0235,2766.52,2558.78
2013-06-10,9.9957,2738.18,2534.42
2013-06-11,9.954,2692.92,2484.79
2013-06-12,9.9288,2682.03,2468.14
2013-06-13,9.9118,2644.95,2429.03
2013-06-14,9.9549,2680.55,2456.37
2013-06-17,9.9818,2689.14,2461.6
2013-06-18,9.9964,2695.51,2464.78
2013-06-19,10.0085,2708.45,2479.71
2013-06-20,9.9306,2656.22,2430.74
2013-06-21,9.9161,2619.11,2402.15
2013-06-24,9.8034,2549.94,2349.1
2013-06-25,9.7828,2537.57,2337.01
2013-06-26,9.7543,2529.15,2318.47
2013-06-27,9.7919,2541.82,2326.93
2013-06-28,9.8992,2603.35,2375.1
2013-07-01,9.9352,2647.34,2420.05
2013-07-02,9.9357,2638.02,2415.6
2013-07-03,9.9149,2594.14,2365.71
2013-07-04,9.9544,2615.81,2377.92
2013-07-05,9.9713,2622.73,2383.93
2013-07-08,9.9518,2615.82,2378.85
2013-07-09,10.0018,2635.7,2399.72
2013-07-10,10.0079,2625.36,2400.14
2013-07-11,10.0617,2646.33,2421.93
2013-07-12,10.1284,2648.21,2422.69
2013-07-15,10.1833,2676.85,2439.55
2013-07-16,10.1081,2639.37,2411.98
2013-07-17,10.1534,2622.04,2402.31
2013-07-18,10.2163,2641.31,2422.16
2013-07-19,10.1288,2627.63,2409.64
2013-07-22,10.1909,2635.54,2402.22
2013-07-23,10.1664,2640.61,2403.96
2013-07-24,10.0358,2599.18,2363.78
2013-07-25,9.9699,2570.56,2343.9
2013-07-26,9.9594,2552.39,2325.3
2013-07-29,9.8913,2525.15,2293.01
2013-07-30,9.8424,2477.01,2241.11
2013-07-31,9.7726,2466.33,2213.32
2013-08-01,9.7877,2432.8,2185.58
2013-08-02,9.8152,2423.92,2162.44
2013-08-05,9.7889,2429.5,2174.89
2013-08-06,9.6794,2365.28,2126.32
2013-08-07,9.6912,2375.4,2158.1
2013-08-08,9.8041,2407.51,2185.43
2013-08-12,9.8993,2446.29,2220.67
2013-08-13,9.9669,2482.59,2248.26
2013-08-14,9.9589,2499.59,2256.13
2013-08-16,9.8359,2439.3,2194.83
2013-08-19,9.7064,2397.68,2170.7
2013-08-20,9.7127,2378.38,2174.34
2013-08-21,9.6923,2350.43,2155.46
2013-08-22,9.7025,2366.52,2168.82
2013-08-23,9.7798,2398.79,2194.93
2013-08-26,9.7569,2417.2,2203.68
2013-08-27,9.6567,2359.72,2159.02
2013-08-28,9.6251,2334.54,2136.41
2013-08-29,9.649,2366.43,2159.04
2013-08-30,9.6451,2373.47,2162.79
2013-09-02,9.7168,2402.97,2190.14
2013-09-03,9.657,2354.68,2161.94
2013-09-04,9.6588,2378.98,2177.16
2013-09-05,9.7591,2417.15,2216.47
2013-09-06,9.7627,2435.31,2228.33
2013-09-10,9.8876,2473.03,2253.16
2013-09-11,9.9697,2504.96,2283.92
2013-09-12,10.0016,2499.54,2278.45
2013-09-13,10.04,2508.04,2291.94
2013-09-16,10.0314,2500.28,2271.95
2013-09-17,10.0447,2491.26,2270.77
2013-09-18,10.1245,2505.41,2274.98
2013-09-19,10.2081,2562.06,2308.5
2013-09-20,10.162,2538.27,2276.83
2013-09-23,10.0588,2511.71,2267.62
2013-09-24,10.0423,2519.55,2267.53
2013-09-25,10.0896,2527.9,2268.93
2013-09-26,10.1112,2530.88,2275.84
2013-09-27,10.1148,2528.12,2279.18
2013-09-30,10.1415,2520.77,2267.33
2013-10-01,10.189,2533.09,2278.2
2013-10-03,10.2037,2568.08,2304.74
2013-10-04,10.1524,2573.72,2316.18
2013-10-07,10.1578,2586.25,2328.54
2013-10-08,10.1417,2587.27,2343.93
2013-10-09,10.125,2611.58,2367.18
2013-10-10,10.1775,2623.18,2389.31
2013-10-11,10.247,2628.12,2403.2
2013-10-14,10.3426,2644.38,2423.46
2013-10-15,10.3314,2614.53,2391.16
2013-10-17,10.334,2612.5,2395.47
2013-10-18,10.4605,2643.77,2412.91
2013-10-21,10.5421,2668.84,2441.02
2013-10-22,10.5722,2686.4,2467.87
2013-10-23,10.59,2680.0,2457.32
2013-10-24,10.5668,2682.33,2460.15
2013-10-25,10.5451,2668.02,2445.27
2013-10-28,10.5689,2644.68,2432.75
2013-10-29,10.5966,2683.51,2456.09
2013-10-30,10.6077,2691.03,2470.36
2013-10-31,10.6939,2730.81,2491.52
2013-11-01,10.7386,2767.72,2520.59
2013-11-05,10.8176,2816.92,2576.22
2013-11-06,10.8172,2806.64,2588.1
2013-11-07,10.7677,2779.19,2556.19
2013-11-08,10.7003,2775.87,2550.65
