Window,Asset,Start,End,PeriodReturnPct,WindowMaxDrawdownPct
2015-16 correction,PPFCF,2015-03-03,2016-02-29,-6.670481776887593,-12.504350168954947
2015-16 correction,MIDCAP150_TRI,2015-03-03,2016-02-29,-15.226437672110272,-18.445058920818692
2015-16 correction,SMALLCAP250_TRI,2015-03-03,2016-02-29,-19.68930434531988,-23.30278091253567
2018-19 mid-small bear,PPFCF,2018-01-01,2019-08-30,6.100690770012762,-12.16317633437799
2018-19 mid-small bear,MIDCAP150_TRI,2018-01-01,2019-08-30,-20.548799215215276,-24.417800736188067
2018-19 mid-small bear,SMALLCAP250_TRI,2018-01-01,2019-08-30,-37.379882426910505,-42.01511519998932
Covid crash,PPFCF,2020-02-19,2020-03-23,-30.97807705316239,-30.97807705316239
Covid crash,MIDCAP150_TRI,2020-02-19,2020-03-23,-37.561940568999304,-38.02982817701791
Covid crash,SMALLCAP250_TRI,2020-02-19,2020-03-23,-41.919005455228294,-42.151178456515204
2021-22 tightening,PPFCF,2021-10-18,2022-06-20,-17.501682121631447,-17.866885529220134
2021-22 tightening,MIDCAP150_TRI,2021-10-18,2022-06-20,-21.120469914632,-21.120469914632
2021-22 tightening,SMALLCAP250_TRI,2021-10-18,2022-06-20,-23.14908369036862,-26.613569718349606
2024-25 correction,PPFCF,2024-09-27,2025-04-07,-7.954284150320756,-8.460902613780497
2024-25 correction,MIDCAP150_TRI,2024-09-27,2025-04-07,-19.330079256623623,-20.54581563975546
2024-25 correction,SMALLCAP250_TRI,2024-09-27,2025-04-07,-22.745276378536794,-25.64784845068713
2026 geopolitical shock,PPFCF,2026-01-01,2026-03-30,-10.189869750930914,-10.558157197947216
2026 geopolitical shock,MIDCAP150_TRI,2026-01-01,2026-03-30,-12.992888486462395,-13.906400046467127
2026 geopolitical shock,SMALLCAP250_TRI,2026-01-01,2026-03-30,-14.194335686346305,-15.423751687539788
