Strategy,Rule,Period,WaitDays,CoreFraction,Months,Contributed,FinalValue,GainPct,Units,WeightedAverageNAV,AverageDelayDays,SignalBuys,UnitLiftVsImmediatePct
ImmediateSIP,Immediate,Development,0,1.0,104,1040000.0,2897876.037012965,178.641926635862,53212.947881269545,19.54411550964028,0.0,0,0.0
WaitAll_5,DailyDrop_0.75,Development,5,0.0,104,1040000.0,2888971.1187294866,177.7856844932199,53049.429170857715,19.60435797811215,4.346153846153846,32,-0.3072912081034884
Core50_Dip50_5,DailyDrop_0.75,Development,5,0.5,104,1040000.0,2893423.5778712262,178.213805564541,53131.18852606363,19.574190392707393,4.346153846153846,32,-0.1536456040517331
Core75_Dip25_5,DailyDrop_0.75,Development,5,0.75,104,1040000.0,2895649.8074420947,178.4278661002014,53172.068203666575,19.55914139010837,4.346153846153846,32,-0.07682280202589986
WaitAll_10,DailyDrop_0.75,Development,10,0.0,104,1040000.0,2881357.744724735,177.0536293004553,52909.62675386646,19.656158317616562,7.375,52,-0.570013764469246
Core50_Dip50_10,DailyDrop_0.75,Development,10,0.5,104,1040000.0,2889616.890868849,177.84777796815857,53061.287317567985,19.59997679241506,7.375,52,-0.28500688223466186
Core75_Dip25_10,DailyDrop_0.75,Development,10,0.75,104,1040000.0,2893746.4639409077,178.24485230201037,53137.11759941877,19.572006292102223,7.375,52,-0.14250344111731428
WaitAll_15,DailyDrop_0.75,Development,15,0.0,104,1040000.0,2876148.298003807,176.55272096190453,52813.96703160425,19.69176069234975,9.64423076923077,70,-0.7497815203839409
Core50_Dip50_15,DailyDrop_0.75,Development,15,0.5,104,1040000.0,2887012.1675083856,177.59732379888322,53013.45745643688,19.61766030549142,9.64423076923077,70,-0.37489076019200374
Core75_Dip25_15,DailyDrop_0.75,Development,15,0.75,104,1040000.0,2892444.102260676,178.11962521737271,53113.20266885323,19.580818849959492,9.64423076923077,70,-0.1874453800959741
WaitAll_20,DailyDrop_0.75,Development,20,0.0,104,1040000.0,2871115.3198895557,176.06878075861113,52721.54775670755,19.726279751862652,10.807692307692308,76,-0.9234596919126203
Core50_Dip50_20,DailyDrop_0.75,Development,20,0.5,104,1040000.0,2884495.678451259,177.35535369723644,52967.24781898853,19.634775126586142,10.807692307692308,76,-0.461729845956349
Core75_Dip25_20,DailyDrop_0.75,Development,20,0.75,104,1040000.0,2891185.857732113,177.99864016654934,53090.09785012905,19.589340425325133,10.807692307692308,76,-0.23086492297814676
WaitAll_5,DailyDrop_1.00,Development,5,0.0,104,1040000.0,2888289.860957065,177.72017893817934,53036.91941064902,19.608982036599652,4.5673076923076925,21,-0.3308000733454719
Core50_Dip50_5,DailyDrop_1.00,Development,5,0.5,104,1040000.0,2893082.948985015,178.1810527870207,53124.933645959274,19.576495039615043,4.5673076923076925,21,-0.16540003667274705
Core75_Dip25_5,DailyDrop_1.00,Development,5,0.75,104,1040000.0,2895479.4929989893,178.41148971144128,53168.940763614395,19.560291874607234,4.5673076923076925,21,-0.08270001833640128
WaitAll_10,DailyDrop_1.00,Development,10,0.0,104,1040000.0,2883510.4781286437,177.26062289698498,52949.15684037165,19.64148368094581,8.201923076923077,37,-0.49572717054967574
Core50_Dip50_10,DailyDrop_1.00,Development,10,0.5,104,1040000.0,2890693.257570803,177.95127476642335,53081.05236082058,19.592678625332415,8.201923076923077,37,-0.24786358527487673
Core75_Dip25_10,DailyDrop_1.00,Development,10,0.75,104,1040000.0,2894284.6472918843,178.2966007011427,53147.000121045065,19.568366937575888,8.201923076923077,37,-0.12393179263743281
WaitAll_15,DailyDrop_1.00,Development,15,0.0,104,1040000.0,2876522.4074125174,176.58869302043433,52820.83670588062,19.689199657911047,11.192307692307692,50,-0.736871740809808
Core50_Dip50_15,DailyDrop_1.00,Development,15,0.5,104,1040000.0,2887199.2222127398,177.61530982814807,53016.89229357505,19.61638932438962,11.192307692307692,50,-0.3684358704049595
Core75_Dip25_15,DailyDrop_1.00,Development,15,0.75,104,1040000.0,2892537.629612853,178.12861823200507,53114.92008742231,19.5801857234889,11.192307692307692,50,-0.18421793520245755
WaitAll_20,DailyDrop_1.00,Development,20,0.0,104,1040000.0,2873152.3858800596,176.26465248846728,52758.95387242778,19.71229381300359,13.067307692307692,61,-0.8531645528353948
Core50_Dip50_20,DailyDrop_1.00,Development,20,0.5,104,1040000.0,2885514.2114465097,177.45328956216437,52985.95087684861,19.627844415158204,13.067307692307692,61,-0.42658227641779733
Core75_Dip25_20,DailyDrop_1.00,Development,20,0.75,104,1040000.0,2891695.124229738,178.04760809901325,53099.44937905909,19.585890478369937,13.067307692307692,61,-0.2132911382088709
WaitAll_5,DailyDrop_1.25,Development,5,0.0,104,1040000.0,2887809.232706368,177.67396468330463,53028.09375843755,19.612245628469733,4.730769230769231,12,-0.3473856085636329
Core50_Dip50_5,DailyDrop_1.25,Development,5,0.5,104,1040000.0,2892842.634859666,178.1579456595833,53120.52081985354,19.57812129754769,4.730769230769231,12,-0.1736928042818331
Core75_Dip25_5,DailyDrop_1.25,Development,5,0.75,104,1040000.0,2895359.335936316,178.39993614772268,53166.73435056154,19.56110362435709,4.730769230769231,12,-0.08684640214091655
WaitAll_10,DailyDrop_1.25,Development,10,0.0,104,1040000.0,2881957.6861239416,177.1113159734559,52920.643322553326,19.65206646603218,8.971153846153847,22,-0.5493109672638719
Core50_Dip50_10,DailyDrop_1.25,Development,10,0.5,104,1040000.0,2889916.861568452,177.87662130465884,53066.795601911406,19.597942332936725,8.971153846153847,22,-0.27465548363199144
Core75_Dip25_10,DailyDrop_1.25,Development,10,0.75,104,1040000.0,2893896.4492907086,178.25927397026047,53139.87174159048,19.570991910882483,8.971153846153847,22,-0.13732774181598462
WaitAll_15,DailyDrop_1.25,Development,15,0.0,104,1040000.0,2874505.095575865,176.39472072844856,52783.79333057644,19.70301742973732,12.73076923076923,29,-0.8064852029071035
Core50_Dip50_15,DailyDrop_1.25,Development,15,0.5,104,1040000.0,2886190.5662944135,177.51832368215514,52998.370605922966,19.623244792430885,12.73076923076923,29,-0.4032426014536017
Core75_Dip25_15,DailyDrop_1.25,Development,15,0.75,104,1040000.0,2892033.30165369,178.08012515900867,53105.65924359627,19.583600219131224,12.73076923076923,29,-0.2016213007267842
WaitAll_20,DailyDrop_1.25,Development,20,0.0,104,1040000.0,2867252.86874179,175.6973912251721,52650.62256563835,19.75285285000107,15.451923076923077,41,-1.0567452810279931
Core50_Dip50_20,DailyDrop_1.25,Development,20,0.5,104,1040000.0,2882564.452877375,177.16965893051682,52931.785223453895,19.647929795105032,15.451923076923077,41,-0.5283726405140854
Core75_Dip25_20,DailyDrop_1.25,Development,20,0.75,104,1040000.0,2890220.244945172,177.90579278318967,53072.36655236176,19.59588515755982,15.451923076923077,41,-0.264186320256965
WaitAll_5,DailyDrop_1.50,Development,5,0.0,104,1040000.0,2889380.329392624,177.8250316723677,53056.94340038716,19.601581496163067,4.836538461538462,10,-0.29317015330643237
Core50_Dip50_5,DailyDrop_1.50,Development,5,0.5,104,1040000.0,2893628.1832027934,178.23347915411475,53134.94564082833,19.572806322791738,4.836538461538462,10,-0.1465850766532606
Core75_Dip25_5,DailyDrop_1.50,Development,5,0.75,104,1040000.0,2895752.110107879,178.4377028949884,53173.94676104894,19.558450394391684,4.836538461538462,10,-0.0732925383266303
WaitAll_10,DailyDrop_1.50,Development,10,0.0,104,1040000.0,2882472.345395463,177.16080244187145,52930.09387759512,19.648557631601395,9.173076923076923,19,-0.5315510884785768
Core50_Dip50_10,DailyDrop_1.50,Development,10,0.5,104,1040000.0,2890174.1912042117,177.90136453886652,53071.52087943229,19.596197409956815,9.173076923076923,19,-0.2657755442393661
Core75_Dip25_10,DailyDrop_1.50,Development,10,0.75,104,1040000.0,2894025.114108589,178.27164558736433,53142.23438035093,19.570121808512717,9.173076923076923,19,-0.13288777211966085
WaitAll_15,DailyDrop_1.50,Development,15,0.0,104,1040000.0,2873535.6079660766,176.3015007659689,52765.99088043976,19.709664930892558,13.153846153846153,22,-0.8399403126980509
Core50_Dip50_15,DailyDrop_1.50,Development,15,0.5,104,1040000.0,2885705.822489518,177.4717137009152,52989.4693808546,19.626541125089243,13.153846153846153,22,-0.4199701563491254
Core75_Dip25_15,DailyDrop_1.50,Development,15,0.75,104,1040000.0,2891790.9297512425,178.0568201683887,53101.20863106209,19.58524159451319,13.153846153846153,22,-0.20998507817453493
