variant,filter,train_trades,train_win_rate,train_pf,train_exp,train_dd,train_dur,test_trades,test_win_rate,test_pf,test_exp,test_dd,test_dur
ema_structure_break|or15|end=14:15|rr=1.5|atr=1.0|vol=0.8|vwap=0|ema=0|macro=none|band=1.2,or_size=small_or & gap_direction=gap_up,20,85.0,8.186274509804072,1.0779411764705966,-1.0000000000000178,41.2,1,0.0,0.0,-0.99999999999998,0.0,9.0
ema_structure_break|or15|end=14:15|rr=1.5|atr=1.0|vol=0.8|vwap=1|ema=0|macro=none|band=1.2,or_size=small_or & gap_direction=gap_up,20,85.0,8.186274509804072,1.0779411764705966,-1.0000000000000178,41.2,1,0.0,0.0,-0.99999999999998,0.0,9.0
ema_structure_break|or15|end=11:30|rr=1.5|atr=1.0|vol=0.8|vwap=0|ema=0|macro=none|band=1.2,or_size=small_or & gap_direction=gap_up,16,81.25,6.186274509804032,0.972426470588243,-1.0000000000000178,44.125,1,0.0,0.0,-0.99999999999998,0.0,9.0
ema_structure_break|or15|end=11:30|rr=1.5|atr=1.0|vol=0.8|vwap=1|ema=0|macro=none|band=1.2,or_size=small_or & gap_direction=gap_up,16,81.25,6.186274509804032,0.972426470588243,-1.0000000000000178,44.125,1,0.0,0.0,-0.99999999999998,0.0,9.0
breakout_retest|or15|end=10:30|rr=2.0|atr=1.0|vol=0.8|vwap=0|ema=0|macro=none|band=1.2,signal_bucket=10:00-10:30 & macro_alignment=aligned_1d_1w,18,72.22222222222221,5.200000000000088,1.166666666666675,-1.9999999999999876,37.27777777777778,1,100.0,999.0,2.0,0.0,95.0
breakout_retest|or15|end=11:30|rr=2.0|atr=1.0|vol=0.8|vwap=0|ema=0|macro=none|band=1.2,signal_bucket=10:00-10:30 & macro_alignment=aligned_1d_1w,18,72.22222222222221,5.200000000000088,1.166666666666675,-1.9999999999999876,37.27777777777778,1,100.0,999.0,2.0,0.0,95.0
ema_structure_break|or15|end=11:30|rr=2.0|atr=1.0|vol=0.8|vwap=1|ema=0|macro=none|band=1.2,macro_alignment=aligned_1d_1w & or_size=small_or,17,70.58823529411765,4.511764705882446,1.0328719723183486,-2.0000000000000036,48.1764705882353,0,0.0,0.0,0.0,0.0,0.0
ema_structure_break|or15|end=11:30|rr=2.0|atr=1.0|vol=0.8|vwap=1|ema=0|macro=not_both_against|band=1.2,macro_alignment=aligned_1d_1w & or_size=small_or,17,70.58823529411765,4.511764705882446,1.0328719723183486,-2.0000000000000036,48.1764705882353,0,0.0,0.0,0.0,0.0,0.0
ema_structure_break|or15|end=11:30|rr=2.0|atr=1.0|vol=0.8|vwap=0|ema=0|macro=none|band=1.2,macro_alignment=aligned_1d_1w & or_size=small_or,17,70.58823529411765,4.511764705882439,1.0328719723183482,-2.0000000000000036,49.76470588235294,0,0.0,0.0,0.0,0.0,0.0
ema_structure_break|or15|end=11:30|rr=2.0|atr=1.0|vol=0.8|vwap=0|ema=0|macro=not_both_against|band=1.2,macro_alignment=aligned_1d_1w & or_size=small_or,17,70.58823529411765,4.511764705882439,1.0328719723183482,-2.0000000000000036,49.76470588235294,0,0.0,0.0,0.0,0.0,0.0
breakout_close|or30|end=10:30|rr=1.5|atr=1.0|vol=1.2|vwap=0|ema=0|macro=none|band=1.2,direction=LONG & or_size=small_or,20,75.0,4.500000000000082,0.8750000000000112,-1.0000000000000213,40.0,0,0.0,0.0,0.0,0.0,0.0
breakout_close|or15|end=10:30|rr=2.0|atr=1.0|vol=0.8|vwap=0|ema=0|macro=none|band=1.2,signal_bucket=10:00-10:30 & macro_alignment=aligned_1d_1w,19,68.42105263157895,4.149659863945646,0.9946294307196624,-1.9999999999999876,51.1578947368421,2,50.0,1.999999999999993,0.4999999999999982,-1.0000000000000036,88.0
breakout_close|or15|end=11:30|rr=2.0|atr=1.0|vol=0.8|vwap=0|ema=0|macro=none|band=1.2,signal_bucket=10:00-10:30 & macro_alignment=aligned_1d_1w,19,68.42105263157895,4.149659863945646,0.9946294307196624,-1.9999999999999876,51.1578947368421,2,50.0,1.999999999999993,0.4999999999999982,-1.0000000000000036,88.0
breakout_retest|or15|end=10:30|rr=1.5|atr=1.0|vol=1.2|vwap=0|ema=0|macro=none|band=1.2,macro_alignment=mixed_or_neutral & or_size=small_or,15,73.33333333333333,4.125000000000113,0.8333333333333506,-1.000000000000007,47.266666666666666,1,0.0,0.0,-0.999999999999976,0.0,14.0
ema_structure_break|or15|end=11:30|rr=2.0|atr=1.0|vol=0.8|vwap=0|ema=0|macro=none|band=1.2,or_size=small_or & gap_direction=gap_up,16,68.75,4.1117647058824485,0.9724264705882526,-3.0,72.3125,1,0.0,0.0,-0.99999999999998,0.0,9.0
ema_structure_break|or15|end=11:30|rr=2.0|atr=1.0|vol=0.8|vwap=1|ema=0|macro=none|band=1.2,or_size=small_or & gap_direction=gap_up,16,68.75,4.1117647058824485,0.9724264705882526,-3.0,72.3125,1,0.0,0.0,-0.99999999999998,0.0,9.0
ema_structure_break|or15|end=14:15|rr=1.5|atr=1.0|vol=1.2|vwap=0|ema=0|macro=none|band=1.2,or_size=small_or & gap_direction=gap_up,19,73.68421052631578,4.0117647058824515,0.7925696594427358,-2.999999999999961,38.21052631578947,1,0.0,0.0,-0.99999999999998,0.0,9.0
ema_structure_break|or15|end=14:15|rr=1.5|atr=1.0|vol=1.2|vwap=1|ema=0|macro=none|band=1.2,or_size=small_or & gap_direction=gap_up,19,73.68421052631578,4.0117647058824515,0.7925696594427358,-2.999999999999961,38.21052631578947,1,0.0,0.0,-0.99999999999998,0.0,9.0
fakeout_reversion|or15|end=11:30|rr=1.5|atr=1.0|vol=0.8|vwap=0|ema=0|macro=none|band=1.2,direction=SHORT & or_size=small_or,20,70.0,4.000000000000058,0.7875000000000101,-1.000000000000039,44.3,0,0.0,0.0,0.0,0.0,0.0
