variant,set_name,symbol,date,direction,sweep_reference,entry_trigger,sweep_time,sweep_level,sweep_extreme,confirmation_time,entry_time,entry_price,stop_price,target_price,exit_time,exit_price,outcome,pnl_per_share,r_multiple,risk_per_share,stop_pct,mfe_r,mae_r,minutes_held,bias_15m,bias_1h,fvg_time,fvg_size,order_block_low,order_block_high,failure_reason
previous_day__direct_5m_ob__no_bank_filter,train,SBIN,2025-09-03,SHORT,previous_day,direct_5m_ob,2025-09-03 10:05:00,810.5,810.75,2025-09-03 10:15:00,2025-09-03 10:22:00,810.35,810.8,809.4500000000002,2025-09-03 10:22:00,810.8,stop,-0.4499999999999318,-1.0,0.4499999999999318,0.0005553156043683986,0.5555555555556397,1.444444444444613,0.0,1,-1,2025-09-03 10:18:00,0.1999999999999318,809.95,810.75,Fast continuation through the swept level
previous_day__direct_5m_ob__no_bank_filter,train,SBIN,2025-09-29,SHORT,previous_day,direct_5m_ob,2025-09-29 09:35:00,864.35,864.8,2025-09-29 09:55:00,2025-09-29 10:19:00,863.55,864.8499999999999,860.95,2025-09-29 10:54:00,860.95,target,2.599999999999909,2.0,1.2999999999999545,0.0015054136992646108,2.038461538461592,0.8461538461538932,35.0,1,-1,2025-09-29 09:57:00,0.2999999999999545,863.15,863.95,
previous_day__direct_5m_ob__no_bank_filter,train,SBIN,2025-11-25,SHORT,previous_day,direct_5m_ob,2025-11-25 09:45:00,977.7,978.5,2025-11-25 10:15:00,2025-11-25 10:24:00,979.025,979.4499999999999,978.1750000000001,2025-11-25 10:25:00,979.4499999999999,stop,-0.4249999999999545,-1.0,0.4249999999999545,0.00043410535992436815,0.1764705882351525,1.0000000000002676,1.0,1,-1,2025-11-25 10:17:00,0.4500000000000455,978.65,979.4,SMC trap: sweep kept running with almost no follow-through
previous_day__direct_5m_ob__no_bank_filter,train,SBIN,2025-12-30,SHORT,previous_day,direct_5m_ob,2025-12-30 10:35:00,968.9,969.45,2025-12-30 10:50:00,2025-12-30 11:18:00,968.925,969.5,967.7749999999999,2025-12-30 11:19:00,969.5,stop,-0.5750000000000455,-1.0,0.5750000000000455,0.0005934411848182733,0.6521739130434266,1.1739130434782867,1.0,1,-1,2025-12-30 10:52:00,0.25,968.55,969.3,Fast continuation through the swept level
previous_day__direct_5m_ob__no_bank_filter,train,SBIN,2026-01-01,SHORT,previous_day,direct_5m_ob,2026-01-01 10:05:00,985.65,986.9,2026-01-01 10:10:00,2026-01-01 10:30:00,985.525,986.9499999999999,982.6750000000001,2026-01-01 10:36:00,985.525,breakeven,0.0,0.0,1.4249999999999545,0.0014459298343522027,1.3157894736842526,0.26315789473685053,6.0,-1,1,2026-01-01 10:10:00,0.7000000000000455,984.55,986.5,
previous_day__direct_5m_ob__no_bank_filter,train,SBIN,2026-03-27,LONG,previous_day,direct_5m_ob,2026-03-27 09:40:00,1043.0,1040.8,2026-03-27 10:00:00,2026-03-27 10:13:00,1040.4,1039.45,1042.3000000000002,2026-03-27 10:15:00,1042.3000000000002,target,1.900000000000091,2.0,0.9500000000000455,0.0009131103421761297,2.736842105262931,0.526315789473659,2.0,-1,1,2026-03-27 10:00:00,0.40000000000009095,1039.5,1041.3,
previous_day__direct_5m_ob__no_bank_filter,test,SBIN,2026-05-08,LONG,previous_day,direct_5m_ob,2026-05-08 09:45:00,1086.1,1084.0,2026-05-08 10:10:00,2026-05-08 10:47:00,1088.75,1083.95,1098.35,2026-05-08 11:30:00,1088.75,breakeven,0.0,0.0,4.7999999999999545,0.004408725602755412,1.3020833333333457,0.5729166666666721,43.0,-1,1,2026-05-08 10:14:00,0.2999999999999545,1088.0,1089.5,
previous_day__direct_5m_ob__no_bank_filter,test,SBIN,2026-05-29,LONG,previous_day,direct_5m_ob,2026-05-29 10:00:00,966.6,966.0,2026-05-29 10:05:00,2026-05-29 10:45:00,966.1,965.5500000000001,967.1999999999999,2026-05-29 10:45:00,965.5500000000001,stop,-0.5499999999999545,-1.0,0.5499999999999545,0.0005692992443845922,0.36363636363626967,1.6363636363637304,0.0,-1,1,2026-05-29 10:05:00,0.6999999999999318,965.6,966.6,Fast continuation through the swept level
previous_day__direct_5m_ob__no_bank_filter,test,SBIN,2026-06-03,LONG,previous_day,direct_5m_ob,2026-06-03 10:45:00,939.9,939.2,2026-06-03 11:15:00,2026-06-03 11:42:00,939.025,938.0,941.0749999999999,2026-06-03 12:03:00,938.0,stop,-1.0249999999999773,-1.0,1.0249999999999773,0.0010915577327546948,0.9512195121951652,1.3414634146341762,21.0,-1,1,2026-06-03 11:18:00,1.0500000000000682,938.05,940.0,"Partial follow-through, then reversal into stop"
previous_day__direct_5m_ob__no_bank_filter,test,SBIN,2026-06-09,SHORT,previous_day,direct_5m_ob,2026-06-09 09:50:00,988.65,989.0,2026-06-09 10:00:00,2026-06-09 10:15:00,987.55,989.05,984.55,2026-06-09 10:21:00,989.05,stop,-1.5,-1.0,1.5,0.0015189104349146879,0.8333333333333334,1.966666666666697,6.0,1,-1,2026-06-09 10:04:00,0.20000000000004547,986.1,989.0,Fast continuation through the swept level
