Symbol,SpecId,Family,Parameters,Trades,WinRate,ProfitFactor,Expectancy,MaxDrawdown,DevelopmentScore
LT,0,opening_drive,"{""position"": 0.7, ""rvol_cutoff"": 0.0, ""rvol_name"": ""none"", ""strength"": 0.15, ""target_r"": 1.5}",49,0.3877551020408163,0.6582099834314642,-0.0012320227286129165,-0.09289093908871848,3.6645565301621614
LT,1,opening_drive,"{""position"": 0.7, ""rvol_cutoff"": 0.0, ""rvol_name"": ""none"", ""strength"": 0.15, ""target_r"": 2.0}",49,0.3673469387755102,0.7336352643151494,-0.000987603840597731,-0.08582481091807526,4.231047908370054
LT,2,opening_drive,"{""position"": 0.7, ""rvol_cutoff"": 0.9741487708794736, ""rvol_name"": ""median"", ""strength"": 0.15, ""target_r"": 1.5}",18,0.2777777777777778,0.25811219294966437,-0.0034834702871297776,-0.05696571315604615,-inf
LT,3,opening_drive,"{""position"": 0.7, ""rvol_cutoff"": 0.9741487708794736, ""rvol_name"": ""median"", ""strength"": 0.15, ""target_r"": 2.0}",18,0.2777777777777778,0.2977817488155008,-0.0032972053049464267,-0.053832319639386506,-inf
LT,4,opening_drive,"{""position"": 0.7, ""rvol_cutoff"": 1.4765206940099522, ""rvol_name"": ""upper_quartile"", ""strength"": 0.15, ""target_r"": 1.5}",4,0.25,0.11333267913859431,-0.004878554071034296,-0.014165626483518379,-inf
LT,5,opening_drive,"{""position"": 0.7, ""rvol_cutoff"": 1.4765206940099522, ""rvol_name"": ""upper_quartile"", ""strength"": 0.15, ""target_r"": 2.0}",4,0.25,0.11333267913859431,-0.004878554071034296,-0.014165626483518379,-inf
LT,6,opening_drive,"{""position"": 0.8, ""rvol_cutoff"": 0.0, ""rvol_name"": ""none"", ""strength"": 0.15, ""target_r"": 1.5}",30,0.43333333333333335,0.8618656479249173,-0.00042067926052822603,-0.046106596476106265,4.313549227162929
LT,7,opening_drive,"{""position"": 0.8, ""rvol_cutoff"": 0.0, ""rvol_name"": ""none"", ""strength"": 0.15, ""target_r"": 2.0}",30,0.43333333333333335,1.1106127691844099,0.0003368640547876485,-0.03774874198785294,6.050629800465956
LT,8,opening_drive,"{""position"": 0.8, ""rvol_cutoff"": 0.9741487708794736, ""rvol_name"": ""median"", ""strength"": 0.15, ""target_r"": 1.5}",12,0.25,0.18828632254920807,-0.0036868162235914417,-0.04228766399305306,-inf
LT,9,opening_drive,"{""position"": 0.8, ""rvol_cutoff"": 0.9741487708794736, ""rvol_name"": ""median"", ""strength"": 0.15, ""target_r"": 2.0}",12,0.25,0.18828632254920807,-0.0036868162235914417,-0.04228766399305306,-inf
