Symbol,SpecId,Family,Parameters,Trades,WinRate,ProfitFactor,Expectancy,MaxDrawdown,DevelopmentScore
SBIN,0,opening_drive,"{""position"": 0.7, ""rvol_cutoff"": 0.0, ""rvol_name"": ""none"", ""strength"": 0.15, ""target_r"": 1.5}",67,0.3582089552238806,0.6180010066072891,-0.0013591616012049701,-0.10855459368542841,3.8965227678257266
SBIN,1,opening_drive,"{""position"": 0.7, ""rvol_cutoff"": 0.0, ""rvol_name"": ""none"", ""strength"": 0.15, ""target_r"": 2.0}",67,0.34328358208955223,0.6279144887481686,-0.0013685974522514568,-0.1189097015385211,3.9087662203218825
SBIN,2,opening_drive,"{""position"": 0.7, ""rvol_cutoff"": 0.9639441482573803, ""rvol_name"": ""median"", ""strength"": 0.15, ""target_r"": 1.5}",28,0.39285714285714285,0.6205003731344775,-0.0012572399855681556,-0.05051252712225629,2.7255795321067224
SBIN,3,opening_drive,"{""position"": 0.7, ""rvol_cutoff"": 0.9639441482573803, ""rvol_name"": ""median"", ""strength"": 0.15, ""target_r"": 2.0}",28,0.39285714285714285,0.6525080163194539,-0.0011512022295146827,-0.05343716308723356,2.8920019847940934
SBIN,4,opening_drive,"{""position"": 0.7, ""rvol_cutoff"": 1.4898892865617608, ""rvol_name"": ""upper_quartile"", ""strength"": 0.15, ""target_r"": 1.5}",11,0.36363636363636365,0.6900579972098744,-0.0009980073150717235,-0.020535660917161636,-inf
SBIN,5,opening_drive,"{""position"": 0.7, ""rvol_cutoff"": 1.4898892865617608, ""rvol_name"": ""upper_quartile"", ""strength"": 0.15, ""target_r"": 2.0}",11,0.36363636363636365,0.6768899900964047,-0.0010404080458725048,-0.023356689386460516,-inf
SBIN,6,opening_drive,"{""position"": 0.8, ""rvol_cutoff"": 0.0, ""rvol_name"": ""none"", ""strength"": 0.15, ""target_r"": 1.5}",51,0.39215686274509803,0.784031370931111,-0.000711015377462035,-0.08702415651257511,4.74838646948589
SBIN,7,opening_drive,"{""position"": 0.8, ""rvol_cutoff"": 0.0, ""rvol_name"": ""none"", ""strength"": 0.15, ""target_r"": 2.0}",51,0.37254901960784315,0.8115013973059239,-0.0006503329665061686,-0.08716603757965302,4.946093189095618
SBIN,8,opening_drive,"{""position"": 0.8, ""rvol_cutoff"": 0.9639441482573803, ""rvol_name"": ""median"", ""strength"": 0.15, ""target_r"": 1.5}",19,0.42105263157894735,0.7695779040233867,-0.0006878119871306605,-0.03436673376654609,-inf
SBIN,9,opening_drive,"{""position"": 0.8, ""rvol_cutoff"": 0.9639441482573803, ""rvol_name"": ""median"", ""strength"": 0.15, ""target_r"": 2.0}",19,0.42105263157894735,0.8876426554903503,-0.00033538766353271074,-0.034366733766545976,-inf
SBIN,10,opening_drive,"{""position"": 0.8, ""rvol_cutoff"": 1.4898892865617608, ""rvol_name"": ""upper_quartile"", ""strength"": 0.15, ""target_r"": 1.5}",5,0.4,0.8527830853855807,-0.0004174500230299744,-0.014117908341114371,-inf
SBIN,11,opening_drive,"{""position"": 0.8, ""rvol_cutoff"": 1.4898892865617608, ""rvol_name"": ""upper_quartile"", ""strength"": 0.15, ""target_r"": 2.0}",5,0.4,1.082757930197927,0.00023466936498106622,-0.014117908341114371,-inf
