Symbol,Benchmark,SessionsUsed,PreviouslyExamined,ScreenerContext,BenchmarkCorrelation,BenchmarkDirectionMatch,Opening15DirectionMatch,MedianIntradayRange,MedianAbsFirst30,MedianTurnoverCr,OneSidedAcceptance,TwoSidedBreakRate,DirectionalOpenContinuation,ExtremeGapCount,BestFamily,StrategyFloorPF,StrategyBothPositive,DevelopmentTrades,ValidationTrades,DevelopmentWinRate,ValidationWinRate,DevelopmentPF,ValidationPF,DevelopmentExpectancy,ValidationExpectancy,DevelopmentMaxDrawdown,ValidationMaxDrawdown,FamilySelectionScore,SelectionGate,ReliabilityScore
BHARTIARTL,NIFTY,208,False,Passed large-cap growth and ROCE screen,0.47200286990779994,0.6634615384615384,0.6394230769230769,0.016205072999579517,0.004112392888622862,1134.73954803,0.696551724137931,0.28365384615384615,0.6019417475728155,0,benchmark_aligned_opening,2.4092343773136657,True,13,5,0.6153846153846154,0.6,2.9221363503082776,2.4092343773136657,0.0030684929202940284,0.0046573278395300125,-0.016108749874892414,-0.008474226804123686,4.459234377313666,False,69.64
SBIN,BANKNIFTY,208,True,Bank; evaluated separately from ROCE screen,0.7195451116761857,0.8028846153846154,0.6442307692307693,0.016175226092756567,0.0029118482911739685,1127.0215259599997,0.6535433070866141,0.38461538461538464,0.5,0,two_sided_liquidity_sweep,1.0306076363288208,True,42,22,0.6666666666666666,0.7727272727272727,1.0306076363288208,2.0044938990809826,3.626950320144582e-05,0.0015165797519507878,-0.01723775993554344,-0.0199893533842479,3.2506076363288208,False,50.46
LT,NIFTY,208,False,Liquid industrial control,0.7491713862642787,0.7596153846153846,0.6682692307692307,0.0164082090779597,0.003947389473149987,702.84573038,0.7094594594594594,0.2692307692307692,0.47706422018348627,0,two_sided_liquidity_sweep,0.8456729041883527,False,27,15,0.5185185185185185,0.5333333333333333,0.8456729041883527,1.1466924812816714,-0.00021575579017277667,0.000354744045505699,-0.019804310764832578,-0.015595941596051821,0.9956729041883527,False,43.5
M&M,NIFTY,208,False,Passed large-cap growth and ROCE screen,0.7055894155371742,0.7451923076923077,0.625,0.02138241708799249,0.005432866272260584,777.730567815,0.6830985915492958,0.2980769230769231,0.5576923076923077,0,opening_range_breakout,0.8076107847562783,False,41,11,0.5121951219512195,0.45454545454545453,0.9445782664561817,0.8076107847562783,-0.00020346820307146947,-0.0008205792180008474,-0.05156025752547977,-0.033056084173060385,0.9176107847562783,False,42.48
HDFCBANK,BANKNIFTY,208,True,Bank; evaluated separately from ROCE screen,0.856564111015804,0.7644230769230769,0.7596153846153846,0.014481412996058651,0.0038647736115749454,2044.84342665,0.6382978723404256,0.28846153846153844,0.4583333333333333,0,benchmark_aligned_opening,0.9867520886179456,False,23,4,0.5652173913043478,0.75,0.9867520886179456,5.17487515402956,-3.904559622837842e-05,0.006516871336533281,-0.023842911722835036,0.0,1.0267520886179455,False,41.07
TITAN,NIFTY,208,False,Passed large-cap growth and ROCE screen,0.592201692845296,0.6538461538461539,0.6201923076923077,0.017801873228551535,0.004380160798516941,294.0117266,0.6808510638297872,0.30288461538461536,0.49107142857142855,0,opening_range_breakout,0.907288716163204,False,41,16,0.43902439024390244,0.4375,0.9109781807663676,0.907288716163204,-0.0003171304939598958,-0.00035862878248719954,-0.06616892501418847,-0.03543106306659094,1.0672887161632039,False,35.74
BAJFINANCE,NIFTY,208,False,High-beta liquid financial control,0.6615898694393911,0.6971153846153846,0.6105769230769231,0.02093730378696934,0.005747872995184811,648.57869095,0.5986842105263158,0.25,0.46017699115044247,0,two_sided_liquidity_sweep,0.7652161041840508,False,27,18,0.5555555555555556,0.5555555555555556,0.7652161041840508,1.0178572611957366,-0.0005146769145109802,5.377810372259734e-05,-0.02997341729607672,-0.025163589849913848,0.9452161041840508,False,35.45
ICICIBANK,BANKNIFTY,208,False,Bank; evaluated separately from ROCE screen,0.7031640483449633,0.7211538461538461,0.6826923076923077,0.01329065916384764,0.003271828950223432,1655.21537415,0.6827586206896552,0.2644230769230769,0.5663716814159292,0,opening_range_breakout,0.7151186372839297,False,58,29,0.3793103448275862,0.5862068965517241,0.7151186372839297,0.8995460495507935,-0.0006946446648909033,-0.00035407438125059534,-0.04075579398785001,-0.035532097897537085,1.0051186372839296,False,35.16
BEL,NIFTY,208,False,Passed large-cap growth and ROCE screen,0.4787462165711954,0.6538461538461539,0.6201923076923077,0.020509232557733403,0.0059464878948741196,522.04493087,0.6601307189542484,0.20673076923076922,0.5350877192982456,0,two_sided_liquidity_sweep,0.5481130933287565,False,18,16,0.4444444444444444,0.625,0.5481130933287565,1.2587847365763274,-0.0008721394879968214,0.0005592813371342121,-0.023915540178669925,-0.01263439708347458,0.7081130933287565,False,33.15
INFY,NIFTY,208,False,Passed large-cap growth and ROCE screen,0.3237555713713568,0.6201923076923077,0.5961538461538461,0.018695796224261096,0.005583130118974877,1236.7659945,0.6503067484662577,0.15384615384615385,0.512,0,opening_range_breakout,0.8425982996792573,False,50,8,0.48,0.625,0.8425982996792573,1.280976702542876,-0.0005154432890005496,0.0009656119887603987,-0.04517701655073514,-0.024643365271869277,0.9225982996792572,False,30.49
RELIANCE,NIFTY,208,False,Liquid large-cap control,0.5724103029186212,0.7211538461538461,0.6586538461538461,0.015264009849013105,0.003860933960620372,1645.35691085,0.6592592592592592,0.33653846153846156,0.5087719298245614,0,two_sided_liquidity_sweep,0.7720774910776815,False,35,19,0.5714285714285714,0.5263157894736842,0.8928955791560858,0.7720774910776815,-0.00015136383026889528,-0.00046387901780849133,-0.02387171014235967,-0.01930935157679936,0.9620774910776815,False,30.42
TCS,NIFTY,208,False,Passed large-cap growth and ROCE screen,0.417412094061264,0.6634615384615384,0.5817307692307693,0.016132623276092217,0.004249983381222011,862.183144995,0.673202614379085,0.21153846153846154,0.5284552845528455,0,opening_drive,0.7385649440446551,False,29,4,0.3793103448275862,0.5,0.7385649440446551,1.2637719553831088,-0.0009649543929064929,0.0012090120899256318,-0.050212835979412174,-0.008772621809744696,0.7785649440446551,False,29.84
